Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Graduate Data Analyst,-1,"Graduate Data Analyst
Jumbo Interactive (ASX: JIN) is a leading digital retailer of official government and charitable lotteries. We utilise the latest technology to craft an engaging and entertaining purchase experience for our customers across a range of digital platforms.
Why work at Jumbo
Our offices are open, highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic benefits: flexible working hours including work from home options, the latest technology, extended parental leave, wellness program, paid team lunches/events and most importantly we have our chef providing you delicious and healthy lunches every day and breakfast twice a week when your in the office.
Your Career At Jumbo
Our 12-month program will see you placed within our data team where you will quickly gain on-the-job experience and training as well as be making meaningful contributions to your team and Jumbo's business units.
Graduates who successfully complete the program will be considered for an ongoing position, based on performance, skills and career goals. This is a full time position, with a flexible start date either late 2020 or early 2021.
Who we're looking for:
At Jumbo the role of a Graduate Data Analyst means you'll be responsible for analysing information, conducting research and implementing analytical solutions for both Marketing and Product departments.
As part of your role, we'll expect you to:
Participate in the end-to-end quantitative research projects including the design and delivery of research programs to inform strategic and operational improvements in marketing and product.
Transform analytical output into actionable insights, and proactively engage with key stakeholders by supplying customer insights and assisting with recommendations.
Support the design and development of performance dashboards and reports to inform planning and performance optimisation.
Analyse and interpret trends and patterns in customer activity, communicate results and offer potential solutions.
Complete ad-hoc analysis requests from the business departments
As a recent graduate we'd like you to bring to this role:
Degree (or equivalent) in Business/Marketing/Computer Science or related field.
An eagerness to providing recommendations that will impact the businesses growth and profit agendas directly
Strong quantitative research and analytical skills
Ability to work independently
Ability to influence others to gain buy-in and alignment
Moderate to high competency with Excel/ Google Sheets
Strong analytical skills with the ability to collect, organise, analyse and communicate complex and varied information
Strong written and verbal ability to communicate ideas through data
Visit https://www.jumbointeractive.com to learn more about the business and the many benefits of working for Jumbo!
Why work at Jumbo
Our offices are open, highly collaborative and yes, fun! To support you at work (and play) we offer some fantastic benefits: flexible working hours including work from home options, the latest technology, extended parental leave, wellness program, paid team lunches/events and most importantly we have our chef providing you delicious and healthy lunches every day and breakfast twice a week when your in the office.
Your Career At Jumbo
Our 12-month program will see you placed within our data team where you will quickly gain on-the-job experience and training as well as be making meaningful contributions to your team and Jumbo's business units.
Graduates who successfully complete the program will be considered for an ongoing position, based on performance, skills and career goals. This is a full time position, with a flexible start date either late 2020 or early 2021.
Who we're looking for:
At Jumbo the role of a Graduate Data Analyst means you'll be responsible for analysing information, conducting research and implementing analytical solutions for both Marketing and Product departments.
As part of your role, we'll expect you to:
Participate in the end-to-end quantitative research projects including the design and delivery of research programs to inform strategic and operational improvements in marketing and product.
Transform analytical output into actionable insights, and proactively engage with key stakeholders by supplying customer insights and assisting with recommendations.
Support the design and development of performance dashboards and reports to inform planning and performance optimisation.
Analyse and interpret trends and patterns in customer activity, communicate results and offer potential solutions.
Complete ad-hoc analysis requests from the business departments
As a recent graduate we'd like you to bring to this role:
Degree (or equivalent) in Business/Marketing/Computer Science or related field.
An eagerness to providing recommendations that will impact the businesses growth and profit agendas directly
Strong quantitative research and analytical skills
Ability to work independently
Ability to influence others to gain buy-in and alignment
Moderate to high competency with Excel/ Google Sheets
Strong analytical skills with the ability to collect, organise, analyse and communicate complex and varied information
Strong written and verbal ability to communicate ideas through data
Visit https://www.jumbointeractive.com to learn more about the business and the many benefits of working for Jumbo!",4.5,"Jumbo Interactive
4.5",Brisbane,-1,51 to 200 Employees,1995,Company - Public,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1
Data Analyst - PACE,-1,"Requisition Title -
Data Analyst - PACE
Job Number: - AUS121016
Description

Job Title: Data Analyst – PACE Tribe
Location: Docklands, Melbourne

Help shape the future as we leverage data to flip traditional banking on its head

Collaborate with talented teams of data scientists, engineers and analysts

Join a progressive organisation with the people and policies you want

At ANZ our purpose is to shape a world where people and communities thrive and to achieve this, we need a talented Commercial Data Analyst to join our PACE Tribe. The purpose of the PACE tribe is to deliver Whole of Customer/Whole of Bank strategic insights, propositions and engagegments, leveraging our unique internal and external partnerships

The Data Analyst who will deeply understand the power of data to generate actionable insights, drive the right commercial outcome, manage customer experience and expectation, support data driven decisions and deliver customer propositions to market

What a typical day might look like
Previous experience in scoping and developing plans for strategic pieces of work, as well as, developing and delivering commercial and partnership agreements
Source data from a variety of sources to combine, synthesise and analyse to generate insights and recommendations
Proven analytical skills and data-driven decision making
Ability to structure clear, fact-based and compelling strategic insights, business cases and narratives to create organisational buy-in
Experience in executing business change including key stakeholder management along the journey
Developed mechanisms to track performance, actionable insights and value realisation on investment
Ability to quickly gather information on the program of work and communicate this to stakeholders
Ability to proactively and smoothly manage complex networks of stakeholder relationships internal and external to the bank
Identify, monitor and manage risks, issues and dependencies, agreeing appropriate risk responses

What you will bring to the tribe
First and foremost, we’re looking for a dynamic individual who is passionate about data and commercial analysis to drive the right outcomes for ANZ and our partners
Ability to manage and influence large groups of stakeholders including both different business units within ANZ and our external partners
A demonstrated history of drawing on data insights to prioritise and frame initiatives
Excellent SQL, Excel and PowerPoint skills from gathering raw data to transform them into actionable insights
Strong awareness of banking and finance customer trends
End-to-end delivery experience and able to drive initiatives from ideation to execution
Flexibility and willingness to lean into complex opportunities

You’re not expected to have 100% of these skills. At ANZ a growth mindset is at the heart of our culture and we actively encourage people to try new things. So if this role interests you and you feel you have most of these things in your toolbox, we’d love to hear from you.

About ANZ
We’re reinventing the way we do banking, and our community of collaborative, innovative thinkers who create human centred solutions are helping us get there. We’re responding faster to changing customer requirements, focusing on the things that matter and helping people achieve incredible things – be it buying their home, building a business or saving for things big or small.
We support our people by providing a range of flexible working options so they can work in the way that best suits them. We encourage you to talk to us about your need for flexibility and any adjustments you may require to our recruitment process or the role itself.
We’ll also offer you the opportunity to develop your career, working in a diverse and inclusive workplace where the different backgrounds, perspectives and life experiences of our people are celebrated and create a great place to grow, thrive and belong.
Interested in joining us? Click Apply now, or visit www.anz.com/careers to find out more or view other opportunities.
Reference number AUS121016
#GD4.2",4.1,"ANZ Banking Group
4.1",Melbourne,-1,10000+ Employees,1835,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
Data Analyst,-1,"Employment Type: Temporary Full Time up to 2 years
Position Classification: Health Mgr Lvl 1
Remuneration: $74,406.00 - $100,090.00 per annum plus superannuation
Hours Per Week: 38
Requisition ID: REQ195845
Location: Newcastle
Applications Close: Sunday 8 November 2020 - 11:59pm


About the opportunity
Being part of NSW Health Pathology means you’re helping create better health and justice systems every day.
We operate more than 60 laboratories and around 200 collection centres across NSW and conduct over 60 million tests per annum. Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best possible treatment decisions for patients. Our Forensic & Analytical Science Service provides independent, objective analysis to the NSW criminal and coronial justice systems.

What we can offer you
Accrued Days Off in addition to Annual Leave
Generous salary packaging options and other fringe benefits
Corporate wellbeing programs, including the Fitness Passport
Learning and development opportunities, including in-house training with RTO My Health Learning

What you'll be doing
To assist in the development and maintenance of NSW Health Pathology’s Statewide Business Intelligence (BI) platform and the timely delivery of insights to its corporate portfolios and operational areas.
Interested in joining Australia’s largest public pathology service? Apply now by addressing the following questions:
Tertiary qualifications from a relevant discipline such as IT, Mathematics, Engineering, Statistics, Science, or professional experience in business intelligence.
Experience in manipulating and transforming data through use of one or more of the following tools / languages: Excel, PowerPivot, SQL, Python, R, SSIS or Data Factory.
Experience in modelling and aggregating datasets through use of one or more of the following tools / languages: Excel / Pivot tables, PowerPivot, DAX, M, Power BI, SQL, Python, R, SSAS / tabular models.
Demonstrated awareness of cloud data and analytics solutions such as Microsoft Azure.
Experience in, or exposure to, data visualisation techniques, including the use of Microsoft Power BI or similar software.
Excellent written and oral communication skills and problem solving skills.
Ability to effectively document processes, procedures and/or code in a collaborative environment including source control, writing briefs and technical manuals for management and staff.

Need more information?

2) Find out more about applying for this position
For role related queries or questions contact Ross Armitage on Ross.Armitage@health.nsw.gov.au

New to NSW Health Pathology?
The preferred candidate may be required to undergo a functional assessment prior to appointment.
Talent Pool
If the selection panel identifies more than one suitable candidate for the role, an eligibility list will be created for future temporary and casual vacancies.",3.7,"NSW Health Pathology
3.7",Newcastle,-1,1001 to 5000 Employees,-1,Government,Federal Agencies,Government,Less than $1 million (USD),-1
Junior Data Analyst,-1,"Junior Data Analyst
If you are about to graduate or are a recent Business (with accounting systems exposure) or IT graduate (information systems graduate) and would give everything to join a young dynamic team of professionals, then this is your opportunity! You will be mentored and challenged to develop to your full potential. Please send your CV to: careers@ironbark.com.au",4.0,"Ironbark
4.0",Eight Mile Plains,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
"Organisational Analyst (Hobart, Canberra and Darwin)",-1,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for the last fifty years. TCS offers a consulting-led, Cognitive powered, integrated portfolio of IT, Business & Technology Services, and engineering. This is delivered through its unique Location Independent Agile delivery model, recognized as a benchmark of excellence in software development. A part of the Tata group, India's largest multinational business group, TCS has over 400,000 of the world’s best-trained consultants in 46 countries. The company generated consolidated revenues of US $19.09 billion for year ended March 31, 2018 and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. TCS' proactive stance on climate change and award winning work with communities across the world have earned it a place in leading sustainability indices such as the Dow Jones Sustainability Index (DJSI), MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit us at www.tcs.com.
Role:
We are seeking the full-time services of an experienced Organisational Analyst to join our team who will be responsible for creating a competitive advantage for TCS through data analytics, industry benchmarking and digital transformation and to strengthen TCSs position as an ‘Employer of Choice’ within Australia and NZ. The following are the expectations for the role:
Responsibilities:
· Conducting extensive external benchmarking of TCS policies around compensation, benefits, employment terms and conditions etc with the aim of improving our competitiveness in the market .
· Understanding of TCS's processes around a variety of internal systems with the aim to analyse current deficiencies and identify improvement areas.
· Collating and analyzing historical performance data and trends within existing internal processes to come up with inputs for decision making
· Connect and collaborate with a number of internal stakeholders in various functions of the business to understand their needs around areas like attracting and retaining top talent and then facilitate changes within existing processes.
· Conduct feasibility studies for the digitization of several current manual intervention dependant processes of employee benefits management with the overall aim of enhancing end user experience and satisfaction.
· Drive the digitization process of selected areas through extensive collaboration of all concerned stakeholders bringing about increased efficiency of the outcomes.
Essential skills:
The successful incumbent should hold a tertiary qualification, but preferably a Masters degree or equivalent in Marketing / Human Resource / Statistics with overall experience of at least 5 years.
Job Types: Full-time, Permanent
Job Types: Full-time, Permanent
Salary: $60,000.00 – $110,000.00 per year
Schedule:
8 hour shift
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)",3.8,"Tata Consultancy Services (TCS)
3.8",Hobart CBD,-1,10000+ Employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Data Analyst,-1,"Email : Jobs@Playsidestudios.com
Data Analyst
Overview:

We are looking for a data analyst to join our scaling team. Working on multiple apps and games over multiple networks you will be tasked on finding ways to improve our titles with data!

Primary Responsibilities:
Combine analytical skills and business acumen to provide the product team with the insights that will drive strategy.
Analyse data, edit concise and meaningful insights: find the signal in the noise that can drive new features or disclose news usages.
Set up and run app-specific A/B tests to drive KPI improvements and help decision making.
Play a key role in supporting the vision for business analytics and challenge the processes to recommend improved KPIs.
Work closely with product managers and data scientists in order to set up a top data team that can bring high added value to our products and businesses on the long run.

Required Skills:
Excellent analytical, problem solving skills including root cause analysis and data cleansing.
Comfortable to interact and work together technical teams
Willingness to learn data analysis and application development to provide optimal support.
Experience with data warehousing and BI platforms.
Advanced knowledge of Excel & experience of statistical analysis tools including, R, Python, SQL and any other programming language experience.
Ability to effectively communicate complex insights and structured hypothesis

Bonus Points:

2+ years of working experience.
Prior data analysis experience in a startup with a large user base
Experience in Apps or Games..
Track record with successful mobile games.",-1,PlaySide Studios,Melbourne,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Analyst - Risk,-1,"Requisition Title -
Data Analyst - Risk
Job Number: - AUS121377
Description

Job Title: Data Analyst
Location: Docklands, Melbourne

Help shape the future as we leverage data to flip traditional banking on its head
Collaborate with talented teams of data scientists, engineers and analysts
Join a progressive organisation with the people and policies you want
At ANZ our purpose is to shape a world where people and communities thrive and to achieve this, we need a talented Data Manager / Senior Data Analyst is to support analytical capabilities within Group Compliance. You will work with the team to ensure that priorities are delivered and contribute towards the creation of cross functional and agile team.
As a team member you will be required to analyse existing information, understand the organisational context and how it aligns with the portfolio’s strategic intent, create and manage documents as required by the initiative and effectively communicate the outcomes

What a typical day might look like
Analysing data and providing quality insight and actionable recommendations to support business decision making
Using the insights gained from data analysis, construct automated measures which allow assessment and enforcement of ANZ’s risk and compliance frameworks.
Working partnership across risk teams, transform data collected from various systems and databases using visualisation tools to
allow stakeholders to discover insights and drive better compliance and operational risk decisions.
Develop understanding of collected business data through investigation and discussion with business partners.
Strong partnerships with Group Compliance teams and business leaders.
Embody the organisational commitments to the AGILE methodology through actions and approach

What will likely be in your toolkit?

Proven experience in processing, cleansing, and verifying the integrity of data used for analysis. Ability to analyse large data sets with high level of attention to detail
Desirable - Coding experience in Python, R, SQL or SAS
A keen understanding of data visualisation (Qlik, Power BI, Tableau)
Demonstrated ability to solve complex problems and evaluate system enhancements consistent with the principles of continuous improvement
Builds trusted advisory relationships across the organisation with a strong ability to influence and succeed through collaboration

You’re not expected to have 100% of these skills. At ANZ a growth mindset is at the heart of our culture and we actively encourage people to try new things. So if this role interests you and you feel you have most of these things in your toolbox, we’d love to hear from you.

About ANZ
centred solutions are helping us get there. We’re responding faster to changing customer requirements, focusing on the things that matter and helping people achieve incredible things – be it buying their home, building a business or saving for things big or small.
We support our people by providing a range of flexible working options so they can work in the way that best suits them. We encourage you to talk to us about your need for flexibility and any adjustments you may require to our recruitment process or the role itself.
We’ll also offer you the opportunity to develop your career, working in a diverse and inclusive workplace where the different backgrounds, perspectives and life experiences of our people are celebrated and create a great place to grow, thrive and belong.
Interested in joining us? Click Apply now, or visit www.anz.com/careers to find out more or view other opportunities.
Reference number AUS121377
#GD4.2",4.0,"ANZ Banking Group
4.0",Melbourne,-1,10000+ Employees,1835,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
Data Analyst,-1,"icare is currently seeking an experienced Data Analyst with a commercial mindset and a passion for social impact to join the icare team.

Contribute key data analytics and insights for one of Australia’s largest insurance providers
Permanent opportunity
Salary from $97,152 + Super

We’re looking for someone to contribute towards the analytics capability within icare, undertaking complex data analysis via new and creative analytical models to provide strategic advice to stakeholders and the business to support decision making.

You’ll be working with a diverse mix of inclusive, driven and passionate people who really care about making a difference for people and the NSW community. You will have a mind for getting things done and a heart for people and you will set the bar high through the quality of the work you do and the people-oriented decisions you make.

Ideally, you’ll bring analytics experience working across complex information system or environments preferably within the insurance or healthcare industry. You’ll have sound knowledge of data analysis, including predictive analytics, machine learning and modelling using SAS, R, Python or equivalent. You’ll be able to build interactive dashboards through data visualisation tools and delivering analytical outputs whilst working in a matrix reporting team.

It’s an exciting environment where no two days are the same. But on a typical day you might find yourself:

Performing and developing descriptive analytics to support business case development
Extracting and visualising actionable insights from structured and unstructured data sources
Partnering with development teams to translate analytical assumptions, constraints and outcomes into business context for stakeholders
Developing longitudinal, point-in-time and geo-sensitive data visualisation
Identifying new business process improvement opportunities across the organisation
Working collaboratively with business teams and data & analytics leaders to prioritise business and information needs

We’re a new kind of organisation, one that’s as supportive and socially conscious as it is agile and explorative. Our DNA of commercial mind and social heart captures who we are at our core.

If you think you’re the right person for this role, send us your resume (up to 5 pages). Don’t delay as we’re assessing applications as they are received. We’d love to hear how your capabilities, achievements and experience set you apart.

We know our strength comes from the diversity of our people and so we want people with different experiences and backgrounds to apply. We recognise the importance of balance and flexibility and understand that it’s not a one size fits all approach, so we’d be happy to talk about and consider your specific needs.

If there are any accessibility adjustments you need to help you be able to apply for this role, or if you require any further information about the role, please contact the Talent Acquisition team.

Please note that you must be an Australian citizen or a permanent resident of Australia or a New Zealand citizen with a current New Zealand passport to apply for this role.

Apply here",3.5,"iCare
3.5",Sydney,-1,51 to 200 Employees,1983,Unknown,-1,-1,$25 to $50 million (USD),-1
Data Analyst COVID 19,-1,"Public Health Response Branch (PHRB) Expression of Interest


Thank you for your interest in assisting the NSW Health with the COVID-19 response.

We have opportunities to assist the Epidemiology and Surveillance Team within the Public Health Response Branch (PHRB) based at St Leonards.

Who is eligible to express their interest?
Everyone who is:
an Australian Citizen, or
a permanent resident of Australia, or
a New Zealand citizen with a current New Zealand Passport, or
a citizen of another country with an appropriate visa that allows you to work in Australia
persons interested in helping NSW Health with the COVID-19 response can apply for this role

What will a COVID-19 Data Analyst be doing?
The COVID-19 Data Analyst is part of the Epidemiology and surveillance team within the Public Health Response Branch (PHRB) responding to the COVID-19 Pandemic.
The Data Analyst is responsible for cleaning and preparing data from various sources for import into surveillance systems. The Data Analyst is responsible for providing high quality reliable data for the reporting team and other government users. The Data Analyst is responsible for analysis and enhancement of reporting data to provide high level and detailed daily, weekly and longer-term reports and visualisations. The Data Analyst will also respond to queries and information requests and other duties as required.


Working time
The PHRB is scheduled across 7 days a week over two shifts (8.30 am - 4 pm and 2.30 - 10 pm).

Remuneration
Classification: Health Manager Level 1
Salary range: $74,406.00 - $100,090.00
Hourly rate: $37.53 - $50.48

Key skills required
1. Data analysis skills and experience.
2. Experience with SAS and other data analysis platforms such as R.
3. Health or public health experience preferred.
4. Demonstrated high-level problem-solving skills and attention to detail.
5. Demonstrated excellent communication skills.
6. Knowledge and understanding of NSW Health policies, working process and guidelines.
7. Previous experience in data management and statistical computing.

Key accountabilities of the role
Prepare daily data extracts for import into the surveillance system.
Provide support for users working with reporting extracts in other government areas.
Liaise with data providers & subject matter experts to ensure correct translation between source data and stored data.
Prepare data for state-wide reporting.
Develop and maintain data pipeline code and improve code quality.

Key challenges
Work under time pressure to tight deadlines
High attention to detail required
Weekend work required


Things to consider when expressing interest:
Your availability will need to be across 7 days per week, for 5 shifts (morning and afternoon)
Weekend and/or evening work will be required

What do I need to provide?
Attach your current resume / curriculum vitae (CV) (maximum 5 pages) ONLY to the application
Complete the pre-screening questions on the application form.
Provide your availability including time frame/duration you are available.
2 x referees will need to be supplied prior to an offer being made.

Are you currently a NSW Government employee?
Current NSW Health, NSW Ministry of Health and NSW Government staff, must have their manager’s approval prior to expressing interest.
This will be an off-payroll arrangement for current Public Sector Staff, your agency can invoice NSW Health for salary expenses.
The team works on a shift work arrangement, you will be required to amend your working conditions to accommodate shift working.

Who will view my EOI?
Manager and Team leaders, of PHRB teams may review your expression of interest.

Our Commitment to Diversity
NSW Health values diversity and is committed to building an inclusive workplace culture that reflects the community we serve. We encourage applications from diverse community groups including Aboriginal and Torres Strait Islander people, LGBTIQ+, those with special needs and people from culturally and linguistically diverse backgrounds.

For any technical issues, contact Recruitment at HSSG-Recruitment@health.nsw.gov.au.

Please note that not everyone who expresses their interest will be called to work in the centres.",3.1,"Health System Support Group
3.1",Sydney,-1,5001 to 10000 Employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Engineer / BI Analyst,-1,"Data Engineer / Business Intelligence Analyst
Our client is a highly successful organisation located in the Gold Coast who are now looking to grow their data and BI team.
The Data Engineer / BI Analyst will be supporting the business objectives and strategy. You will join an established team; building dataflows into data lake and data warehouses from a wide range of sources.
You will collaborate with a variety of departments within the business on a regular basis to plan and translate requirements into solutions and ensure delivery of successful business outcomes.
Responsibilities and Skills:
Connect APIs, flat files, databases and data streams to the data lake (ETL)
Shape data from the data lake and form a Kimball data warehouse
Ensure that appropriate data quality, integrity and alerting is built into the system.
Comfortable working on the MS BI Stack, SSIS, SQL server and Power BI
Experience with Power BI or other similar visualisation tools
SQL Server
C#
Good communications skills.
The company will offer a competitive salary plus flexible working.
Interested? Please click apply.",-1,HUMANISED GROUP,Gold Coast,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
