Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Engineer - Machine Learning/Data Science,-1,"Zendesk is looking for a Software Engineer - Machine Learning/Data Science for a full time position in our Melbourne office.
As part of our engineering team, you will work at a scale where the challenges start to get seriously interesting. Our global engineering team is widely dispersed over the world, with people across nearly every continent. You will get a chance to do cool things with a diverse bunch of people while working in the Melbourne office that is home to Zendesk’s first machine learning (ML) research team.
The Data Science Team, together with Data Engineering, have built Satisfaction Prediction, Answer Bot and Content Cues — products that use Machine Learning (ML) and Artificial Intelligence (AI) to help our customers work more efficiently.
What you get to do every day:
We’re currently looking for someone to join our team as we research, develop, and productionise Machine Learning and Deep Learning models. In addition to frequenting Melbourne’s finest purveyors of coffee, ramen, and bulgogi, you may find yourself:
Building machine learning models including neural networks in TensorFlow
Writing and deploying production-grade Python
Querying and constructing datasets in AWS Athena, Spark
Evaluating and responding to real-world model performance
Scaling your ML to millions of predictions per day
Presenting your work to a broader audience
Watching your algorithm help Zendesk’s end-users
What you'll bring to the role:
A strong foundation in a quantitative discipline (e.g. machine learning, statistics, bio/eco/etc-informatics, econometrics, etc) is critical for this position. While experience in deep learning and natural language processing would be beneficial, your best qualities are:
dedication to continuous learning
collaborative work attitude
strong communication skills
You should also be comfortable with at least one programming language, such as Python, R or Scala.
Application Deadline: 18/11/2020
Job Types: Full-time, Permanent
Salary: $85,000.00 – $110,000.00 per year
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)
Work Remotely:
Temporarily due to COVID-19",4.5,"Zendesk
4.5",Melbourne,-1,1001 to 5000 Employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Software Engineer (Machine Learning),-1,"About the Role
AdelaideMRI is building a medical reporting tool. We require an engineer to work primarily on machine learning projects to improve reporting speed and report comprehensiveness.
You will perform data analysis of medical report datasets and image datasets to infer sentence recommendations, image classifications, or other actionable results for the doctors.
Skills and Experience
Background in machine learning or image processing
Qualifications in Computer Science, Software Development or Engineering or equivalent experience
Bonus points for Python
No prior medical knowledge is required.
This position offers flexible hours and work arrangements.
Job Type: Full-time
Experience:
Software Engineering: 1 year (Preferred)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)
Work Remotely:
Yes",-1,Adelaide MRI,Australia,-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,-1,"Hey there, we’re PEXA!

We started as an idea: to deliver a single, national e-Conveyancing solution. We collaborated with the industry to create a national electronic lodgement and settlement platform: PEXA. From our humble beginnings, we’ve now grown to more than 320 employees across 5 different states. We’re still expanding at a rapid rate and constantly challenging ourselves to create great experiences for our members as they transition to fully digital conveyancing.

Why become a PEXArian?

Great question! Being a PEXArian is so much more than just a job. We are passionate, motivated & unashamedly enthusiastic at PEXA - we love what we do and we’re proud to admit it! Creating brilliant member experiences wouldn’t be possible if we didn’t also strive to create an amazing employee experience. Alongside our members, our employees are at the heart of everything we do.
Here’s a snapshot of what your life at PEXA could look like:

Your growth:
We encourage you to hit your personal and professional Learning & Development goals with our tailored programs and tools.

Your wellness:
We care about your holistic well being - a fully stocked kitchen, four wellness days, a $250 wellness subsidy as well as lunch and learn sessions to support your financial well being.

Your work/life blend:
We know that work is just one aspect of your life, we want to help you create your ideal work/life blend, rather than squeezing in life around work.

Your family:
With a range of benefits aimed at supporting your family including access to a subsidised school holiday program, extended parental leave and flexi-time to support your return to work, superannuation payments for unpaid parental leave for primary carers and a childcare allowance for pre-primary aged children, when we say, ‘welcome to the family’, we really mean it!
The impact you'd drive:
The successful candidate will be responsible for developing, and maintaining infrastructure to support the delivery of new and existing products. They will also be contributing to establish the rules and frameworks for obtaining the required approvals for new products.
On day one we’d love you to have:
Experience with Python, Spark
Event streaming/sourcing with Kafka or AWS Kinesis
Experience with data structures, formats and data security best practices
AWS experience (e.g CloudFormation, S3, ECS, Lambda, SQS, IAM, KMS, DynamoDB, Glue, Athena)
Query construction and optimisation (e.g. SQL, Elasticsearch, Splunk, DynamoDB)
Git, version control practices, and continuous integration/delivery servers
PyUnit and unit testing frameworks
Production release cycles and maintenance
Collaborating with technical and non-technical teams
Even better:
Agile methodology/delivery
GraphQL
Modern frontend technology (e.g. ReactJS, TypeScript)
Machine learning frameworks and tools (e.g. TensorFlow, PyTorch)
OAuth 2, SAML 2, JWT
Data visualisation and exploration tools (e.g. Jupyter notebooks, Tableau)
AWS SageMaker
Sounds like you?
If this role sounds like you, apply today to have your application reviewed ASAP!",3.9,"Property Exchange Australia Limited
3.9",Melbourne,-1,201 to 500 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Ongoing position
Full time
Based in Sydney, NSW
Who we are
Australian Red Cross is part of the world’s largest humanitarian organisation. Our aim is to improve the lives of the most vulnerable people in Australia and across our region.
About the role
The Data Engineer role will sit within the Data and Integration Squad in IT and will own (design, implement and support) the AWS Big Data technologies such as the Data Lake and Data Warehouse and support the organisation in growing the data analytics capabilities at Red Cross. In addition to this, the data engineer role will also administer the Power BI tool and support the implementation of the data mastering capability.
What you will bring
Experience building and optimizing data pipelines, architectures and data sets.
Experience in dimensional modelling and building data vaults
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with structured, semi-structured and unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Why work for us?
Work for purpose and know that your work assists Red Cross support and empower people and communities in times of vulnerability.
Generous salary packaging options available that can increase your take home pay.
Further information
To find out more about this opportunity please see the position description below or contact Sharath Kumar Gurram on 02 8651 8839.
Position Description: Position Description - Data Engineer .pdf
Applications for this position will close at 11:55pm Thursday, 5 November 2020.",4.1,"Australian Red Cross
4.1",New South Wales,-1,1001 to 5000 Employees,-1,Nonprofit Organization,Industrial Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Junior Fullstack Data Engineer (Python and React),-1,"Formbay is the leading Renewable Energy Certificate Trading company in Sydney. We provide Digital Workflow and Compliance solutions in the renewable energy industry and document processing.
Thanks to our meteoric growth and our commitment to be the best at all we do, we've identified the need to bring on board a new Junior Fullstack Data Engineer.
Reporting to our Principal Machine Learning Engineer, you will help build Machine Learning pipelines for our existing Digital Workflow and Compliance solutions to automate fraud detection and document processing over terabytes of photographic and documentary data – including documents, photos, GPS data and aerial/satellite photography.
Our stack is based on Python, JavaScript, Dask, Tensorflow, CUDA, Nix/NixOS, AWS, Docker, PostgreSQL and more – familiarity with these applications will give you a leg-up on the competition.
Our ideal candidate will have the following competencies:
SQL
Python
JavaScript/TypeScript
Our candidate must also be comfortable working with Linux.
Located a stone's throw away from the Queen Victoria Building in Sydney's bustling CBD, we are centrally-located with easy access to public transportation, bars, cafes and fine dining.
Formbay will provide flexible working hours, a generous remuneration package and the opportunity to work on a world-first software solution are what we can offer you. Free, twice-weekly gym sessions and really, really good coffee are also available.
No hiring/recruitment agencies need apply.",5.0,"Formbay
5.0",Sydney,-1,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"ABOUT US:
Kilcoy Global Foods is a nature-to-plate company with a footprint spanning Australia, the United States and China. We partner with the world’s food industry to find new and better ways to source, prepare and serve delicious meat and seafood the world loves to eat. We believe our winning culture stems from the quality of our people and the contribution they make to Kilcoy Global Foods every day. We proudly acknowledge the hard work and dedication of our 1700+ employees who are committed to first-class standards, quality and safety. Our Australian operation, located in Kilcoy, (one hour north-west of Brisbane) and the Sunshine Coast (Head Office) is the largest Grain Fed Beef Producer in Australia.
Kilcoy Global Foods is an experienced and qualified Data Engineer to join our IT team based in Birtinya.
Key Responsibilities:
Create and maintain data pipelines and or ETL scripts
Create and maintain data integration including API and Batch interfaces
Performed detailed data analysis
Create and maintain corporate data models
Create and maintain data visualization using Qlik.Sense , PowerBI or Simliar Toolset
Experience in defining, building and maintaining data virtualization and/or star schema data warehouses
Maintain, tune and optimise database, integration and visualisation toolsets
ABOUT YOU:
To succeed in this role, you’ll need to bring the following experience and skills:
Experience in meat processing or FMCG environment is highly regarded
Experience in an Agile project environment
Can demonstrate strong communication, facilitation, negotiating and influencing skills
Excellent communication skills both oral and written, with an ability to bring clarity to an operational environment with complex influencing factors
Able to effectively work with a range of stakeholders - Administrative Staff, Management and Executive Management
Strong analytical and problem-solving skills
Innovative and creative thinking
Experience with data analysis and modelling will be beneficial

How to Apply
If you have the right skills and would like to join our company and be part of our success, please complete your details and attach your resume along with a cover letter addressed to Piper Lambourn, Workforce Planning Officer.
Further information can be obtained via our website https://www.kilcoyglobalfoods.com/en_AU/
We look forward to reviewing your details and will be in touch as soon as possible.
We are an equal opportunity employer and make every effort to select the best qualified individual for the job based on job related qualifications and experiences. Some of the information we collect via your application form and resume is “personal” information as defined by the Privacy Act. All information provided via your application form and resume is treated as confidential.
You may be required to present proof of identification (Driver's Licence, Passport or Birth Certificate). If you have a scanned copy of one of these documents please attach at least one form of ID to your application. If you are having difficulty attaching documents, please contact the Recruitment Department on (07) 5422 4600 and let us know.
Apply Now",4.1,"Kilcoy Pastoral Company
4.1",Kawana Waters,-1,501 to 1000 Employees,-1,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,Less than $1 million (USD),-1
Graduate Data Science / Engineer,-1,"The NRMA is an organisation looking to the future, and right now, we are on the lookout for people who can help us reach our goal: to continue to shape the way Australians move, for the next 100 years and beyond. www.mynrma.com.au.
Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our offices. All interviewing and on boarding will be done virtually due to COVID-19.


Your opportunity
As Graduate Data Scientist or Engineer you will be part of the Data Engineering team delivering cloud data transition program for business initiatives and supporting the entire data platform build.
Your key responsibilities will be to:
Implementing Concepts of Data Warehousing, Data Mart creations within Cloud
Use of SQL for data analysis and insights
Building AI/Machine Learning prototype for implementing and supporting existing algorithms
Data Analytical reports build, using different tool sets


Requirements for Success:
Relevant Degree - Computer Science, Computer Engineering, Software Engineering, Data Science
Excellent SQL skills and demonstrated working knowledge in Python
Demonstrated understanding in data structure and algorithms.
Knowledge and concept of data warehousing methodologies
Any reporting tools experience Tableau or Oracle Analytics Cloud, Looker is desirable
Exposure to Google/AWS/Azure/Oracle any cloud based platforms is desirable
Good communication and interpersonal skills

If you have the required skills and the passion to join our high performing team, please apply today.

Employee Benefits
To ensure our employees feel valued, empowered and celebrated we provide a range of employee benefits including:
50% discount on all NRMA insurances
Free Roadside Assistance
12 weeks paid primary and 4 weeks paid secondary parental leave
Free NRMA Blue Membership
At the NRMA Group, we are People Moving People and diversity and inclusion are part of our DNA. Together, we continue to build an inclusive culture that encourages, supports and celebrates the diverse voices of our employees. It fuels our innovation, promotes flexible ways of working and connects us closer to our members and the communities we serve.",2.5,"NRMA Motoring & Services
2.5",Sydney,-1,501 to 1000 Employees,-1,Nonprofit Organization,Casual Restaurants,"Restaurants, Bars & Food Services",$500 million to $1 billion (USD),-1
Data Centre Engineer,-1,"We are a leading world group that provides low-carbon energy and services. To tackle the climate emergency facing us all, our aim is to become the world leader in the zero-carbon energy transition ""as a service"" for our clients – particular for companies and regional authorities. We use our expertise in our key business areas (renewables, gas, services) to provide competitive and bespoke solutions.
The Data Centre Engineer will be employed as part of a 24/7 ongoing shift to coordinate and monitor third party service providers, maintain the data centre facilities and infrastructure plans, coordinate the implementation of customer requests within the data centre and monitor systems, all in accordance with the Contract KPIs and SLAs.
Coordinate and monitor third party service providers for regular maintenance & testing, service faults & call outs, ensuring works are performed in accordance with Contract SLAs
Monitor and maintain the data centre facilities and infrastructure plans and documentation, including electrical, mechanical, hydraulics, fire and BMS/EMS systems
Coordinate the implementation of internal and external customer requests within the data centre
Perform scheduled plant checks and minor maintenance works
Ensure all Work Order requests are raised and closed in a timely manner
Conduct inductions for staff, vendors and contractors
Ensure all work permits for vendor works are raised and closed
Perform inventory checks on all equipment and critical spares

Qualifications
The selected candidate must be able to demonstrate:
Electrical or HVAC background, or Graduate Electrical or Mechanical Engineer
Passionate about quality work and career minded looking for a new challenge
Can commit to a day and night shift roster (2 days of day shift, then 2 days of night shift, 4 days off)
Ideally able to commence asap
As part of carrying out the duties of this role, it is mandatory to hold Australian Citizenship.

If you are interested and meet the selection criteria apply with an up-to-date resume via the apply instructions on this website.

ENGIE Services is an EEO employer, where all applicants are treated with fairness and respect and have equal access to the opportunities available.

We will not be engaging in the services of a recruitment agency to fill this vacancy and therefore request all interested candidates apply directly to this advertisement.

Job
: Maintenance
Primary Location
: Oceania-Australia-New South Wales-Erskine Park
Organization
: ENGIE Services Australia and New Zealand
Schedule
: Full-time
Nature of Responsibility
: Senior operational / administrative role
Job Posting
: Sep 11, 2020, 6:29:59 AM",3.7,"ENGIE Services Australia & New Zealand
3.7",Sydney,-1,5001 to 10000 Employees,1995,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1
Senior Data Engineer,-1,"Senior Data Engineer, Temporary, SYDNEY - McKell

Job Title: Senior Data Engineer

Salary: SNSW Grade 9/10 - The package includes base salary range of $111,806 to $134,667, plus employer's contribution to superannuation and annual leave loading.

Location: Head Office – Haymarket

Employment Status: Temporary through till 30th June 2021


About Service NSW:

Service NSW is making it easier for people and businesses across NSW to access government services. The role designs, builds and analyses complex data from multiple sources to identify revenue, process and business improvement opportunities; providing new information and insights to the business to inform planning, continuous improvement and performance.

About the Role

We are currently seeking to appoint a Senior Data Engineer to deliver expert advice and services in the design of a Single View of Customer and data-related services to support the achievement of business outcomes and strategic goals. We support flexible working practices with staff working remotely during this time.

In this role you will:

Design, build and support a modern data platform based in AWS and vendor technologies.
Provide expertise on data modelling for Graph data model and Customer Data Platform (CDP).
Create data pipelines, load, transformation and reporting workloads in AWS.
Work with the latest data engineering technologies like Apache Kafka, AWS Kinesis, AWS Neptune, AWS Glue and AWS Athena.
Contribute to the design and decision-making of the right tool or platform for the job according to requirements.
Provide expert advice and guidance on data quality and data engineering best practices.
Support a “bigger than you can imagine” scale of data in production environments.
Design, develop and support a metrics-driven reporting solution and a meaningful business intelligence platform.
Document the solution design and support procedures of solutions.
Produce reports, visualisations and recommendations to answer complex business problems that are presented in the most appropriate format to ensure clarity for target audience.
Analyse and define new process improvement opportunities to support continuous improvement and business outcomes; providing advice to stakeholders, on ways to improve the efficiency and reliability of data products and services.
Be very responsive to the information needs of the business by corresponding to customers in a timely manner and provide support/solutions to issues raised.
Troubleshoot and perform root cause analysis on production issues. Identify and implement long term solutions to problems. Perform scheduled maintenance, release deployment and production support activities after business hours, from time to time.
Liaise with internal and external customers to discuss and gather requirements, solutions etc. and maintain a good working relationship with the stakeholders.


Skills and Experience Required:

Solid experience with workflow technologies designing and building data pipelines, data models and data stores.
Experience working within and an understanding of Amazon AWS ecosystem, including security and performance tuning.
Hands on experience working with different types of databases, with focus on Graph and NoSQL databases.
Experience with data streaming required. Having used Kafka and related technologies is an added advantage.
Sound knowledge and experience working with batch processing, data extraction and API integration.
Hands on experience with at least one programming language: Java, Python or scripting.
Demonstrated experience working in an Agile based, fast paced, complex environment within cross-functional teams.
Experience developing systematised insights, data analytics and reporting solutions is an added advantage.
Experience with interactive visualisation of data insights is an added advantage.


Working at Department of Customer Service

The Department of Customer Service is a great place to work! Our values of accountability, trust, service and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.

Working at Department of Customer Service

The Department of Customer Service is a great place to work! Our values of accountability, trust, service and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.

Salary Grade 9/10, with the base salary for this role starting at 111,806 base plus superannuation

Closing Date: 6th November at 9:59am - applications will be reviewed on a rolling basis, applications may close early or extend

Please apply online, direct applications submitted via email will not be considered.

The Department of Customer Service is proud to be an EEO Employer who are fully focused on equality and believe deeply in diversity of all identities making us different and a true reflection of our NSW customers. As an inclusive workplace, we support various employee resource groups, practice flexible work and workplace adjustment.

If you do require an adjustment during the recruitment process, please notify us on your application form.",3.2,"Service NSW
3.2",Sydney,-1,501 to 1000 Employees,2012,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,-1
Data Engineer - Entry / Mid Level,-1,"Work with a great team on interesting projects customers
Gain more experience in AWS, Data, DevOps cloud operations
Got a working knowledge of AWS? We will teach you the cool stuff!

Itoc is seeking an up and coming Data Engineer to join our growing Data Team in Sydney.

This is an exciting role working with databases, data lakes, data warehouses, data transformation (Python SQL) and enabling AI/ML.

You will be implementing foundational, robust and production ready data platforms to enable business data-discovery, self-service, AI/ML functions across a range of client types and industries, allowing them to do more with their data.

You'll be responsible for:

Deploying data repositories such as lakes and warehouses.
Contribute to our growing portfolio of data solutions.
Ongoing optimisation and management of data platforms.
Development of transformational logic for data pipelines
Data evangelism. We want to show our clients how to follow the best practices for data.

Desired Skills and Experience

To take up the challenge, you will have a depth of skills and experience including:

1-2+ yrs of focused data experience working with SQL and/or NoSQL solutions
A solid education in Software Engineering or equivalent industry experience.
Anything Data focused preferred.
Ability to analyse business scenarios and associated data landscape to derive potential opportunities.
Strong foundation in Python and SQL
Working knowledge of APIs
Principle knowledge of the different relational database platforms and modern data storage techniques
Knowledge of the different aspects of data environments
Collect, store, process, verify consume
Experience with version management systems (such as GIT)
Working knowledge of AWS or another cloud platform - we will teach you the cool stuff.
Great communication skills, an ability to work closely with customers, developers and engineers and the confidence to present ideas in open forums.
Relevant tertiary qualifications and/or industry certifications.
Great communication skills, an ability to work closely with clients, developers and engineers and the confidence to present ideas in open forums.

While not required, a background in consulting and professional services is highly desirable.

Itoc Description

This is an exciting and challenging career opportunity to join the growing Sydney-based Data Team of a leading cloud solution provider where you will be given support to reach your long term career goals. You will be part of a team of cloud experts and will work in an environment of continuous improvement and learning delivering innovative cloud solutions across SaaS, online business and enterprise business.

On offer is a chance to join a team with a great working environment, in an organisation that values its employees and sees the value in ensuring they are engaged. Our team are clearly passionate about what they do, that's why we won the following awards:

Customer Obsession Partner of the Year 2015: ANZ Region
Customer Obsession Leadership Partner 2015: re:Invent

As an employer of choice Itoc offers competitive remuneration, training and development programs and a great working environment. We value a healthy work life balance.

The Perks

MacBook or Dell
Continuous internal learning that will provide training and career development opportunities
Working with a collaborative, social team and leveling-up your skills faster than you will anywhere else.
Quarterly social events

Itoc

Culture and smarts are important to us. Bring your secret sauce. This is no ordinary environment, you will work along some of the Cloud’s best. All engineers at Itoc must gain at least five AWS certifications. We work hard but we have fun.

Please note you must have full working rights in Australia and be available on-shore for face to face interviews.

No recruiters please.",4.0,"Itoc
4.0",Sydney,-1,1 to 50 Employees,2013,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
