Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Medical Data Scientist,-1,"Does supporting world-class research and improving lives of patients excite you? Our dynamic and internationally recognised research company Optimum Patient Care, (OPC) is looking for a highly motivated and dynamic member to join our data team. The role can be based in one of our Singapore, Cambridge, or Brisbane offices. For experienced individuals, remote working may also be considered. In this role you will be working alongside our research, statistical and database teams.
This is a fantastic opportunity to gain experience within an internationally recognised research organisation involved in the analysis and dissemination of data from large-scale observational studies and pragmatic randomised controlled trials.
The successful candidate will have experience of working in health research data, have a high attention to detail, a proactive approach and strong time management skills.
Primary responsibilities:
· Provide support on database querying, population, and reporting, using structured query language (SQL)
· Statistical analysis using R
· Generate data releases following study protocol requirements and service reports (Jupyter notebooks, RMarkdown)
· Improve the interpretation of medical free text with Natural Language Processing skills
· Advise internal team members and external clients on study database(s) content
· Engage in building and maintaining data dictionaries and system technical documentation
· Undertake quality checks to assure high standards of data and code
· Contribute to data analyses as required for research projects
· Maintain compliance with information governance and company policies
Qualifications Required:
MSc preferred, with strong technical or scientific component (e.g. Computer Science, Math, Statistics). BSc or equivalent will be considered for candidates with additional relevant experience.
Essential Experience:
· Expertise in Structured Query Language (SQL) and database processing (ETL, stored procedures, large datasets)
· Experience in at least one of the following statistical packages: R (preferred), Python (data science toolkits, particularly Pandas, ggplot, Scikit Learn, Tensorflow, Keras), or Stata
· Experience working with relational databases (such as SQL Server), clinical or medical research, working with big data
· Statistical background (models, correlations, hypothesis), and database administration tools (migration, DB administration)
· Experience of working with real-life clinical databases /EMRs /registry data
· Strong in data analysis, interpretation, and visualization
Preferred Experience:
· Natural Language Processing and use of regular expressions in R or Python, particularly in text-mining software (e.g. Python's spaCy)
· Automating generation of regular reports, through R Markdown, Jupyter notebooks, or another report-generation software
· Data dictionaries and advanced documentation systems
Contract and Salary
Part-time and full-time roles are considered.
Starting salary is dependent on qualifications and your experience.
Immediate start is available.
Job Types: Full-time, Permanent
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)",1.9,"Optimum Patient Care
1.9",Rocklea,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,-1,"The Company: -
We are a retail brand 84 years young and on the move. In the digital landscape, we have a lot to achieve over the next 2-3 years. We want a super-star to join our playful, driven, focused marketing team.
Culture: -
You’ll be joining a dynamic team with a fantastic culture where diversity is openly celebrated, and you’ll be challenged and supported to achieve personal and business goals. Expect a work environment that is highly collaborative, fast-paced, inclusive and progressive - with no two days the same!
Our Values:
Think Customer, Take Care, Own It, Inspire, Live Integrity, Be Passionate, Grow Together and Reach Higher will resonate with you deeply. You’ll enjoy being part of a growing, iconic Australian business that has a fabulous culture that is diverse and inclusive.
The Position:
This is a new role within the organisation; you can set the destination for success. This is a pivotal role within the Marketing Team. This person will be a gun operator that eats, breathes and digests data and is someone who can interpret data into a strategy we can roll out and then review.
You’re an expert in CRM; the function plays an active role in the formation of ongoing CRM strategies, as well as the weekly/monthly/annual omnichannel calendars that enable the continuous and consistent testing, learning, and optimisation to maximise the customers lifetime value, maximising KPI improvement, ROI, and business impact.
This is our vision: -
Review and refine the data we collect across all channels (eDM, Website, NPS, Preezie (online tool) etc.) into the one portal. Let’s have one source of truth not numerous.
Refine how we work with our CRM supplier, Cheetahmail. We need to create a strong working relationship with clear accountabilities.
Create a strategy that will further engage our customers, lift sales and reduce churn.
Review all current reporting and turn it on its head, let's take it to the next level.
Review the algorithms to create seamless customer communication that will be predictive in nature.
We want to create 1:1 communication across eDM, dynamic content on the website, customer call centre, Virtual Appointments etc.
Let’s audit our communications strategy and work of global best practice.
This role is truly a game-changer, the business is on the march and we are clear on our vision. We want someone like-minded joining our business. If you love data, your strategic, willing to roll your sleeves up and make it happen, love a challenge and want to make a difference, we want to hear from you.
Job Type: Full-time
Salary: Up to $1.00 per year",1.8,"Bevilles Jewellers
1.8",South Melbourne,-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
APS 6 Data Scientist,-1,"Smarter Data Program, Data Science and Insights
Various locations in ACT, NSW, QLD, SA, VIC & WA
Ongoing/non-going, full-time/part-time, $82,898 - $95,181 + 15.4% super
We are seeking enthusiastic and innovative individuals to join our team.

As a Data Scientist in our Smarter Data Program, you will apply your expertise to extract actionable insights from structured and unstructured data.

Working collaboratively across the team and with other areas, you will help solve problems and assist in delivering practical data driven solutions. You will also present analysis, insights, findings and recommendations in a meaningful way with different audiences.

You will share your knowledge and experience to build team capability, and will contribute to innovation initiatives.

These roles may be offered on an ongoing or non-ongoing basis in Adelaide, Box Hill, Brisbane CBD, Canberra, Melbourne CBD, Perth or Sydney CBD.
Candidate information kit Opens in new window",4.0,"Australian Taxation Office
4.0",Australia,-1,10000+ Employees,-1,Government,Federal Agencies,Government,$2 to $5 billion (USD),-1
Data Scientist,-1,"Leading federal agency
18 months contract
Location of work: Australian Capital Territory, New South Wales, Northern Territory, Queensland, South Australia, Tasmania, Victoria, Western Australia, Offsite
Hiring Data Scientist with a background in data science or analysis, including experience with data manipulation, analytics, and forecasting, and communication of technical results. Coding experience in programs such as R or Python is also required. Knowledge of the structure and operation of the national electricity market, or the Australian energy sector more broadly, is also desirable. As is any experience in energy market modelling.
Essential Selection Criteria
Excellent communication skills, problem-solving and analytical skills.
Demonstrated experience in applying data science to meet the needs of business users, including understanding business requirements, articulating problem statements and developing criteria for suitable implementation of data science solutions.
Demonstrated knowledge of appropriate techniques to explore, profile and cleanse data from a diverse range of sources and experience in presenting exploratory data analysis to non-technical stakeholders.
Experience using Python, PySpark, R or SparkR programming languages through development environments including Databricks for developing supervised and unsupervised machine learning models, with a particular emphasis on Natural Language Processing.
Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force Survey and Census.
Desirable Criteria
Experience with proof-of-concept development, preferably in Power BI or Shiny.
Experience working with big, unstructured datasets. Knowledge of the Burning Glass dataset would be an advantage.
Expertise in Agile methodology and a clear understanding of the ethical implications and governance of algorithms.
Job Types: Contract, Permanent
Salary: $100.00 – $120.00 per hour
Work Remotely:
Temporarily due to COVID-19",-1,Chrysalis Software Solutions,Sydney,-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
EL 1 Data Scientist,-1,"Smarter Data Program, Data Science and Insights
Various locations in ACT, NSW, QLD, SA, VIC & WA
Ongoing/non-going, full-time/part-time, $106,183 - $115,762 + 15.4% super
We are seeking enthusiastic and innovative Data Scientists to join our Data Science and Insights team.

As a Data Scientist in our Smarter Data Program, you will have a leadership role in data science projects.

You will apply data science techniques including artificial intelligence, machine learning, deep learning, natural language processing, computer vision, statistical modelling, graph analytics, behavioural analytics and visualisation to deliver actionable insights from large, often complex datasets. You’ll manage key client relationships, problem solve and produce business-ready output.

Your ability to communicate effectively about analytics approaches and solutions to diverse audiences will be critical to success.

You will also have a hands-on role establishing team capability through mentoring others, providing performance feedback and encouraging career development.

These roles may be offered on an ongoing or non-ongoing basis in Adelaide, Box Hill, Brisbane CBD, Canberra, Melbourne CBD, Perth or Sydney CBD.
Candidate information kit Opens in new window",4.0,"Australian Taxation Office
4.0",Australia,-1,10000+ Employees,-1,Government,Federal Agencies,Government,$2 to $5 billion (USD),-1
Senior Data Scientist,-1,"Permanent opportunity, location flexible across Australia
Exciting opportunity to drive innovation and collaboration across our business
Connect theoretical concepts with imperfect real-world applications

Working for us
At Origin we have a strong purpose and values that challenge us to find the answers to the big energy questions. Every person that works with us helps us reach that goal. If you bring good energy to Origin, you’ll get it in return. A challenging career. An exciting industry. And the support to grow and explore your potential.
The Role

Origin is passionate about using Digital technologies to make good energy. Our Integrated Gas business has an exciting Digital program that is leveraging leading edge AI, IOT and cloud technologies to make a big difference. This is a great opportunity to join the IG Digital team.

As the Senior Data Scientist, you will work with Integrated Gas engineering, operational, planning and commercial teams to solve key business problems via data exploration, model and methodology development and deliver a pipeline of high value projects via advanced analytics and IoT platforms.

Reporting to the Principal Data Scientist, you will:

Establish and maintain relationships with stakeholders to ensure analysis is purposeful and value adding
Design experiments, test hypotheses and build models to solve key operational challenges and create value
Model and frame business scenarios that are meaningful and which impact on critical business processes and/or decisions
Identify what data are available and relevant, including internal and external data sources, leveraging existing internal data sets as well as external data sources processes
Solve analytics business problems and communicate results and methodologies in a manner which is compelling and drives user engagement and adoption
Work in iterative processes with stakeholders to validate findings and discover value creating solutions
Support building organisational capability and understanding of data science principles and approaches, such as testing hypotheses and statistical validation of results

Is This You?

To be successful in this role you will be analytically minded, self-motivated and inquisitive with the ability to work autonomously and flexibly in a dynamic and changing environment. You'll be naturally excited by solving business problems through data and have a sound understanding of the value of this and the ability to bring stakeholders on the journey.
You will have:

Tertiary qualifications in a quantitative discipline, e.g. statistics, quantitative finance, computer science, engineering or physics, post-graduate degree desirable
2-3 years professional experience in a data science field applying machine learning approaches in industry
Demonstrated ability to identify commercial relevance of analysis and deliver
Strong problem-solving skills and an ability to connect theoretical concepts with imperfect real world applications.
Extensive experience in troubleshooting and solving complex technical problems on large datasets
Strong commercial acumen and an understanding of how your research and experiments relate to and provide value to the business.
Advanced programming skills. R or Python is essential. PL/SQL and OSI PI experience advantageous.
Familiarity with time series analysis and longitudinal data
Exposure to Cloud based computing experience

A great team to join
It's an exciting time to join Origin. Together we’re powering a cleaner, smarter energy future for Australia and beyond, always looking for better ways to deliver for our customers – and for our people.
Origin’s Integrated Gas business plays a critical role in powering our future, as a leading gas producer for Australian and international markets. We’re also exploring for natural gas reserves to develop as a future energy source. We focus on being an efficient, low-cost operator of unconventional gas to meet the growing demand of high value gas and LNG customers in Australia and Asia. We need passionate and forward-thinking people to join us, who are committed to a zero-harm safety culture, managing risk and driving culture change.
Origin. Good energy
At Origin, our focus is on getting energy right for our customers, communities, and planet. Because we know it’s up to us to shape the future of energy. Today, we serve more than 4.2 million customers, are one of the most significant energy producers in the country and listed in the ASX Top 50 companies.
Origin recognises Aboriginal and Torres Strait Islander Peoples as the Traditional Custodians of country throughout Australia, and we pay our respects to Elders past, present and future.",3.3,"Origin Energy Services Ltd
3.3",Adelaide,-1,5001 to 10000 Employees,-1,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
Data Scientist,-1,"Location: New Castle
Immediate Position
Requirement
We are looking for data scientist with over 10 year’s exp. using advance analytics algorithms and AI, ML techniques. The candidate should have good Telco background and must have executed 2-3 projects in field force analytics in Telco domain. Truck roll analytics exp. is also desirable. Opening is for one of the leading Telco giant in Australia. Location will be New Castle. He/She will be responsible for END TO END project delivery. Candidate should be very good in stakeholder management, presentations and should be able to articulate and architect the solution effectively to bring-in the values which data analytics solution can deliver.
Job
The person will be required to:
Understand the field data to be used for advance analytics using AI & ML techniques
Drive the analysis of data, present it to client stakeholders
Ability to manage high volume and high complexity projects
Candidate should have exp. in virtual environment with excellent client communication skills
Highly competent technically with significant, hands-on expertise in technical architecture and delivery of data Analytics solution
Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Must have exp. in optimization using analytics to reduce cost, staff, and failure incidents, lead-time etc. using field force data.
Predictive &prescriptive data analysis like predicting propensity of required truck roll, truck roll drivers, recommendations to reduce unnecessary truck rolls etc. is also preferred
Conduct business due-diligence activities to identify analytics led opportunities for transforming business
Develop a deep understanding of systems and processes in order to extract insights from existing data leveraging rigorous project management discipline to ensure the highest possible quality of delivery while managing team capacity
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis & delivery
Required Skills and Experience
He/She should have excellent approach in understanding data and business.
Experience in managing, cleaning and analysis of large datasets using statistical packages like SAS, R, Python, Azure/AWS ML
Exp. in Alteryx from data analytics stand point is also preferred
Exp. required in statistical techniques like cross-tabulations, correlation, Anova, Hypothesis testing, regression, logistic regression, random forest, gradient boosting, decision trees, ANN, NLP etc.
Experience in Oracle, PL/SQL database
Good understanding of Big Data eco system.
Strong problem solving and conceptual thinking abilities
Ability to work in a fast-paced and deadline driven environment.
Ability to work as a consultant
Mentor team members in the area of BI and Visualization and provide guidance as necessary
Qualifications:
Education: Bachelor / Master’s degree in Engineering Kindly Email CV to amits@myfortuneselect.com",4.0,"Fortune Select
4.0",Newcastle,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,-1,"We’re looking for a Data Scientist to join our growing Data Analytics team. The role aims to further push forward and expand our customer-related models. You would have the opportunity help drive real change in our sales and marketing efforts. This would be ideal for somebody who is passionate about data and analysis, and focused on the practical impact and end-use of a model. Rather than being siloed to one area, our goal is to make use of all the data and tools at our disposal. The current team is large enough to make an impact, but small enough to be flexible. We are continually looking to learn more, improve and expand, and are looking for candidates that have the same values.
The work involves the development of data models, data visualization, algorithms and automation scripts. You would interact heavily with the marketing, sales and business intelligence teams.
We need somebody who is detail oriented, focused on continually learning, and very importantly, must be proactive.

Qualities Needed:
Self-motivated and able to work independently
Able to work efficiently with international staff
Analytical mind and good problem solving skills
Able to deal with ambiguity in defining activities and direction
Proactive and persistent
Good spoken and written English
Able to work in a fast pace MNC culture environment.

Strong experience working with various customer-related models (customer segmentation, lifetime value, markov chains, A/B testing)
Working with raw data from the main platforms marketing / sales platforms (Salesforce, Google Analytics and Ads/Display network, Social Media etc.)
Python and/or R
SQL
Using statistical, analytical and visualization skills to generate insights
Automating regular work flows
Version control software such as git
Strong desire to learn new analytical skills and techniques",3.9,"FXCM
3.9",Melbourne,-1,501 to 1000 Employees,1999,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1
Data Scientist,-1,"Job ID : SL_DS_20102020 Portfolio : Technology
Locations : All Locations (Australian Capital Territory | New South Wales | Northern Territory
| Queensland | South Australia | Tasmania | Victoria | Western Australia | Offsite)
SoftLabs is looking for a Data Scientist ‘s to join our Technology Consulting team .
About SoftLabs
SoftLabs is an Australian based Digital Technology Company specialised in Technology consulting, project management, software development, testing, training and support services.
We offer a wide range of ICT Services, quality of resources and wider delivery capabilities.
Essential Skills and Experience:
Excellent communication skills, problem solving and analytical skills.
Demonstrated experience in applying data science to meet the needs of business users, including understanding business requirements, articulating problem statements and developing criteria for suitable implementation of data science solutions.
Demonstrated knowledge of appropriate techniques to explore, profile and cleanse data from a diverse range of sources and experience in presenting exploratory data analysis to non-technical stakeholders.
Experience using Python, PySpark, R or SparkR programming languages through development environments including Databricks for developing supervised and unsupervised machine learning models, with a particular emphasis on Natural Language Processing.
Demonstrated experience in using data science preferably for economic research, working with Australian Market data such as Quarterly Labour Force Survey and Census.
Desirable Criteria:
Experience with proof-of-concept development, preferably in Power BI or Shiny.
Experience working with big, unstructured datasets. Knowledge of the Burning Glass dataset would be an advantage.
Expertise in Agile methodology and a clear understanding of the ethical implications and governance of algorithms.
Eligibility
Only Australian Citizens having current baseline clearance
Contract length: 12 months
Application Deadline: 27/10/2020
Expected Start Date: 21/11/2020
Job Types: Full-time, Contract
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)
Work Remotely:
No",-1,SoftLabs Pty Ltd,New South Wales,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,-1,"Description
At Veolia Australia and New Zealand, you’ll join a team of over 4000 passionate innovators... and good humans. Our environmental solutions help customers preserve and renew our natural resources, creating a better future for our planet. Here, you’ll have the opportunity to build your career, and resource the world.
Veolia Australia & New Zealand (Veolia) has an exciting opportunity for a Data Scientist to join our Water Operations team based in our regional office in Melbourne. Reporting to the Project manager you will ensure the quality of the data we provide to our clients to help keep Australians safe. The role will be involved in multiple projects and support related testing across custom built applications.

Key Responsibilities:
Responsible for the implementation of artificial intelligence models predicting the location of future failures on the water, sewer and stormwater networks for existing and future projects
Responsible for the improvement of the existing predictive models, for example through the use of recent machine-learning/deep-learning algorithms, etc.
Accountable to investigate potential applications of the predictive models in collaboration with clients through trials/proofs of concepts.
Contribute to pre-offer studies, for example through data analysis.
Responsible for monitoring the accuracy of our algorithm auto-coding videos.
Assess and document the range of digital services needs and capabilities
Build relationships with potential partners, consultants, contractors and associations
About You: Qualifications
Qualification in Data Science and Artificial Intelligence;
More than 5 years’ relevant industry experience, including a proven ability in artificial intelligence (machine learning and deep learning)
To be considered for this role, you must have:
Strong knowledge of statistics;
Demonstrated knowledge of python language;
Knowledge of pandas and ski-kit learn libraries;
Open Class C drivers licence.
About Veolia:
At Veolia we value diversity, equality and inclusion, we are committed to providing working environments where everyone is included and treated fairly and with respect. We welcome and encourage people of Aboriginal and Torres Strait Islander descent and people from diverse backgrounds to apply.",3.5,"Veolia Environmental Services
3.5",Southbank,-1,10000+ Employees,1853,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1
