Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Transformation Analyst,-1,"Whats in it for you?

This position offers not only the chance to work in a vibrant, multicultural, and multilingual environment but it is also a great opportunity to fast track your exposure and knowledge of the financial markets data operations.

What youll work on:

The data operations analyst supports our shareholder identification (SID) advisory services within our growing Corporate Solutions group. The SID group is responsible for the reporting and identification of shareholders of major stock-listed companies. This role provides exposure to our global client base across the Americas, Europe, and Asia. In this role, you will work closely with internal teams to achieve the highest levels of workflow optimization whilst maintaining high data integrity which enhances our analytical products.

Your duties will include the following:
Financial markets data E.T.L
Data processing optimization
Recommend and drive initiatives geared to improving data workflow analytics
Recommend and drive initiatives geared to improving data integrity
Mentorship and/or supervision of junior colleagues
This position is multi-faceted and requires strong communication skills, oral and written proficiency in English, proficiency with data, and basic knowledge of financial markets. Successful data operations analysts at IHS Markit are driven to add value and positively impact our clients as well as stakeholders around them.

What we look for:
Degree in the related business field
3 years experience in financial market operations is a plus
High proficiency with Office 365 productivity suite
Adaptable to change and keen to learn new software e.g. RPA
Practical VBA macro knowledge a strong plus
Comfortable with an agile approach to work coupled with strong organizational and time management skills
Comfortable in a dynamic deadline-driven environment
Self-motivated with an innovative mindset
Pro-active and confident communicator
Must be able to work legally in South Africa without VISA sponsorship
-----------------------------------------------

Inclusion and diversity are critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, status as a protected veteran, or any other protected category. For more information on the many ways in which we enthusiastically support inclusion and diversity efforts for both candidates and employees, please access our Inclusion & Diversity Statement here.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",4.0,"IHS Markit
4.0",Cape Town,-1,10000+ Employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),-1
Data Analyst,-1,"Minimum requirements for the role:

A degree in computer science, mathematics, actuarial science, engineering, or a related field is required.
Minimum of 3 years experience within a data science environment preferably in a mining and minerals industry",3.1,"Prostaff Holdings
3.1",Johannesburg,-1,Unknown,-1,Unknown,-1,-1,Less than $1 million (USD),-1
Reporting & Data Analyst,-1,"Reporting & Data Analyst

Introduction:

At T-ROC, we empower people with “Power of People and Technology”. You will have in the palm of your hand, the hottest brands rocking the most innovate technologies on the planet! Your knowledge will be the fuel that brings technology to life for your T-ROC customers!

Our Culture:

As a T-ROC’ER, your entrepreneurial spirit will be valued. Your desire to work honestly and with the utmost level of integrity will be appreciated while amazing customers with your technical expertise. Do you crave change? We do so with gusto and have fun the T-ROC way!

Why you'll love this job :

As a member of the Talent Acquisition Technology Operations team, you will be responsible for functional and technical support of the Company's existing and future Reporting and Analytics portfolio and supporting improvements to the teams Project Management methodologies and business practices.

You will conduct research, gather detailed requirements, compile business and functional design documents, and translate those into meaningful reports and dashboards for end users.

Your responsibilities :
Provide day to day support in designing and delivering timely and accurate analysis of the company talent data.
Provide metrics and analytics to support business needs by compiling, transforming and visualizing data.
Design, develop and deliver key monthly dashboards and metrics, ensuring they are timely, accurate, high in quality and meet the business needs of the stakeholders.
Develop and maintain scheduled and ad hoc reports, queries, and dashboards to support all areas of Talent Acquisition. Interface between IT, HR, Finance and other business partners on reporting matters.
Interact with all customers of Talent data to determine their needs, define the best approach to meet those needs and implement the solution.
Your talents needed for success :
3-5 years’ experience in reporting/data analytics/data mining or related role
Bachelor's degree in Business, Human Resources, Information Technology, Statistics, Business Intelligence, or equivalent work experience
Knowledge of and proficiency with reporting tools and technologies such as Tableau, PowerBI or other visual analytics tools
Knowledge and proficiency with programming languages such as SQL, R, Python, Visual Basic
Expert level skills with MS Office products including Excel working with v-lookup, pivot tables, charts, graphing and macros. MS Flow (Power Automate) and MS Access also experience also preferred.
Strong written and verbal communication skills including working with business users at all levels and in all areas of the business
If you don't yet follow us on social media, please do!

Please check out the video below for life at T-ROC during the COVID-19 pandemic",2.9,"The Revenue Optimization Companies
2.9",Remote,-1,5001 to 10000 Employees,2000,Company - Private,Consumer Electronics & Appliances Stores,Retail,$100 to $500 million (USD),-1
Junior Data Developer System Analyst,-1,"Adapt IT
Junior Data Developer System Analyst-Telecoms

Position Title: Junior Data Developer System Analyst

Position reports to: Service Delivery Manager

Direct Reports: N/A

Office Location: Adapt IT Johannesburg Campus

PURPOSE OF THE POSITION

We are looking for a Data Developer, a.k.a. Data Analyst, Data Wrangler, Data Engineer, Data Scientist.

The requirement is to provide consistent, timely, good quality and actionable data. To achieve this in the
current and future landscape is a growing task that will need a wide and deep set of skills.

Data has become a very valuable asset to organizations and the data engineer must have a clear
understanding of the data life cycle as well as the cessation thereof.

Therefore, the data developer when developing and delivering a data project should perform it based on
the activities within the system development life cycle (SDLC).

The Data Developer/Engineer also makes up a vital responsibility within the Data operations
management. This is the development, maintenance, and support of ingesting, warehousing and
visualising data to maximize the value of the data resources to the enterprise..

PRIMARY RESPONSIBILITIES FOR THE ROLE

Requirements Analysis.
Solution Design.
Detailed Design.
Component Building.
Testing, including unit, integration, system, performance, and acceptance testing.
Deployment Preparation, including documentation development and training.
Installation and Deployment, including piloting and rollout.
Protect and ensure the integrity of structured data assets.
Manage the availability of data throughout its lifecycle.
Optimize performance of transactions.

The developer will generally be assigned to multiple roles, depending on the experience and requirement
of the specific project.

MINIMUM QUALIFICATION AND EXPERIENCE REQUIREMENTS

Must have

Oracle knowledge

Relational Databases

Adapt IT
Junior Data Developer System Analyst-Telecoms

Massively Parallel Processing Databases (MPP)

Proficient in SQL

Experience and skills to visualizing data in an informative way

Analysing data to provide valuable insight to the customer

Writing documentation and be able to get interact with the customer to understand their requirements.

Ability to learn quickly and work independently.

Advantageous

Telecommunications technologies and systems(OCS, BSS, SS7, SIGTRAN, MTP, SCCP, TCAP, MAP, CAP, etc).

Nice to have

A tertiary BIS, Engineering or Computer Science degree.

Big Data / Analytics / Monitoring experience using Tableau, Qlickview, Penthaho, Mricrostrategy, PowerBI.

Contact Person: Nic Cox

Apply Here: https://www.dittojobs.com/jobs/view/2625062834

Vacancy Status: Open",4.0,"AdaptIT
4.0",Johannesburg,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
"Data Analyst - Johannesburg, South Africa",-1,"EY’s newly established Africa Data Delivery Centre will rapidly grow into a core service for our Africa Assurance business, providing centralized support for our mainstream digital analytical solutions Be part of this ground-breaking centre of excellence that will change the way that audit teams engage with clients around meaningful analysis and insights created by our digital solutions.

The opportunity

We are currently seeking the right candidate for an excellent career opportunity. As part of Data Delivery Centre, you will help our clients navigate the complex world of modern data science and analytics. You’ll be working closely with data delivery centre specialists, clients and/or audit managers to extract data and perform extraction transformation and loading, as well as initial analytical analysis and exception identification. In addition, you will experience high growth, high visibility area with plenty of opportunities to enhance your skillset and build your career.

Your key responsibilities

With a wide variety of clients across systems, sectors and geographies, you’ll be using a combination of manual processes, automated scripts and macros to extract transform and load data into the core digital analytical tools to agreed SLA targets. And participate in the Data Delivery centre learning and sharing initiatives to leverage from the EMEIA and Global data delivery and digital solution networks. In addition, you’ll reactively and proactively support projects related to driving demand from the assurance business and improving service delivery from the Data Delivery Centre.

Skills and attributes for success

Adept at queries, report writing and presenting findings

Demonstrate strong project management and team management skills

Demonstrate good problem solving and interpersonal skills

Deadline oriented and able to prioritise own work
Customer centric solution mindset
Ability to work in an ambiguous environment

To qualify for the role, you must have

Preferred degree in Computer Science, Mathematics, Economics, Information Management or Statistics or equivalent
Minimum 2-3 years working experience as a data analyst or business data analyst

Strong understanding of IT environments, IT security, networking and server architecture

Strong knowledge of and experience with reporting packages (Business Objects, etc.), databases (SQL. etc.), programming (XML, Javascript, or ETL frameworks)

Strong working experience in one or more ERP’s e.g. SAP, Oracle, MS Navision, SAGE, AccPac etc. and associated ETL tools

Working experience in SpotFire, PowerBi, Python and Alteryx

Ideally, you’ll also have

knowledge of auditing standards and experience as an auditor

Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy

Experience in external audit or in a professional services firm will be a positive

What we look for

We’re interested in highly motivated people who demonstrate a truly global mind-set and are inspired by the chance to really push boundaries and make the absolute most of every opportunity. An effective communicator, you’ll be a confident team player equipped with strong people management skills and a genuine passion to make things happen in a dynamic organization.

What working at EY offers

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business.

Plus, we offer:

The opportunity to manage a portfolio of talent within a designated service line

A collaborative environment where everyone works together to create a better working world

Excellent training and development prospects, both through established programs and on-the-job training

An excellent team of senior colleagues dedicated to managing and varying your workload

About EY

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

It’s yours to build.

Apply now.",3.8,"EY
3.8",Johannesburg,-1,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),-1
Retail Data Analyst,-1,"takealot.com, a leading South African online retailer, is looking for a Retail Data Analyst to join our Takealot Retail team in Cape Town.

We are a young, dynamic, hyper growth company looking for smart, creative, hardworking people to join us. We offer market related benefits, a great work environment and a promise that you won't be bored as long as you are prepared for a challenge and want to build something great.

The position reports to the Head of Merchant Analytics

Your responsibilities will be to:
Perform data analysis to support the business performance of Merchant (Retail and Marketplace). This will include descriptive, diagnostic and prescriptive analytics to identify, understand and influence commercial KPIs (discoverability, conversion rate, sales, profitability, stock health)
Perform process analysis and design changes to improve the effectiveness and efficiency across all areas of Merchant.
Develop and maintain spreadsheet-based prototypes or proof-of-concept tools to rapidly improve processes.
Support the planning & budgeting of all Merchant metrics.
Build and maintain Budget and Planning processes
Coordinate planning activities according to a strict timeline between various stakeholders internal and external to Merchant, including Finance, Marketing and Supply Chain.
Perform the planning of certain secondary Merchant metrics using appropriate methods
Gather and consolidate inputs from the various stakeholders and publish the plans through the applicable channels.
Attributes Required:
Strong commercial acumen
Systems thinker with the ability to understand and break down complex problems and relationships
Creative and practical problem-solving skills. Solution-oriented.
Highly capable of working with large and complex data sets using appropriate tools. MySQL, Bigquery, R, Python, Excel, Google Sheets and Qlikview/QlikSense are examples of the tools we use regularly
Good communications skills with the ability to present complex information in a clear and concise manner to a variety of audiences.
Fast learner and ability to thrive in a dynamic and fast-paced environment
Strong prioritisation skills
Qualification & Experience:
Bachelor's Degree in Statistics, Engineering, Commerce, or similar
The Environment:
takealot.com employees are entrepreneurial and dynamic, smart, customer-centric, fun and have the shared ambition of takealot.com being the leading e-commerce company in Africa.
We have fun, work hard, take ownership, work in teams to create solutions, and are always open to direct feedback/new ideas on where we can improve.
We are short on ego and high on output.
We are doers and not only thinkers, it's all in the execution after all. We love what we do and what we are creating.
We seek to employ Extraordinary Minds, people who are:
Experts at DOING, they can not only design but also execute
Analytical, able to use data to make decisions. Letting data decide but not consume
Although innovation is important, GREAT requires a lot of work. This does not happen only in business hours
Always questioning the status quo
Not averse to risk
Business smart. Able to think about problems from a business perspective using technical and product input
Self-directed, taking action based on own initiative
Collaborative
Thorough
User focused, always trying to understand a product from the users perspective
Able to communicate clearly and not afraid to voice an opinion, no matter how unpopular.
We seek to Employ an Extra Ordinary Mind who:
is forthright but respectful
is an expert at doing, who can not only design but also execute
is analytical, able to use data to make decisions
is competitive, self-directed and strive to be the BEST (GREAT requires a lot of work and does not only happen during business hours
is passionate about the potential of e-commerce and delivering a world-class customer experience
is entrepreneurial, thrives under change and accepts it is a constant and always looks for solutions to do something better and faster
is able to think about problems from a business perspective using technical and product input
is curious and challenge the status quo
is innovative and enjoys iteration
is collaborative
will be at the cutting edge of developing new concepts for takealot.com.
thinks like an owner of the business.
is SMART, has INTEGRITY and is HARDWORKING
If you meet the above you are an Extraordinary Mind so come and join us!

Takealot is an Equal Opportunity Employer. Applicants from the previously disadvantaged groups and people with disabilities will be given preference",3.6,"takealot.com
3.6",Cape Town,-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Analyst,-1,"Data Analyst

Reporting to: Milton Madanda

Location: Cape Town

Target hire date: As soon as possible

Founded in South Africa in 2007, Praekelt.org builds mobile technologies to improve the wellbeing of people in low and middle-income countries. We work with governments, international NGOs, foundations and social enterprises to create and deliver essential information and vital services.

We’re looking for a Data Analyst to join our team. Someone who blends math, algorithms, and an understanding of human behaviour with the ability to hack together systems to get answers to interesting human questions.

As a Data Analyst, you will be involved in designing and running analyses; reporting on data-driven insights; and managing analytical projects.

Experiments and analyses will be directly connected to pressing health and policy challenges facing South Africa and the Global South. The suitable candidate would ideally have an interest in developing (or continuing to develop) expertise in combining digital technologies with evidence-based large-scale behaviour change and big data space.

Responsibilities:
Drive the collection of new data and the refinement of existing data sources
Help us understand if our projects are achieving their goals by measuring and analysing their impact
Help provide insight to the Praekelt team, our partners and the public
Essential:
2-5 years of experience in a professional software development context with proficiency and demonstrable experience with at least two of the following: Python, R, SQL
Familiarity with reporting tools, preferably Tableau and SQL query-based tools
Familiarity with relational databases, including PostgreSQL
Experience solving analytical problems using quantitative approaches
Proven ability to understand, prepare, and analyze large and complex data sets. Ability to collaborate and work with cross-functional, multi-disciplinary teams
Experience solving difficult problems with poorly defined constraints
Ability to communicate complex quantitative analysis in a clear and precise manner
A Bachelor’s Degree in a related technical field (Statistics, Math, Engineering, Computer Science, Economics) or 2-5 years experience in a relevant role
Advantageous
Proficiency using a version control system (e.g. Git)
Agile working environment (JIRA experience advantageous)
Two or more years of experience working in one of the following:
a multi-disciplinary team
an academic research environment
a governmental or non-profit research organisation
Productive within a Linux command line environment
Dockerizing software, microservices.
Interested in joining our team? We’d love to speak with you. Please contact careers@praekelt.org with your CV and why you think you’re the ideal candidate for this position.",4.7,"Praekelt.Org
4.7",Johannesburg,-1,51 to 200 Employees,-1,Nonprofit Organization,-1,-1,Less than $1 million (USD),-1
Data Analyst,-1,"Job description


Here’s what we’ll do together:
G-Star is a place where your passion for all things jeans becomes a career. It’s a place of collaboration, inspiration, and innovation. Working alongside like-minded people, feeding off one another’s energy and drive.

It’s a place to express and grow your specialization, in a dynamic environment that values proactivity and innovation. A ‘Dutch’ approach to communication encourages openness and clarity within our relatively flat organization.

It’s a place where the level of responsibility is equal to the level of fun. Hands on to get things done, we strive to make the impossible possible.

At G-Star, every day is another opportunity to push the boundaries of denim.

Just imagine –
As Data analyst, you will perform analyses and provide insights to the business, contributing to the improvement of G-Star’s global performance. The core focus areas will be ecommerce and consumer insights. You will contribute to the decision making process by creating dashboards, performing analyses and translating them into actionable outcomes. In this role, you will be in direct contact with multiple departments in G-Star and you will build a close relationship with the business and understand its processes. You will be part of the Data and Analytics team, which is composed of data warehouse specialists and data scientists, while you will continuously team-up with the business, like the ecommerce and digital marketing departments.

To excel in this role, you need to be able to quickly understand topics that are being discussed with the business and oversee the related data implications. Next to being analytical, we are looking for someone who is able to pro-actively put insights into action and brings structure to our reporting environment. You have a positive attitude and are able to discuss complex data matters in an understandable way.

Tasks and Responsibilities


• Provide consumer and global ecommerce insights by creating dashboards and ad-hoc analyses
• Transform data into meaningful insights and ability to clearly visualize outcomes
• Support in digital marketing analytics (ROAS, CAC)
• Be responsible for the G-Star Google Analytics environment and be one of the key users
• Develop and maintain global corporate reports/dashboards, in close cooperation with the business
• Train key users throughout the organization on the
usages of analytic tools such as Tableau and GA
• You are flexible and adapt your work schedule by prioritizing in order to best serve the business needs, in close cooperation with Manager Data & Analytics

What you bring to the table:
• Master degree in business, finance, economics, econometrics, computer science
• Experience with dashboarding tools, such as Tableau, Data studio
• Excellent knowledge of Excel
• Preferably to have knowledge of Google Analytics, Google Big Query/SQL
• Relevant experience in online retail industry is a plus
• Strong analytical skills
• You are solution-oriented and a proactive team player who is always willing to learn new skills
• You are excellent in verbal and written communication in English
• 1-4 years working experience

Direct relations:
• Direct team members of the Data & Analytics teams; Data scientists and Datawarehouse Specialists
• Ecommerce department
• Business Strategy department
• Digital Marketing team

Profile


What we bring to the table:
Beyond a competitive salary, working at G-Star brings so many perks and exciting opportunities, we don’t know where to begin… how about an awesome and diverse team that collaborates to change the game; a work environment that offers room for fun, inspiration and innovation; a clothing; a healthy, fresh and delicious lunch so you can keep up the greatness… and to exercise what you eat, we even offer you a discount on a new bicycle.

Ready to apply?
• We will thoroughly review your application.
• We have an international community at G-Star, so please apply in English.

Apply now

Share this job",2.9,"G-Star Raw
2.9",Den Haag,-1,201 to 500 Employees,-1,Franchise,Consumer Products Manufacturing,Manufacturing,Less than $1 million (USD),-1
16179 System Data Analyst ERP,-1,"Bellville - Systems Data analyst required, You will work on a ERP systems

Grade 12
3+ years experience
BSc degree or similar wit 2 years experience

Respond with your word format CV and a skills list",-1,Bridgena Barnard Personnel Group,Bellville,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Analyst Intern,-1,"Company South African Civil Aviation Authority
Reference # INTERN2020AVSEC
Published 30/10/2020
Contract Type Contract
12 Months
Salary Market Related
Location Midrand, Gauteng, South Africa

Introduction
The SACAA is taking applications for the 12 months Graduates Internship Program in Data Analysis for their Aviation Security Division.

Job Functions Data Analysis

Industries Aviation

Specification
Graduates with Information Systems or Computer Science qualifications are invited to apply for the 12 months internship Program.

Graduates will be afforded an opportunity to gain work experience during the 12 months.

Interns will receive a monthly stipend which does not cover costs for travel and accommodation.

The SACAA will process applications as soon as possible. If you have not heard from us within 90 days after your CV has been received by us, please consider your application unsuccessful.

Employment equity candidates will be preferred.

“All SACAA appointments are subject to S98 of the Civil Aviation Act, 13 of 2009 and all successful candidates will be subjected to security vetting”.

Requirements
Degree in Information system/computer science

The following would be advantageous
Advanced spreadsheet skills in Ms Excel
Experience in data modelling and Data Visualization/dashboards
Basic Statistic foundation
Knowledge of Data mapping principles
Logical thinking and problem-solving capability

Job Closing Date 13/11/2020",-1,South African Civil Aviation Authority,Midrand,-1,201 to 500 Employees,-1,Other Organization,-1,-1,Less than $1 million (USD),-1
