Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Backend Software Engineer,-1,"We are looking for a Backend Software Engineer to join our Engineering team in Cape Town.

The world is changing.
We all want something different.
At Luno, we see you as individuals.

Together, we are upgrading the world of work to unleash the potential within and empower you to become the best possible version of yourself.

Upgrading the entire planet to a new financial system is a challenge of epic proportions. Like the first moon landing, it requires a special kind of people working together with unusual skill, focus and determination. We're changing the financial landscape, and to do so, well we need the best team on board for our mission. In short, to achieve our goals, we need rockstars. As simple as that.

A little about us:
We make it safe and easy to buy, store and learn about cryptocurrencies like Bitcoin and Ethereum.
We currently have over 5 million customers across 40 countries.
We're part of the Digital Currency Group, a group of companies driving progress in the cryptocurrency and blockchain space that includes Grayscale, Genesis, Coindesk and Foundry Services.
Our platform has processed over $14 billion to date.
We're proud to be one of the world's most international cryptocurrency teams from 43 different nationalities — working across South Africa, Indonesia, the United Kingdom, Malaysia, Nigeria and Singapore.

How we work


Our engineering team (currently ~100 engineers) is split into organisations which we call Fleets. Each Fleet focuses on a core customer journey (onboarding, security, payments, support, new business, growth and marketing etc.). Each of these fleets contains multiple smaller teams called Pods, each of which focuses on a specific aspect of the product.

Pods will include a product owner, product designer, back-end engineers, Android, iOS and Web developers, who each bring a unique perspective to the problem you are all contributing towards.

We're agile, use scrum, continuous integration and continuous delivery, deploying to production every single day.

We're building teams to help us succeed in our mission to upgrade the world to a better financial system. You'll be joining a group of highly motivated software engineers who you'll work collaboratively with across our pods.

As a fast-growing company with offices around the world, you'll immediately see how your contributions directly impact both our internal users and client experience. Many of the problems we are solving result in trail blazing solutions which can't be found on Stack Overflow; so we're looking for engineers who flourish working in a complex domain.

In your first six months, you will:


...start at Luno by learning our processes, meeting the wider team and starting our engineering on-boarding program. After getting comfortable with the basics, you'll start learning our idiomatic patterns in a safe, easy-to-follow way - by building your own toy micro services. You'll get to practice how we do design docs, code reviews, deployments, events, logging and monitoring.

You'll meet the Pod(s) you'll be working with and quickly align on the teams' current OKRs and product roadmap. We succeed as a team, so we will provide you with regular feedback from your manager and peers and will encourage you to do the same.

Your mission will involve:
Build distributed microservices that are accessed by 2.5m customers from across the globe.
Design, build and maintain advanced applications services.
Collaborate with cross-functional teams to define, design, and ship new features.
Write testable, maintainable code for robustness and reliability.
Work on bug fixing and improving application performance.
Write code that directly affects users, the company and the Bitcoin ecosystem.
The ideal candidate for this role will have:
A passion for blockchain and cryptocurrencies (this is a new industry so we'll help you learn about how the blockchain works and the technicals).
A proven background in computer science in areas such as algorithms, data structures, and software design.
Extensive programming experience in at least one language such as Go, Java, C++, C#, Python, etc.
A continuous improvement mindset.
BSc/MSc/PhD in computer science or other technical discipline, or equivalent working experience
A passion for software development, mobile technology and Bitcoin
To be friendly, transparent, articulate and driven to succeed
A work permit for South Africa if you are not a South African citizen
Don't be put off if you don't tick all of the boxes – they're a guide based on what we'd love to see but we appreciate that excellent software engineers have diverse backgrounds.

Remote Life at Luno


If you're looking to work on something truly global and disruptive with a forward-thinking and ambitious team that highly values diversity, teamwork, and the continuous quest for excellence, then this is an opportunity for you.

Like the majority of the companies, Luno is currently working remotely to keep our employees safe, which means you will not be physically, but virtually onboarded for now!
Live long and prosper. We've got you covered with excellent private medical insurance.
Generous maternity / paternity and even (yes, you are reading it correctly) paw-ternity for your furry friend..
Annual Inspiration Day.. like that pottery course you've always been meaning to do!
Work with a diverse team of hardworking, ambitious and friendly people on something that will truly revolutionise the financial world.
We are a social bunch of people, we have virtual quarterly activities and drinks Fridays for whoever wants to join!
We have virtual cooking, dancing, drawing and house planting classes hosted by our Lunauts Monthly to break up your day and work that other part of your brain.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. You'll need to hold the legal right to work in South Africa already as we cannot provide visa sponsorship.

Be part of the change!",4.6,"Luno
4.6",Cape Town,-1,201 to 500 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"The world is changing.

We all want something different.

At Luno, we see you as an individual.

Upgrading the entire planet to a new financial system is a challenge of epic proportions. Like the first moon landing, it requires a special kind of people working together with unusual skill, focus and determination. We're changing the world, and to do so, we need the best team on board for our mission.

A bit about us:
We make it safe and easy to buy, store and learn about cryptocurrencies like Bitcoin and Ethereum.
We currently have over 3 million customers across 40 countries.
We are Series B funded, backed by Balderton Capital and the Naspers Group.
Our platform has processed over 8 billion dollars since we've launched
We're proud to be one of the world's most international cryptocurrency teams from 26 different nationalities — working across South Africa, Indonesia, the United Kingdom, Malaysia, Nigeria and Singapore.
The role in a nutshell:

Identifying opportunities in the business that could benefit most from cognitive applications, as well as building and enhancing organisational capabilities for deriving value from multiple data sources using data science.

What we'd like you to have:
Bachelor's degree or higher in the natural sciences or technical fields such as Mathematics, Statistics, Computer Science, Engineering or Economics
Enthusiasm to work in the cryptocurrencies space
Advanced SQL skills
Solid understanding of exploratory data analysis, predictive analytics, and optimisation using Python, R, Matlab, RapidMiner, KNIME or other data science-oriented platforms
Proficiency in the use of data science and machine learning domain-specific languages such as ""Caret"" and the ""Tidyverse"" suite of tools in R, or ""Pandas"" in Python
Strong interpersonal and communication skills
Communicating data insights using storytelling narratives
Ability to work independently, as well as within and across teams
Ability to successfully complete projects with large and/or incomplete data sets
More about what you'll be doing:
Optimising product performance by tracking and analysing customer behaviour on web and app, in collaboration with software engineers and product designers
Providing the business with reports and dashboards, on key performance metrics
Developing metrics to accurately assess the health of our Exchange platform
Comparative data-driven analysis of our Exchange against alternative platforms
Formulating business requirements into analytical objectives
Designing and running experiments to test hypotheses
Hacking through complex business problems using advanced data analysis to provide insights and recommendations
Building, maintaining, and optimising decisioning systems using advanced statistical and predictive modelling techniques
What will set you apart:
An advanced degree in Mathematics, Statistics, Computer Science or related field
At least 3 years' experience working in a similar role
A basic understanding of trading in financial markets
Experience working with a data analytics and visualisation platform such as Tableau, Cognos, QlikView, or Looker
Familiarity with using Google Analytics to understand customer behaviour
Solid knowledge of statistical and machine learning techniques
Familiarity with modern distributed data storage and processing systems such as Amazon Redshift, Big Query, Snowflake, Databricks and Apache Spark
You can gather and synthesise facts, theories, trends, patterns, inferences, and key issues in complex and variable situations
Ability to diagnose problems using formal problem-solving tools and techniques from multiple angles to generate multiple possible solutions
A sense of anticipating long-term problem areas and associated risk levels with objective rationale
Remote Life at Luno

If you're looking to work on something truly global and disruptive with a forward-thinking and ambitious team that highly values diversity, teamwork, and the continuous quest for excellence, then this is an opportunity for you.

Like the majority of the companies, Luno is currently working remotely to keep our employees safe, which means you will not be physically, but virtually onboarded for now!
You'll be able to continuously upskill yourself with access to free online learning via MyAcademy, an international teaching marketplace with over 100000 courses from Harvard and other leading providers + share knowledge with your peers.
Live long and prosper. We've got you covered with excellent private medical insurance.
Generous maternity and paternity leave, and you can even take paw-ternity leave for your furry friend.
Annual Inspiration Day! Make time for that pottery course or spa day you've always wanted to do.
Work with a diverse team of hardworking, ambitious and friendly people on something that will truly revolutionise the financial world.
We are a social bunch of people, we have virtual quarterly activities and drinks Fridays for whoever wants to join!
We have virtual cooking, dancing, drawing and house planting classes hosted by our Lunauts Monthly to break up your day and work that other part of your brain.",4.6,"Luno
4.6",Cape Town,-1,201 to 500 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Data Engineer - EC2 Capacity Data Analytics,-1,"EC2 Capacity Data Analytics (CDA) team is looking for a Senior Data Engineer to join our team.

Our team is part of the EC2 Capacity Engineering organization, which is responsible for providing the elasticity EC2 customers need to scale up/down compute resources in a cost-efficient manner. We predict customer usage across thousands of configuration combinations to deliver exactly what our customers require in just the right amount of time with just the right amount of capacity.

As a Senior Data Engineer, you will lead the team in building the ETL and analytics solutions for our internal customers to answer questions with data and drive critical improvements for the business. You will use best practices in software engineering, data management, data storage, data compute, and distributed systems to influence the team data architecture. You will actively mentor/develop other engineers in the team.

On any given day, we use Python, Scala, Java, SQL, Lambda, CloudFormation, Redshift and Glue as well as other public AWS services and a host of Amazon internal tools. We dont expect you to be an expert in, or necessarily even be familiar with all of the technologies listed above, but we do expect you to be excited to learn about them.

This position involves on-call responsibilities, typically for one week every two months. Our team is dedicated to supporting new team members. We care about your career growth, we try to assign projects and tasks based on what will help each team member develop into a more well-rounded engineer and enable them to take on more complex tasks in the future.

Our team values work-life balance and we are flexible when people occasionally need to work from home.

Job Duties
Lead the team to develop and maintain automated ETL pipelines for big data using languages such as Scala, Spark, SQL and AWS services such as S3, Glue, Lambda, SNS, SQS, KMS. Example: ETL jobs that process a continuous flow of JSON source files and output the data in a business-friendly Parquet format that can be efficiently queried via Redshift Spectrum using SQL to answer business question.

Design and implement data architecture to support analytics use cases that yield significant data quality, availability and/or business value.

Develop and maintain automated ETL monitoring and alarming solutions using Java/Python/Scala, Spark, SQL, and AWS services such as CloudWatch and Lambda.

Implement and support reporting and analytics infrastructure for internal business customers using AWS, services such Athena, Redshift, Spectrum, EMR, and QuickSight.

Develop and maintain data security and permissions solutions for enterprise scale data warehouse and data lake implementations including data encryption and database user access controls and logging.

Develop and maintain data warehouse and data lake metadata, data catalog, and user documentation for internal business customers.

Develop, test, and deploy code using internal software development toolsets. This includes the code for deploying infrastructure and solutions for secure data storage, ETL pipelines, data catalog, and data query.


Basic Qualifications

· Bachelors degree in Computer Science or related technical field, or equivalent work experience.
· 7+ years of overall work experience in either Software Engineering, Data Engineering, Database Engineering, Business Intelligence, Bigdata Engineering, Data Science.
· Experience with AWS technologies stack including Lambda, Glue, Redshift, RDS, S3, EMR or similar big data solutions stack

Preferred Qualifications

· Demonstrate efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.
· Demonstrable proficiency in distributed systems and data architecture; design and implementation of batch and stream data processing pipelines; knows how to optimize the distribution, partitioning, and MPP of high-level data structures.",3.9,"Amazon
3.9",Cape Town,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Engineer (Contract - 3 to 6 months),-1,"We are looking for a Data Engineer for a 3 to 6 month engagement within IQbusiness.

This person will assist in producing a more efficient database to reporting mechanism.

Key Responsibilities And/or Outputs

Providing a superior customer experience
Design and develop – databases, SQL queries, stored procedures, reports, dashboards or integration solutions

Test your work to ensure compliance
Implement more stable reporting
Interact with a variety of individuals: senior, junior, technical and from business
Provide guidance to fellow colleagues
Uphold the IQ values, which are to care, learn & share; innovate; deliver as well as to build, enhance and maintain relationships

Education

A tertiary qualification, preferably in an ICT relevant field
Appropriate Microsoft certifications are beneficial but not required

Requirements

4 - 6 years experience in the Data Engineering environments and technologies
Great communication skills
A passion for SQL, databases or reports
Can you write stored procedures, design complex queries and create views and triggers?
Are you able to work out the relationships in a data warehouse or the aggregation of a cube?
Do you extract and display useful information when you see patterns and trends in data?
Strong knowledge of the financial services industry, ideally in a consulting role
The use of data related software: databases, ETL and PowerBi; report writing and analytical tools
We use a lot of Microsoft products. You may often be expected to use MS SQL Server, SSIS, SSRS, SSAS and Power BI to develop solutions
What other relevant software have you’ve used?
Ability to work in different project methodologies: Waterfall and/or Agile
Knowledge of full SDLC
Exposure to logical and physical data modeling",3.7,"IQbusiness South Africa
3.7",Johannesburg,-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1
Senior Software Engineer,-1,"Your typical week would include:
Collaborating with design, analytics, support, and product management to understand the problems we want to solve and exploring how we can solve them
Discussing and collaboratively solving engineering and product problems with engineering collaborators in Slack or Zoom
Opening a Pull Request to implement the next most important feature or fix the most critical bug
Trying to reproduce a reported bug and responding to issues we’ve received from the community
Reviewing your teammates' Pull Requests and providing helpful feedback
Working with your engineering manager in your one-on-one meetings to grow your team and career
Talking with users to discover what they love and what their pain points are.
Responsibilities:
Design, scope, and implement technical solutions that scale across multiple web applications
Collaboratively define and prioritize projects and tasks
Drive thoughtful conversations around technical issues and opportunities
Review code and provide thoughtful, constructive feedback for your team and the community
Triage, reproduce, and debug technical support requests, bugs, and feature requests reported by users in our Issues on our website.
Provide compassionate technical leadership, mentorship, pairing opportunities, and code reviews to encourage the growth of others
Qualifications:
Strong written communication skills
High degree of empathy
4+ years experience as a full-time professional coder using Ruby on Rails.
Experience team leading/management.
Experience working asynchronously on a remote, distributed team (does not have to be professional experience - preferable)
Ability to draw on both system design and software engineering concepts and blend those perspectives pragmatically based on project needs
Experience building highly available services at scale
Job Types: Full-time, Part-time, Contract, Permanent

Pay: Up to R800,000.00 per month

Experience:
Software Engineering: 4 years (Required)
Language:
English (Required)
Work Remotely:
Yes",3.4,"Andela
3.4",Cape Town,-1,1001 to 5000 Employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Software Engineer - iOS,-1,"We are looking for a iOS Software Engineer to join our Engineering team in Johannesburg.

The world is changing.
We all want something different.
At Luno, we see you as individuals.

Together, we are upgrading the world of work to unleash the potential within and empower you to become the best possible version of yourself.

Upgrading the entire planet to a new financial system is a challenge of epic proportions. Like the first moon landing, it requires a special kind of people working together with unusual skill, focus and determination. We're changing the financial landscape, and to do so, well we need the best team on board for our mission. In short, to achieve our goals, we need rockstars. As simple as that.

A little about us:
We make it safe and easy to buy, store and learn about cryptocurrencies like Bitcoin and Ethereum.
We currently have over 5 million customers across 40 countries.
We're part of the Digital Currency Group, a group of companies driving progress in the cryptocurrency and blockchain space that includes Grayscale, Genesis, Coindesk and Foundry Services.
Our platform has processed over $14 billion to date.
We're proud to be one of the world's most international cryptocurrency teams from 43 different nationalities — working across South Africa, Indonesia, the United Kingdom, Malaysia, Nigeria and Singapore.

How we work


Our engineering team (currently ~100 engineers) is split into organisations which we call Fleets. Each Fleet focuses on a core customer journey (onboarding, security, payments, support, new business, growth and marketing etc.). Each of these fleets contains multiple smaller teams called Pods, each of which focuses on a specific aspect of the product.

Pods will include a product owner, product designer, back-end engineers, Android, iOS and Web developers, who each bring a unique perspective to the problem you are all contributing towards.

We're agile, use scrum, continuous integration and continuous delivery, deploying to production every single day.

We're building teams to help us succeed in our mission to upgrade the world to a better financial system. You'll be joining a group of highly motivated software engineers who you'll work collaboratively with across our pods.

As a fast-growing company with offices around the world, you'll immediately see how your contributions directly impact both our internal users and client experience. Many of the problems we are solving result in trail blazing solutions which can't be found on Stack Overflow; so we're looking for engineers who flourish working in a complex domain.

In your first six months, you will:


...start at Luno by learning our processes, meeting the wider team and starting our engineering on-boarding program. After getting comfortable with the basics, you'll start learning our idiomatic patterns in a safe, easy-to-follow way - by building your own toy micro services. You'll get to practice how we do design docs, code reviews, deployments, events, logging and monitoring.

You'll meet the Pod(s) you'll be working with and quickly align on the teams' current OKRs and product roadmap. We succeed as a team, so we will provide you with regular feedback from your manager and peers and will encourage you to do the same.

Your mission will involve:
Design, build and maintain advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features
Write testable, maintainable code for robustness and reliability
Work on bug fixing and improving application performance
Write code that directly affects users, the company and the Bitcoin ecosystem.
The ideal candidate for this role will have:
Extensive experience building high quality iOS apps
Be proficient in Swift
A deep understanding of UIKit and other core iOS frameworks like persistence and networking
A keen interest in mobile UX/UI design and the Apple Human Interface Guidelines
Knowledge of build systems i.e continuous integration and delivery is an added advantage
BSc/MSc/PhD in computer science or other technical discipline, or equivalent working experience
A passion for software development, mobile technology and cryptocurrencies
To be friendly, transparent, articulate, a team player and driven to succeed
A work permit for South Africa if you are not a South African citizen
Don't be put off if you don't tick all of the boxes – they're a guide based on what we'd love to see but we appreciate that excellent software engineers have diverse backgrounds.

Remote Life at Luno


If you're looking to work on something truly global and disruptive with a forward-thinking and ambitious team that highly values diversity, teamwork, and the continuous quest for excellence, then this is an opportunity for you.

Like the majority of the companies, Luno is currently working remotely to keep our employees safe, which means you will not be physically, but virtually onboarded for now!
Live long and prosper. We've got you covered with excellent private medical insurance.
Generous maternity / paternity and even (yes, you are reading it correctly) paw-ternity for your furry friend..
Annual Inspiration Day.. like that pottery course you've always been meaning to do!
Work with a diverse team of hardworking, ambitious and friendly people on something that will truly revolutionise the financial world.
We are a social bunch of people, we have virtual quarterly activities and drinks Fridays for whoever wants to join!
We have virtual cooking, dancing, drawing and house planting classes hosted by our Lunauts Monthly to break up your day and work that other part of your brain.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. You'll need to hold the legal right to work in South Africa already as we cannot provide visa sponsorship.

Be part of the change!",4.6,"Luno
4.6",Johannesburg,-1,201 to 500 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Software Engineer: Cloud Data Engineer,-1,"WE ARE HIRING! CLOUD / DATA ENGINEER PROFESSIONALS

Are you a Cloud / Data Engineer looking for a new and exciting opportunity? Do you want to flex your creative muscle and bring innovative solutions to life? Are you looking for an employer who understands the importance of Big Data, Artificial Intelligence and prediction analytics?
If you’ve answered yes to any of these questions, then you’ve come to the right place. Vodacom’s exciting and growing Big Data division might have the perfect opportunity for you.

If you're not an Engineer / Developer but know a friend that is one? Not a problem, click on 'refer a friend to job' and attach their CVs.

The future is exciting, ready?

Role Purpose:

The G Band Senior Specialist: Cloud Data Engineer position is based within the Technology Business Unit.

The role of the Senior Specialist: Cloud Data Engineer is to deliver through self and others to:
Load the data from local and group sources onto the shared platforms that are necessary for insight, analysis and for commercial actions;
Building applications that make use of large volumes of data and generate outputs that allow commercial actions that generate incremental value
Support local markets and group functions in obtaining business value from the data
Your responsibilities will include:

Design and develop highly performant, scalable and stable Big Data cloud native applications
Source data from a variety of different sources, in the correct format, meeting data quality standards and assuring timeous access to data and analytical insights
Build batch and real-time data pipelines, using automated testing and deployment
Build transformations to produced enriched data insights
Integrate applications with business systems to enable value from analytic models and enable decision making
Define and implement best practices relating to cloud economics, software engineering and data engineering to ensure a well-architected cloud framework with data management practices built in to each design.
Work with the architecture team to evolve the Big Data capabilities (reusable assets/patterns) and components to support the business requirements/objectives
Research, investigate and evaluate new technologies and methods to improve delivery and sustainability of data applications and services
Make contributions to the process of defining best practice for the agile development of applications to run on the Big Data Platform

The ideal candidate for this role will have:

Matric / Grade 12 essential
3 year IT or IS degree or diploma or related field is essential
Relevant cloud certification at professional level or above essential
5+ years BI or related software development experience essential
Agile exposure, Kanban or Scrum

Core competencies, knowledge & experience:

Experience managing the development life-cycle for agile software development projects
Expert level experience in designing, building and managing data pipelines for batch and streaming applications
Experience with performance tuning for batch based applications like Hadoop, including working knowledge using Nifi, Yarn, Hive, Airflow and Spark
Experience with performance tuning streaming based applications for real-time data processing using Kafka, Confluent Kafka, AWS Kinesis, GCP pub/sub or similar
Experience working with serverless services such as Openshift, GCP or AWS
Working experience with AWS or GCP would be a prerequisite
Working experience with other distributed technologies such as CassandraDB, DynamoDB, MongoDB, Elastic Search and Flink would be desirable
Java and Python programming ability would be an advantage
Experience in metadata management, data modelling and schema management would be an added benefit

Closing date for applications: 11 November 2020

The base location for this role is Cape Town / Johannesburg.

x2 Positions available

The Company’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process. As an Equal Opportunities employer, we actively encourage and welcome people with various disabilities to apply.

Vodacom is committed to an organisational culture that recognises, appreciates and values diversity & inclusion.",3.9,"Vodafone
3.9",Cape Town,-1,10000+ Employees,1982,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),-1
Senior Clinical Data Analyst (Bloemfontein OR Irene-Centurion),-1,"Job Purpose:-
The Senior Clinical Data Analyst (SCDA) shall independently perform all clinical data cleaning activities on assigned projects, commensurate with experience and/or project role.
Further responsibilities shall include acting as Study Team Lead, support on data processing activities and study level documents e.g. Protocol Deviation Specification, Data Validation specification, etc.
The SCDA may act as a Data Management Lead where required.
Key Accountabilities:-
Assume the ability to meet the requirements of a CDA III roIe with a high degree of proficiency and autonomy
Lead/Responsible for data cleaning and data review activities e.g. query management.
Management of project timelines (including creation, review and tracking of plans)
Review of protocols and EDC Screens if required.
Support data processing activities from database setup to database lock, e.g. SAE reconciliation.
Perform user acceptance testing on study database setups.
Perform medical coding on small studies
Track and review CRF's. Support data entry where required.
Perform and or support the setup of DM documents and ensure proper documentation e.g. CRF Completion Guidelines (CCG)
Perform/lead functional QC activities and testing
Mentor project team members
Be a subject matter expert when needed
Qualifications
Knowledge and Experience:
Experience in clinical research
Good interpersonal, verbal and written communication skills
Knowledge of medical terminology and awareness of coding dictionaries (e.g.MedDRA & WHODRUG)
Ability to work in team environment
Good analytical skills and attention to detail
Effective time management to meet daily metrics or team objectives, completion of assigned tasks in a timely manner
Robust knowledge of ICH-GCP Guidelines, local regulatory requirements and Parexel SOP's and study specific procedures
Good knowledge of EDC systems (e.g. DataLabs, Rave.)
Good knowledge of electronic source data capture systems (e.g. ClinBase)
Good knowledge of all DB set- up activities including but not limited to Database Configuration Specifications, Data Validation
Basic knowledge of SAS
Education:
Bachelors degree and / or other medical qualifications or relevant industry experience
Skills:
* Personal skills that include:
o Good interpersonal, oral and written communication skills
o Excellent learning ability
o Work with integrity
* Business / Operational skills that include:
o Commitment to quality
o Understanding of Global Data Operations tasks, specifically within Data Management and Database Programming and relevant data standards
o Sound awareness of relevant regulations, including ICH-GCP, 21CRF11",3.6,"Parexel
3.6",Bloemfontein,-1,10000+ Employees,1982,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
Data Engineer - PrecisionLender,-1,"Company Overview:

PrecisionLender’s pricing and profitability platform helps commercial bank relationship managers make smart, real-time pricing decisions and deliver superior customer service. Andi®, our virtual pricing analyst, uses artificial intelligence to glean and deliver insights from the thousands of deals priced daily in the platform. Using PrecisionLender, banks grow faster with stronger and more profitable relationships. Our product is used globally by 200+ banks and 10,000+ relationship managers to price more than $1 trillion in commercial loans.

The Data Engineering Team:

The Data Engineering team builds and maintains the infrastructure for developing and deploying data analytic products. Our team collaborates closely with data scientists and other product engineering teams. Among other things, we own a metadata service, batch and spark compute, a scheduling infrastructure, a real time prediction service, and a collection of ETL pipelines. Currently, our infrastructure runs more than 25,000 ETL jobs daily.

If you love data, data pipelines, and more importantly empowering the use of data, this could be the role for you.

Requirements:
2 + years of experience working in backend development
2 + years proficiency in Python, C#, Golang, or Java
Strong communication and reasoning skills
Bachelor’s Degree, preferably in a technical field
Experience using source control, unit testing frameworks, agile/scrum product development
Experience taking responsibility for small features, from design to delivery
Empathy for the end user and a desire to measure your work by both customer value and technical quality
A bias for action tempered with thinking about the implications of the work you are doing
Enthusiasm for the field and professional development/improvement outside the day to day job
We look for engineers that are comfortable working in a team setting as well as working individually under their own responsibility. Regardless of experience level, all of our engineers strive to learn more then they knew yesterday. We pride ourselves on elevating the folks around us. We grow leaders and encourage engineers at all levels of experience to take ownership of challenging work. We also develop communication skills by having engineers work directly with users on small features and bugs.

Core Technologies being used:
Microsoft Azure
Azure Batch, Databricks
Kubernetes
Apache Airflow, Data Factory
SQL Server, PostgreSQL
Django, PySpark, Pandas
Python, Golang
Bash, Powershell
CI/CD: Git, Azure DevOps, Docker
Would YOU Thrive Here?

We aim to build an entire company of doers, and much will be expected of you. If you have never felt intellectually and professionally challenged before, think long and hard before applying for this position. You will be surrounded by ""A players"" who expect you to perform at their level every day, and you will have the very best supporting cast to bring your greatest ideas to life. That's right, YOUR ideas. There's no hierarchy of ""idea people"" around here... we focus on doing whatever is best for the business.",3.4,"Q2eBanking
3.4",Remote,-1,1001 to 5000 Employees,2004,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1
SAP Data Migration Developer,-1,"In a constantly changing world, we work together with our people, clients and communities to enable them to fulfill their potential to do great things. We believe that by bringing everyone together, we can solve problems using innovative technology that can create a world that is sustainable and secure. At NTT, we encourage you to remain continuously curious, as that is what keeps you fast, flexible and relevant. No two days will be the same but that is what will help you grow and realize your full potential.

The power is in your hands to do great things. Its time to lead the change, be the authentic you, to solve difficult challenges, to set the pace of change and to unleash your potential.

Want to be a part of our team?

The Data Engineer is tasked with transforming data into a format that can be easily analysed, by developing, maintaining and testing infrastructures for data generation.

Working at NTT

Duties:
Design & create ETL processes as needed to meet business requirements and ensure successful data migration for project implementation
Perform Data Profiling, Assessment, and Data Cleansing as required to meet data migration goals
Continually seek ways to improve the process of data conversion, migration, and integration from the legacy environment to a new syste
Share knowledge and create proper documentation related to the ETL & data migration efforts
Provide quality formal and informal documentation consistent with documentation standards
Close attention to detail to ensure integrity and quality of data migration
Report progress to business and project managers in a timely manner
Required skills:
4+ Years experience in data migration
Required Experience completing a previous data migration project for a new systems implementation
Required Data Services Experience
Required - Proficiency with ETL tools including SQL, SAP, Excel
Experience of Global SAP/ERP Implementation with Data migration
Hands-on issue management, strong on admin and structured follow through
Experience of dealing with business people at all levels
Excellent communicator both orally and in writing
Client and delivery focused
Focus is on migrating the data
Must be able to travel
Preferred - some experience with Master Data Management (MDM) concepts and practices
Preferred - Experience with a legacy SAP ERP data extraction
Preferred Data analysis
Deliverables:
Data Cleansing and Legacy Migration Approach
Legacy Data Mapping
Data selection criteria for Migration
Data Reconciliations
Conversion Design
Mock Conversion Plan
Delivery of Audit Reports
What will make you a good fit for the role?

Join our growing global team and accelerate your career with us. Apply today.
Equal opportunity employer

NTT is proud to be an equal opportunity employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, color, sex, religion, national origin, disability, pregnancy, marital status, sexual orientation, gender reassignment, veteran status, or other protected category.",3.6,"NTT Ltd.
3.6",Johannesburg,-1,10000+ Employees,2019,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD),-1
