Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Engineer,-1,"Our purpose at Cookpad is to make everyday cooking fun. Not just because we like food but because we believe that cooking is key to a happier and healthier life for people, communities and the planet.

Cookpad started life in Japan and is now the largest recipe sharing community in the world with over 5 million recipes created by users active in more than 70 countries. Our global platform is used by more than 100 million people every month across the world, which brings very interesting reliability and scalability challenges to tackle.

We are building a team of diverse, exceptional problem-solvers from around the world. We only hire passionate, smart and innovative people who want to make a difference.

What’s it like to work at Cookpad? Visit www.cookpadteam.com to find out more.

The role is based in Bristol in the UK - one of the most exciting emerging tech hubs in Europe.

Requirements

A Data engineer in Cookpad is responsible for improving the value of employees' work by providing accurate and timely data and the ability to process it.

Data engineers' jobs start with planning (identifying issues and thinking out possible solutions) which may require discussion with other teams or detailed analysis of current systems. In this planning phase, a data engineer should be self-driven, a good communicator, and good at problem solving.

Design, development, and operation is carried out by the team or individual depending on scope of the system. Abilities to design scalable and reliable systems to process massive data, to implement with relevant programming languages, and to deploy/operate it on cloud platforms like AWS are required in this phase.

People from any gender, background and nationality are welcome and not discriminated against. We welcome engineers who can build better data platforms for Cookpad with us.
Plan, build, operate, optimize the company-wide data platform which can be used by employees and applications.
Provide a holistic view of users' on our service by ensuring consistent data collection in multiple touch points.
Provide one-stop service for all data by collecting and integrating data from multiple sources.
Help employees to locate and understand data of interest by preparing metadata and documentation.
Provide data and ability to process it to the people or applications at the right timing, by supporting both low latency streaming processing and high volume batch processing.
Help employees to find and share insights by providing tools for analytics (Business Intelligence tools).
Keep the quality of data consistent to ensure correct analysis results by data monitoring.
Ensure that personal and sensitive information is processed in accordance with the GDPR and other applicable regulations.
Must
Work experience with data modeling and SQL development on MPP RDBMS like Redshift, Teradata. We are using Redshift.
Work experience of installation and operation of event streaming data platforms like Apache Kafka.
Work experience of programming with any languages. You will at least use Java and Ruby since existing systems are written with those languages.
Should
Experience with designing, developing data processing systems which are scalable and reliable.
Experience with deploying and operating a system on AWS or other cloud platforms.
Experience with basic Linux commands, MySQL/PostgreSQL administration.
Preferred
Experience or knowledge with Git and code review with Github.
Experience or knowledge with Infra as Code and Infra task automation. We are using Terraform, Itamae (a Chef like tool), Docker on AWS ECS or k8s, Capistrano etc..
Experience with web application development with frameworks like RoR.
Experience with distributed data processing with Hadoop ecosystem.
Soft skills
Self-Driving attitude to identify issues on current data platform.
Problem solving skill backed by logical reasoning and task prioritization.
Good communication skill to work closely with other teams
Benefits

Why join Cookpad?

People join us because they share our vision to improve people’s lives. As a company Cookpad invests heavily in learning and development -we hire smart people who thrive in small, highly collaborative and energised teams, and who look at what we do and want to be part of it.

Valuing our team means we offer competitive salaries, an employee referral scheme and very generous benefits, including 7% employer pension contribution, income protection and life insurance. We are central to transport hubs and bike routes which helps with flexible working and all-important downtime with family and friends.

In our usual working environment breakfast is provided every day, we have a fully stocked and fully equipped team kitchen where we can cook together and there are weekly pilates/ yoga classes.

In this interim period due to the current global pandemic we are working to keep as many of our perks as possible available to our staff. This includes moving the pilates/ yoga classes online as well as company socials and attendance of meetups.

Equal Opportunity

The Cookpad team is made up of an incredible, diverse range of people. We are proud to be an equal opportunity employer. We do not discriminate based on race, ethnicity, colour, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.

Your Privacy

When applying for a job with Cookpad, we will collect personal information about you. We use that personal information predominantly for the purposes of processing your application and analysis of our recruitment activity. You can read more about how we use your personal information in our privacy policy. If you an applicant from Europe, you can read our privacy policy here . If you are an applicant from country other than Europe, you can read our privacy policy here.",3.9,"Cookpad Ltd
3.9","Bristol, England",-1,51 to 200 Employees,1997,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Engineer & DBA,-1,"Audley Travel is one of the world's leading tailor-made travel businesses with operations in the UK and North America. Although like many industries travel faces much disruption, Audley is uniquely positioned to continue its stellar track record of growth when travel once again returns. We are undertaking a major business transformation, underpinned by significant investment in Technology, and the role represents an exciting opportunity to join the Technology team in either the Witney office in Oxfordshire or the Shepherd's Bush office in London. As a Data Engineer & DBA you will:
Create and maintain all data feeds that the Data Platform requires and that data sets are optimised, structured, partitioned, indexed and performant
Perform ad hoc data requests for the business where quick turnaround time is required for insight and critical decision making. This could be using a variety of technologies and working across Azure, Salesforce and Google platforms
Indexing, partitioning, scheduling loads and optimising all databases that are part of Data Platform as a key priority
Working with the BI Developer to ensure that all data feeds are optimised and available at the required times. This can include Change Capture, Change Data Control and other “delta loading” approaches
Assisting the wider Audley team with data optimisation, indexing and partitioning tasks. Review other developer’s SQL queries and interfaces to highlight performance issues and adherence to industry best practice
Optimising and reviewing all ETL and database processes to ensure that the platform is running efficiently and cost effectively
To succeed in this role, it is essential you can demonstrate you have:
Ability to effectively develop new data feeds as well as troubleshooting existing data queries
Strong technical documentation skills and the ability to be clear and precise with business users
Strong communication skills for all levels of the business, both technical and non-technical
Be detail oriented and have a good understanding of the data lifecycle and identify upstream issues
Ability to work interactively with the business through insight issues where users don’t have a clear view or understanding of the data they need and require a few iterations of data sourcing
What we are looking for:
Strong DBA and SQL coding experience
Extensive experience developing using T-SQL, relational databases, SSIS, KingswaySoft and other ETL technologies
Knowledge of SSRS, SSAS, Power BI, Power Query and DAX
Working knowledge of REST APIs
Experiencing using Cloud technologies and tooling for Azure and Google (GCP is less of a focus but confident to participate in data migration and connectivity to this platform)
Strong coding skills and the ability to write and debug ad hoc queries using various tools. Python and an understanding of Machine Learning is also a nice to have but an opportunity for future development
Embodies the Audley values of being positive, being the difference, being one team and being passionate about travel
Desirable to have working knowledge of SalesForce data structures
The package:
Salary is dependent on experience with great benefits on offer.

We believe it's our people that make the difference and who build Audley into the success it is today. We pride ourselves on enabling people to reach their full potential through promoting and celebrating a diverse and inclusive working environment.",3.5,"Audley Travel
3.5","Witney, England",-1,501 to 1000 Employees,1996,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1
Section Engineer,-1,"SECTION ENGINEER*
Organisation Information: *
Bouygues Travaux Publics (TP) and Laing O’Rourke, two of Europe’s most dynamic engineering and
construction specialists, are working together in a joint venture named BYLOR to deliver the main civil
engineering works at Hinkley Point C (HPC) worth over £2.8 billion.
Bylor is pushing the boundaries of innovation and modern technology while delivering high-quality
construction on a massive scale. Bylor has already broken the UK record for the largest continuous
concrete pour of 9,000m3 of concrete.
This is a great opportunity to be part of a dynamic organisation that is challenging the industry and making
history.
_Purpose of the role: _*
_\*_\*A Section Engineer is technically responsible for, and able to manage, a section of works. They typically
supervise and manage a team of 4 to 6 Site Engineers including Setting out Engineers.
A Section Engineer is in close liaison with the Construction Supervision. The Section Engineer is a key
player with the Client organisation for what matters to Field Change Engineering and Quality Control.
They are expected to have experience in the role of Temporary Works Supervisor (TWS) and be familiar
with formwork and falsework systems having worked in direct delivery of reinforced concrete structures.
_Key responsibilities and specific accountabilities: _*
\_*\_
_\*_Preparation\*

• Reviews how achievable, suitable and compatible the specified tolerances are and arranges
amendments as required
• Evaluates alternative solutions to find the best solution, initiates 3d modeling to develop methods,
clarify issues and resolve method related problems
• Is instrumental in finding alternative solutions to existing methods and practices to improve
productivity, quality or safety helping to create best practice
• Produce and gain approval on method statements, risk assessments, and task sheets to enable
safe systems of work to be implemented. Review methods with a view to making improvements
• Where required to prepare weekly programmes and monitor site progress against them
Construction*
• Ensure with the Supervisor that the works are carried out on-site as per the Risk Assessment
Method Statement.
• Ensures that up-to-date construction information is distributed to all relevant parties to be used at
all times.
• Sets up mechanisms to inform the engineering team of changes as they occur
• Disseminates and explains construction information to sub-contractors, foremen, and operatives
• Takeoff and produce requisitions for materials to be delivered to site ensuring compliance with
the standards and specifications
• Ensures that any changes, requests for information, or non-conformances (NCR) are raised
correctly and closed out in a timely manner so as not to impact site works. Ensure appropriate
controls are applied to prevent reoccurrence.
• Takes responsibility for ensuring that company and project quality requirements procedures are
implemented.
• Ensure correct materials, products, plant, and systems are used /installed in accordance with
project specifications and manufacturer’s specifications
• Is responsible for ensuring and leading a ‘right-first-time’ culture
Control*
• Provides advice and assistance in resolution of survey and dimensional control issues
• Ensures that all step within the Inspection and Test Plan (ITP) are carried out correctly, ensuring
compliance with the process.
• Carries out the role of Temporary Works Supervisor (TWS) for complex temporary works ensuring
compliance with company procedures
Completion
• Ensure that relevant as-built information is collected and collated.
• Produce productivity and wastage reports and the review of simple outputs against target costs
• Supervises and provides training to ensure the competence of the team members
\_*\_
_\*Essential skills & knowledge: _\*
\_*\_
_\*Technical Skills: _\*
\_*\_
_\*_\*• 3 years + of site experience
• Understanding of civil engineering projects/complex projects
• Experience of reinforced concrete in a direct delivery role
• Experience of managing people in project environments
• Provide value engineering in determining the best solutions to engineering problems
Interpersonal Skills:
• A strong communicator with the ability to present to the team and co-workers
• Capable of building an effective team while Inspiring, challenging and motivating others.
• Ensures timely decision making, driven off data
• Demonstrates commitment to work to processes
• Seeks to minimise waste in resources and materials
• Presents a professional image and promotes the values of the project
_Education & Qualifications: _*
\_*\_
_\*_\*• Must hold a degree in Civil Engineering or equivalent

Additional Information:
All positions with Bylor are employed directly with either Laing O’Rourke or Bouygues Travaux Public and
include competitive salaries, private medical insurance, company pension schemes and annual holiday
allowance. Some grades will also include a company car allowance.
Unless stated otherwise all positions are based at Hinkley Point C in Somerset.
Somerset boasts beautiful English countryside, an attractive coastline, interesting towns and villages
along with easy access to the M5 and within proximity to the cities of Bristol and Exeter.
Bylor are committed to being an equal opportunities employer and promote greater equality, diversity and
inclusion in our workplace.

Job Types: Full-time, Contract

Job Types: Full-time, Contract

Salary: £0.00 per year

Experience:
Site: 3 years (Required)
Education:
Diploma of Higher Education (Required)
Work remotely:
No",4.0,"Bylor
4.0",United Kingdom,-1,201 to 500 Employees,-1,Other Organization,-1,-1,Less than $1 million (USD),-1
Data Engineer,-1,"Role *
You will be working closely with the database teams and data engineering building specific systems facilitating the extraction and transformation of Creditsafe data. The role will define and build data pipelines that will enable faster, better, data-informed decision-making both within the business and for Creditsafe customers. This is an opportunity to gain exposure to big data architectures and mpp processes.
Primary Responsibilities*
• Provide leadership and mentorship to team members by teaching standards for code maintainability and performance.
• Perform a role as part of an Agile team to develop, test and maintain high quality systems that fulfil business needs.
• Extracting data from various data sources for example relational databases, files and API’s.
• Help evolve our data platform with a view towards growth and high throughput.
• Execute practices such as continuous integration and test driven development to enable the rapid delivery of working code.
• Design and build metadata driven data pipeline using Python and SQL in accordance with guidelines set by the Data Architect.
• Ship medium to large features independently using industry standard processing patterns.
Experience*
• Solid development experience within a commercial environment creating production grade ETL pipelines in python.
• Comfortable implementing data architectures in analytical data warehouses such as Snowflake, Redshift or BigQuery (Redshift Preferred).
• Hands on experience with data orchestrators such as Airflow, Prefect, Dagster or Luigi(Airflow Preferred).
• Knowledge of Agile development methodologies.
• Awareness of cloud technology particularly AWS.
• Knowledge of automated delivery processes.
• Experience designing and building autonomous data pipelines.
• Hands on experience of best engineering practices (handling and logging errors, system monitoring and building human-fault-tolerant applications).
• Ability to write efficient code and comfortable undertaking system optimisation and performance tuning tasks.
• Comfortable working with relational databases such as Oracle, PostgreSQL, MySQL, and MariaDB (PostgreSQL preferred).
Within 1 month of working at Creditsafe: *
• Learn about our Development processes and supporting tools.
• Start contributing to code reviews of data pipelines.
• Started committing small improvements to existing pipelines and understand how data is organised in our data lake.
Within 3 months of working at Creditsafe: *
• Be contributing to team conversations on data structure and organization.
• Identify improvements in the data pipeline strategy.
• Feel confident in handling most common support issues.
• Rolled out your first data pipeline to provide systems with good clean data.

Job Type: Full-time

Salary: Up to £50,000.00 per year

Benefits:
Casual dress
Company events
Company pension
Life insurance
Private medical insurance
Sick pay
Wellness programmes
Schedule:
8 hour shift
Work remotely:
Temporarily due to COVID-19",-1,Creditsafe Services Ltd,"Cardiff, Wales",-1,-1,-1,-1,-1,-1,-1,-1
Site Engineer,-1,"SITE ENGINEER: *
_Organisation Information: _*
Bouygues Travaux Publics (TP) and Laing O’Rourke, two of Europe’s most dynamic engineering and
construction specialists are working together in a joint venture named BYLOR to deliver the main civil
engineering works at Hinkley Point C (HPC) worth over £2.8 billion.

Bylor are pushing the boundaries of innovation and modern technology while delivering high-quality
construction on a massive scale. Bylor has already broken the UK record for the largest continuous
concrete pour of 9,000m3 of concrete.

This is a great opportunity to be part of a dynamic organisation that is challenging the industry and making
history.
_Purpose of the role: _*
Assisting with the design process coordination, planning and programming requirements for assigned
work-packages within a designated area to ensure construction activities are delivered safely and in
accordance with client cost, time, quality, and scope requirements.
Reports to the Project Engineer within an engineering team comprising of Site and Section engineers.

_*Key responsibilities and specific accountabilities: *_
\_*\_
_\*Preparation-\*_*
• Checks dimensions design data early, raising technical queries to eliminate delays from
insufficient information.
• Responsible for supporting the production of methods statements and risk assessments to be
approved by supervising engineers.
• Measures materials usage and provides quantity information for preparation of material call
off/requisitions.
• Manages the survey equipment ensuring it is suitable for the works and in calibration so that there
are no dimensional control errors due to survey equipment.
_Construction-_*
• Adopts and promotes a culture of ‘right first time’
• Files and maintains the engineer’s drawings and specifications so that the current information is
always available.
• Interprets and abstracts construction information from the drawings and specifications and
provides this to the supervisors and operatives in a clear and understandable way using sketches.
• Effectively communicate technical information to the workforce and liaise with all functions and
support services in a timely and accurate manner.
• Takes on the role of temporary works supervisor for their section of works and ensures temporary
works are identified and the correct procedure is applied.

_*Control-*_
• Provides dimensional control for a section of works.
• Implements the Inspection and Test Plan (ITP) ensuring that evidence and witness sign off is
achieved at every step
• Carries out quality control checks using internal check sheets where appropriate

• Raises Non- Conformance Reports (NCR) for all non-conformances and reports potential non-
conformances.

_*Completion-*_
• Undertakes as-built surveys for a section of the works and presents results in format that can be
included in project records if required.
• Collates and files quality records for potential inclusion in quality assurance documentation
• Provide feedback to supervising engineers/managers on the effectiveness of materials, specialist
contractors, plant and designers being used on site.

_*Essential skills & knowledge: *_
\_*\_
_\*_Technical Skills: \*
• Knowledge of and experience in reinforced concrete is a must
• Desirable to have experience in the use of an EDM/Total Station
Interpersonal Skills: *
• A strong communicator with the ability to work within a team environment
• Respects other team members across all functions and has a one-team approach.
• Presents a professional image and promotes the values of the project
• Demonstrates commitment to work to processes
• Seeks to minimise waste in resources and materials
Education & Qualifications: *
• Must hold a degree in Civil Engineering or equivalent
Additional Information:
All positions with Bylor are employed directly with either Laing O’Rourke or Bouygues Travaux Public and
include competitive salaries, private medical insurance, company pension schemes and annual holiday
allowance. Some grades will also include a company car allowance.
Unless stated otherwise all positions are based at Hinkley Point C in Somerset.
Somerset boasts beautiful English countryside, an attractive coastline, interesting towns and villages
along with easy access to the M5 and within proximity to the cities of Bristol and Exeter.
Bylor are committed to being an equal opportunities employer and promote greater equality, diversity and
inclusion in our workplace.

Job Types: Full-time, Contract

Salary: £0.00 per day

Experience:
Site Engineering : 3 years (Required)
Education:
Certificate of Higher Education (Required)
Work remotely:
No",4.0,"Bylor
4.0","Bridgwater, England",-1,201 to 500 Employees,-1,Other Organization,-1,-1,Less than $1 million (USD),-1
Software Engineer,-1,"This is a unique opportunity for a highly-motivated and capable software engineer to join us working at the cutting edge of software engineering for the Space sector, and others. D-CAT provides data intelligence to businesses worldwide through the use of AI and advanced algorithms applied to complex data, which we deliver through our cloud-based Fusion Platform®. As part of its enhancement program, we’re seeking an outstanding individual to help design and deliver one of the most innovative and advanced software platforms for sensor and data processing, as well as to support other software engineering activities within our business.
About the Role*
The Fusion Platform® embodies all of our technical capabilities in a manner that allows us to rapidly tailor solutions appropriate to different clients. We’re substantially enhancing its features which requires us to increase our software engineering team, strengthening our front-end design and development capabilities in particular with Angular expertise. Python skills are also required, to not only support the Fusion Platform® platform development but to enable familiarity with our processing algorithms, and experience of GIS / map-based UX system design and implementation is highly desirable due to the nature of much of our work. As an AWS Technology Partner, experience of developing for AWS will be greatly beneficial to the successful applicant.

The role is primarily for an Angular expert, who will be responsible for the design, coding, testing and acceptance of the Fusion Platform®’s UX. Reporting to our Head of Engineering, the successful candidate will also be expected to provide a range of supporting design and implementation tasks for the Fusion Platform®’s development, which will require Python skills implemented on AWS. The role will also involve technical client-facing interaction and presentation, and familiarity with design thinking practices. Industry standards and software engineering best practices are expected to be second nature, as well as the generation of high quality documentation.

Our technical team is located in Glasgow, and so this role is based at our premises in the centre of the city. We also have a subsidiary business based in Australia, and this role will involve interacting with our team and clients in Australia.
Technology Skills & Experience*
Responsibility for the user experience that our customers will encounter is something we believe requires a special talent, as well as a minimum of 5 years’ relevant experience backed up by a portfolio of successfully delivered applications.

Our development environment is fast-paced, innovative and highly collaborative, with the team able to work effectively from home locations during COVID -19 restrictions. We use agile development methodologies, modern development tools and processes, and an expanding cloud-based infrastructure. The successful candidate will be expected to be familiar with, or adapt quickly to using those tools, and thrive in a supportive, dynamic environment where self-leadership and early responsibility is the norm.

Specifically, we seek the following technical skills which are essential to the role:
Expert in Angular 10 application design, development and testing
Substantial experience in UX design and human factors
Hands-on current capabilities in Python coding and testing
Agile development, as well as solid procedural and object-oriented fundamentals
Strong understanding of and experience with testing practices, including test-driven design
Jira, Docker, GitHub, tools experience
A number of additional technical skills are highly desirable:
Experience of developing geographic systems (e.g. Geoserver)
Experience of AWS web system design, development, deployment and support
Experience of full-stack development (front-end, back-end, web-browser)
Experience with containerised applications and serverless functions
AI/ML implementation and big data experience in cloud-based applications
Algorithm understanding for image processing, AI and machine learning
The tools and language expertise sought includes:
Angular 10: essential
JavaScript, HTML/CSS: essential
Python: essential
Configuration control: essential
AWS: highly desirable
Jira / Confluence: highly desirable
Github / Docker: highly desirable
MapServer: highly desirable
Docker: highly desirable
Database/SQL: beneficial
Other Skills & Experience Required*
This role requires a special candidate who is not only a highly skilled and experienced professional software engineer, but someone who loves creating beautiful, intuitive applications with like-minded developers within an SME environment. We’re looking for someone who is highly motivated and innovative, and is excited by such an opportunity as well as our technology. Someone who exudes enthusiasm and ideas, but also brings clarity, simplicity, and a quality focus to their work so that we get things done rapidly and to the highest standard will thrive in this role.

We seek someone who also shares our values and is a positive, can-do individual with excellent interpersonal and communication skills. A team player who enjoys interacting with others, not only with their team but with others across the business and beyond.

Essentials for this role also include degree or higher in computer science, software engineering or closely related subject.

No agencies please.

Job Types: Full-time, Permanent

Salary: £38,000.00-£55,000.00 per year

Benefits:
Company pension
Schedule:
Monday to Friday
COVID-19 considerations:
Temporarily work from home due to COVID-19 then Glasgow office based.

Experience:
Software Engineering: 5 years (Preferred)
Work remotely:
Temporarily due to COVID-19",-1,D-CAT (Digital Content Analysis Technology Ltd),"Glasgow, Scotland",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,-1,"Data Engineer

My client is a highly dynamic and successful Business Intelligence and Datawarehousing Consultancy with a strong presence across the UK.

They currently have an opportunity for a Data Engineer to join them in Manchester to work on the design and development/build of data solutions for clients.

The role:
Multi skilled across the entire technical data management landscape and has experience at varying levels in all aspects of an ecosystem such as Data Storage, Data Ingestion, Data Integration, Data Store technologies and concepts, Data Preparation and Cloud Infrastructure. The individual should have a wider understanding of the business problems that manifest into data solutions and be able to concisely articulate to stakeholders and interested parties in layman’s terms.
You will also have a wider understanding of how their role and delivery contributes to wider business outcomes and be able to concisely articulate to stakeholders and interested parties their role and solutions in a way that can be easily understood.
You will have either have actual Consulting experience or have good stakeholder management skills and want to grow into a consultant.

Technical skills:
Python, spark, nosql or Kafka experience
Any cloud data engineering experience in GCP, Azure and AWS
Any R, Tableau or streamsets experience would be an advantage
THESE ROLES REQUIRE TRAVEL THROUGHOUT UK TO WORK ON CLIENT SITE. YOU HAVE TO HAVE A VALID UK PASSPORT OR VISA TO APPLY FOR THE ROLE, NO SPONSORSHIP IS AVAILABLE*
-- *
Reference ID: DF1

Job Types: Full-time, Permanent

Salary: £40,000.00-£60,000.00 per year

Schedule:
Monday to Friday
Work remotely:
Temporarily due to COVID-19",-1,Odin Consultancy & Recruitment Ltd,"Manchester, England",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,-1,"QVC is so much more than a retailer. It’s a broadcast network. It’s an ecommerce leader. And it’s a great place to work! Come discover why QVC is like no other business in the world. Be part of a team that’s reimagining shopping, entertainment and social as one.

Job Description Details

QVC are looking at building a strong advanced analytics team across our international markets and one of these Key roles is The Data Engineer.

Your main responsibilities:

Creating data models, data pipelines, providing the right format and structure for the use case solutions

Perform data cleansing and feature engineering

Participate in early data modeling and testing for use case development

Identify relevant data sets by researching, interacting with business stakeholders

Collaborate extensively and frequently with data scientists and IT leadership

Ensure that data science team has access to the required data sets

Own the structural elements of data, e.g., data storage, data piping

Provide technical support related to data structures, data models and meta data management

Participate in early data modeling and testing for use case development, provide input on how to improve proposed solutions and implement necessary changes

Extract relevant data to solve analytical problems; ensure Data Scientist team has the required data

Interact with the business to understand all data requirements to develop business insights and translate them into data structures and data models

Collaborate extensively and frequently with data scientists and IT leadership
Liaise with IT on the infrastructure, data pipelines, and productionalization of models
Document data, data structure, and data models

Research best practices, technologies, tools, and trends

The ideal candidate will have:

A Master's degree (preferably with PhD) in computer science, statistics or another quantitative discipline
Expertise in advanced data management systems (such as Spark, Hadoop, Oracle DB, MySQL, PostGresQL, SQL Server, etc.)
Profound expertise in data modelling and structuring
Advanced SQL knowledge as well as knowledge of the limitations of SQL and where alternative tools and programming languages should be used
Knowledge of ETL tools and cloud technology stacks (AWS, GCP, Azure)
Experience in dealing with large amounts of data
Very good knowledge of at least one scripting language Python (preferred), R and also knowledge of container platforms such as Docker
Very good knowledge of data structures, data models and large data volumes
A detailed working method and the ability to critically analyse existing and new methods as well as to think conceptually
The competence to simplify work processes and to communicate complex concepts in an understandable way
Strong interpersonal, written and communication skills in (German- advantageous) and English
ability to work in a team

IND_HP

About Qurate Retail Group

Qurate Retail Group comprises seven leading retail brands — QVC, HSN, zulily, Ballard Designs, Frontgate, Garnet Hill, and Grandin Road — all dedicated to providing a ‘third way to shop,’ beyond transactional ecommerce or traditional brick-and-mortar stores. Globally, Qurate Retail Group is #1 in video commerce, reaching approximately 370 million homes worldwide via 16 television networks and multiple ecommerce sites, social pages, mobile apps, print catalogs, and in-store destinations. Qurate Retail Group is #3 in ecommerce in North America and #3 in mobile commerce in the U.S. (according to Internet Retailer). Qurate Retail Group combines the best of retail, media and social to curate products, experiences, conversations and communities for millions of highly discerning shoppers - bringing joy, inspiration and humanity to shopping. Qurate Retail Group also curates large audiences, across multiple platforms, for thousands of brand vendors. Headquartered in West Chester, Pa., Qurate Retail Group has 27,000 team members in the U.S., the U.K., Germany, Japan, Italy, France, Poland and China. For more information, visit www.qurateretailgroup.com. Qurate Retail, Inc. (NASDAQ: QRTEA, QRTEB) includes the Qurate Retail Group portfolio of brands as well as other minority investments.

EEO

As an equal opportunity employer, Qurate Retail Group is committed to a diverse workforce and is also committed to a barrier-free employment process. In order to ensure reasonable accommodations for individuals pursuant to applicable law, individuals that require accommodation in the job application process for a posted position may contact us at CareersUS@QVC.com for assistance.",3.3,"QVC
3.3","London, England",-1,10000+ Employees,1986,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 billion (USD),-1
DevOps Engineer (SC Cleared),-1,"DevOps, AWS, Linux, Docker // Southend-on-Sea // Up to £80,000

Global technology services company, offering software solutions for large public andamp; private enterprises worldwide.

Since 1982, we have built a trustworthy team of skilled engineers that organisations rely on to deliver high-quality software solutions. We now have Headquarters in the UK and have grown into a leading digital transformation company with over 3,500 employees.

Since we started, technology has created a fourth industrial revolution which has led to the work we do today. We are at the forefront of the industry and believe in embracing technology to change the world. Our team of passionate engineers, designers and data experts work to solve critical client problems on a daily basis. We are now looking to expand our DevOps team due to new and exciting client projects.

Some of our benefits include but are not limited to:

Medical Insurance.
Annual bonus.
Health insurance.

As part of the Development Team you will have the opportunity to:

Contribute to version-controlled configuration.
Contribute to the full automation of services and infrastructure deployment.
Diagnose and troubleshoot infrastructure and deployment issues and work collaboratively as part of the wider organisation
Develop effective working relationships with development teams both internal and external.
Research and learn new programming tools and techniques.

Core Technical Stack within the company:

Python/Golang
DevOps
CI/CD tools - Jenkins/Gitlab
Docker
Linux
Jira
AWS
Terraform

While there is no set recipe for success, we find that you will tend to have the following:

Minimum 3 years DevOps experience.
Previous commercial experience within Linux / Unix Administration.
Experience with Automation/Configuration tools.
A detailed knowledge of and experience using AWS.
Experience in a programming language (Python, Golang, Nodejs or equivalent).

Sourced by @TechCareers_S – your 24/7 twitter feed of latest IT vacancies across the South.

Please either apply by clicking online or emailing me directly to rosie.bancroft@searchability.com. For further information please call me on 0203 763 3888 / 07889 558 613. I can make myself available outside of normal working hours to suit from 7am until 9pm. If unavailable please leave a message and either myself or one of my colleagues will respond. By applying for this role you give express consent for us to process andamp; submit (subject to required skills) your application to our client in conjunction with this vacancy only. Also feel free to follow me on Twitter @SearchableRosie or connect with me on LinkedIn, just search Rosie Bancroft, Searchability in Google! I look forward to hearing from you",4.7,"Searchability
4.7","Southend-on-Sea, England",-1,1 to 50 Employees,2012,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
"Specialist, Cloud and DBA Engineer",-1,"Specialist, Cloud and DBA Engineer*
· *Location: *Cardiff or Bangor

· *Grade & Salary: *6, £32,427 rising to £37,656 over four years

· *Post number: * 202601

· *Type of contract: * permanent

· *Work pattern: *Mon to Friflexible shift pattern to cover service hours of 8am to 6pm, work on a time specific rota providing an ‘Out of Hours’ ICT Service to an agreed level and perform overtime as required to meet the business needs
Closing Date: * 1st November 2020
Role Purpose*
The post holder will be required to lead all aspects of technical support, development and maintenance for the NRW Database estate within an ITIL framework and in line with the wider teams Target Operating Model, to deliver an outstanding customer focused service.

The post holder will also be expected to support the Server & Storage Team Leader in the delivery of IT services and lead the Server & Storage team in fault finding, proactive improvements and feed into the Server & Storage team work plan.

All members of the ICT Server and Storage Team will participate in the general management and governance activities required to maintain a catalogue of service to agreed levels of service.
The successful candidate will: *
· Ensure the health and availability of corporate Database estate in line with ICT governance and ITIL frameworks

· Ensure that incidents and service requests are resolved within the agreed service level agreements.

· Assist the Server & Storage Team leader in developing the Server & Storage Team workplan

· Work with Engineers to resolve issues and improve live systems

· Advise and provide guidance for first and second line support

· Develop proactive tasks and maintenance schedules and implement routine upgrades of services

· Diagnosis and act as a technical escalation point for issues reported via incidents and proactive monitoring.
Qualifications and Skills*
Proven experience of:

· Microsoft SQL, Oracle and PostgreSQL Databases.

· Working within an Azure Environment.

· Data warehousing; ETL, SSRS, SSIS.

· Implementing backup and recovery strategies and clustering of databases.

· Application lifecycle methodologies.

· VSTS and Visual Studio or similar.

· Working within an ITIL Service Management Framework.

In addition:

· Experience of Incident, Problem, Change and Release management processes.

· You will have a recognised qualification, degree or equivalent experience.

· You will have substantial experience working in the field relevant to your role with experience across a range of roles or in different roles within an organisation.

· You will have specialist/technical knowledge in a range of subjects within your field.

· You will remain up to date with developments in your technical or specialist field.

· You will have the ability to manage small programmes and/or projects.

· You will have analytical skills enabling you to analyse and interpret a range of complex information
For more information, please visit our website.*
Job Types: Full-time, Contract, Permanent

Salary: £34,427.00-£37,656.00 per year

Benefits:
Casual dress
Childcare
Company events
Company pension
Employee discount
Flexible schedule
Gym membership
On-site parking
Sick pay
Store discounts
Wellness programmes
Work from home
Schedule:
Monday to Friday
Flexible Working Options Available:
Flexitime
Staggered hours
Compressed hours
Annualised hours
Job share
Part-time
Work from home
Phased retirement",2.6,"Natural Resources Wales
2.6","Cardiff, Wales",-1,Unknown,-1,Government,State & Regional Agencies,Government,Less than $1 million (USD),-1
