Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist,-1,"Liberty IT employs over 500 people who develop a wide range of specialist and enterprise scale applications and provide technical support across the global enterprise for our parent company, Liberty Mutual. Across our two offices in Belfast and Dublin our teams live and breathe innovation, creativity and commitment to excellence - designing and implementing innovative solutions using both existing and emerging technologies. Combine that with our commitment to providing a great place to work for employees and you have the perfect place to start or grow your career.

Senior Data Scientist

As a Senior Data Scientist you will work as a lead in a collaborative to rapidly and effectively deliver great solutions that adds real value to our customers. You will be challenged. You will have the chance to be creative and have your voice heard. We will offer you a competitive salary, enable you to balance your work and life, and support you through mentoring, coaching and training programs.

In this role, you will:

Take a customer-centric approach to deliver real value and solve complex business problems working as a lead in a team.
Have a strong understanding of how the tools and analytical models you work on can contribute to the success of the project.
Work with customers to analyze their business problems, drive out requirements and deliver predictive modelling and meaningful recommendations that meet a real business need.
Work as a technical lead to apply sophisticated statistical techniques to very large data sets in the course of predictive modelling and various analytical projects.
Have input across all data preparation steps, including extraction, integration and the creation of derived variables to ensure the application of business rules checks and implement quality control checks.
Coach, mentor and provide feedback to the team.
Lead and support team in implementing continuous improvement opportunities across all aspects of the team.
Continuously develop your skills and knowledge.
Actively seek opportunities for you and your team to collaborate with and learn from our technical people across our organization through internal networks, events and communities of practice.

The ideal candidate will:

Be just as good at working with people as technology. Someone who makes a team better by being part of it, and has experience of positively leading and mentoring others.
Build great customer relationships by listening and empathizing with our customers to provide them with the solutions they really need.
Have a deep understanding of the importance and principles of writing clean, quality, high performing and secure code and champion it within their team and the department.
Be proactive about continuous improvement and innovation, and encourage your team to do the same. Someone who doesn’t just dream it but gets it done.
Share their own experiences and expertise using the right method of communication and the right level for the audience.
Be interested in technology and actively look for ways to increase their technical knowledge.
Have experience in working with machine learning and big data products within AWS

Essential Criteria

A PhD qualification in Mathematics, Computing, Statistics or another quantitative field and 1 year of industry experience in a relevant Data Science related position; or a Masters' qualification in Mathematics, Computing, Statistics or another quantitative field 3 years of industry experinece in a relevant Data Science related position.
In-depth knowledge in the following
Statistical techniques such as regression analysis, cluster analysis and optimization
Manipulating, transforming and integrating multiple data sources on SQL ETL tools
Various analytical methodologies – Random Forest, Neural Network, K-means clustering or similar
Big Data concepts, strategies, methodologies and tools – MongoDB, Spark, Hadoop
Proven technical ability in working with statistical software packages including Python; R; SAS; SPSS
Experience in designing, building and deploying complex computer vision solutions to drive business revenue streams.",3.2,"Liberty IT
3.2","Belfast, Northern Ireland",-1,201 to 500 Employees,1997,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"About Us:


At Sensyne Health we combine technology and ethically sourced patient data to help people everywhere get better care. To do this, we have created a unique partnership with the NHS that delivers a return to our partner Trusts and unlocks the value of clinical data for research while safeguarding patient privacy. Alongside this, we develop clinically validated software applications that create clinician and patient benefit while providing highly curated data.

We use our proprietary clinical AI technology to analyse ethically sourced, clinically curated, anonymised patient data to solve serious unmet medical needs across a wide range of therapeutic areas, enabling a new approach to clinical trial design, drug discovery, development and post-marketing surveillance.

The Team:


We are an agile team of Clinically led data science specialists who use our proprietary clinical AI technology to analyse ethically sourced, clinically curated, anonymised patient data to solve serious unmet medical needs across a wide range of therapeutic areas, enabling a new approach to clinical trial design, drug discovery, development and post-marketing surveillance. The nature of our team is collaborative with an emphasis on genuine passion for healthcare.

As a central member of a dynamic, multi-disciplinary team of scientists passionate about reinventing the way new medicines are developed, you will bring your deep understanding of data science to enhance of ability to perform key research, data visualisation, insgiht gathering and decsion making from big data and real world evidence. Your work with experts in artificial intelligence, deep learning, informatics, statistics, drug discovery and clinical translation/commercialisation will enable us to discover robust clinical insight that will ultimately make a difference to the lives of patients across a range of therapeutic areas.

Requirements

How you'll help:
Perform robust data analysis and communicate results with sophisticated visualisation methods
Create and implement statistical & machine learning algorithms, assessing their effectiveness through solid validation workflows
Clinical project support to guide decision making and create analytical solutions to address questions of interest to our pharma stakeholders.
Assisting with the publication of scientific papers and abstracts
Requirements:

Advanced degree in an applied quantitative field statistics, biostatistics, mathematics etc.)
Expertise with the analysis of clinical data and the support of projects within Life Sciences
Knowledge of data science, machine learning and visualisation.
Proficiency with programming and scripting languages (R/Python)
Ability to work independently and effectively in a fast-paced, team-based environment; project management and coordination skills; ability to prioritise tasks and meet multiple deadlines on concurrent projects
Experience working with clinical data and/or working in the biomedical field is highly desirable
Excellent verbal and written communication and presentation skills; excellent organisational skills; and excellent interpersonal skills to work effectively in a diverse team
Experience in any of these is a plus: SQL, NoSQL, Shiny, Graph database, Knowledge Graph, Tidyverse
Benefits
Company share option scheme
5% employer matched Pension scheme
BUPA Health Insurance including Partners and Children cover
Free Gym Membership
Cycle to work scheme
A challenging and fun environment that rewards results",3.9,"Sensyne Health
3.9","Oxford, England",-1,51 to 200 Employees,2018,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
Data Scientist,-1,"Fixed Term Contract

We're currently seeking Data Scientists based in and around Leamington Spa with experienced of processing large scientific data sets to work within a state of the art, high output diagnostics laboratory environment as part of the UK's NHS Test and Trace programme.

As well as playing a vital role in supporting society's return to a more normal way of life by helping to break the chains of COVID-19 transmission, you will also gain invaluable experience and exposure to some of the country's most highly skilled individuals in the scientific community.

This represents a once in a lifetime opportunity to go above and beyond to support public health, while also extending your already accomplished scientific data skills and positioning your career for further success and growth.

Your responsibilities:

In the role of Data Scientist, you will be responsible for the analysis of sample data and correct tracking and recording of the analysis in the appropriate LIMS database, to the lab's accreditation standards. You will be expected to process large data sets accurately and to identify anomalous results.

Your priority will be to manage the flow of data out of the laboratories, resulting in correct patient sample reporting. You will also analyse non-clinical data as part of process optimisation and escalate any quality control issues relating to reagent performance to the quality manager.

Your experience:

In order to be successful in the role, you'll need the following education and experience:

Education:

BSc Honours degree in a biological science

Experience:

Proven track record in processing large scientific data sets accurately
Previous experience working with PCR datasets
Knowledge of diagnostic test, particularly PCR
Previous experience within a laboratory environment
Expert use of database and data analysis tools
For a Lead role - you will also need experience of line management and have the ability to delegate workloads and work across a remote platform.

In addition, the following experience is also desirable but not mandatory:

Experience

Practical experience using or administrating Oracle, MS-SQL and Postgres SQL databases.
Experience with Sportfire, R or other visualization and analysis packages.

In return:

As well as a competitive rate of pay (with a 20% uplift applied for night working and end of contract bonus), you'll receive comprehensive training on relevant lab procedures and equipment.

This role will work on a shift pattern and will include day, evening and weekend shifts. Please speak to our team to learn more.

You will also be joining a diverse and hugely welcoming team. Diversity at NHS Test and Trace is about reflecting the communities we serve, holding the principles of equality and inclusion at the heart of everything we do and all that we stand for, embracing differences, creating possibilities, and growing together. We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our purpose.

This is literally a once in a lifetime opportunity to join a team of highly skilled individuals, all focussed on delivering the best possible outcome.",-1,NHS Test and Trace,"Royal Leamington Spa, England",-1,-1,-1,-1,-1,-1,-1,-1
Data Sciences & AI Graduate Programme - UK,-1,"Data Science & Artificial Intelligence (AI) Graduate Programme - UK

Location: Cambridge, (UK)

Salary: Competitive, with excellent benefits package

If you have a bachelor’s or master’s degree and a desire to explore and develop your skills in data science and artificial intelligence within a global biopharmaceutical organisation, our Data Science & AI Graduate Programme could be the perfect start to your career. You’ll gain invaluable insight, exposure and opportunities across our diverse, Research and Development organisation. We’ll accelerate your learning and help you achieve your potential.

What does the programme involve?

Starting in September 2021, the programme lasts two years, consisting of three individual eight month placements. Each placement will provide you with fantastic insights and experience in our use of machine learning, AI and data science to advance drug discovery and development.

The programme’s variety and flexibility provides you with opportunities to apply machine learning, AI, and data science techniques to help push our scientists push the boundaries of science to develop life changing medicines for patients worldwide. You could be contributing to detecting safety risks, designing novel molecules, optimising clinical trial design and processes, or developing new models for use in high profile drug discovery and development projects. As well as helping you broaden your industry and technical knowledge, we’ll help you develop ‘soft’ skills required to fulfil your career potential.

You will gain an invaluable blend of on-the-job experience and coaching. You’ll enjoy guidance and advice from a huge support network, including a mentor and dedicated programme manager. We’ll also encourage you to identify and build collaborative relationships with specialists and leaders across our organisation, and our external networks including leading academic and biotech research institutions. Together, we’ll help accelerate your development and knowledge!

Essential requirements

A bachelor’s or master’s degree in a quantitative science focussed subject including Maths, Physics, Statistics, computer science and software engineering awarded in 2020, or due to be awarded in 2021.
Experience of applying data science, artificial intelligence, machine learning, statistics, computational biology, computational chemistry, bioinformatics or cheminformatics techniques.
Knowledge of the design and application of machine learning or statistical models.
Experience in using multiple data-centric programming languages to enable big data analysis (e.g. Python).
Enthusiastic and passionate advocate for the potential of data science and AI to make an impact.
Proactive problem solving and critical thinking skills.
Planning, organisational and time management skills.

Collaborative, with a partnership approach to achieving success.

Together, we push the boundaries of science to deliver life-changing medicines to patients around the world!

Applications open: 21st September 2020

Applications close: 21st January 2021",4.1,"AstraZeneca
4.1","Cambridge, East of England, England",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Senior Data Scientist,-1,"Are you a senior NLP specialist who wants to get in on the ground floor of a legal tech startup seeking to use technology and AI to radically expand access to justice?*
If you thrive on rapid innovation, working in a motivated, positive team, and the freedom to use all of your skills and knowledge to succeed, then we would love to hear from you.*
The Team *
Monaco Solicitors is a highly accomplished law firm, with legal work extensively featured in national media, and we are also leading the charge of tech disrupting the employment law sector.

Our in-house tech team is growing steadily and we are strengthening our data science side to help deliver the law to the people who need it most but can't afford it. Our ambition is to deliver law globally in a new and user friendly way, using the power of artificial intelligence.
The Work*
We are looking for someone who can not only think scientifically, but who has a proven track record of turning those ideas into tangible results.

You will be helping to build an entirely new market from people who are currently unable to access justice. We are hard at work developing a series of new, low-cost or free legal tools harnessing the power of data. These products currently include Virtual Lawyer and Virtual Judge.

Virtual Lawyer is an automated legal letter writing service which drafts correspondence in the style of a lawyer. The data set is our corpus of legal letters created by our extremely talented lawyers.

Virtual Judge is a case assessment tool which uses a data set of publicly available legal judgments to give the user statistical analyses of various aspects of their case, with a view to the parties reaching out-of-court settlement.

You will be working on a largely greenfield project with the freedom to use your initiative and experience to create the method needed to power these tools, and helping envision our various other data driven projects.
Skills Required: *
Practical experience across the whole of the data science pipeline.
Practical experience applying NLP to real life problems in a knowledge-based industry.
Strong knowledge across a range of industry standard data science tools, frameworks and languages such as python, BERT, NLTK (you will have a large degree of freedom in deciding the best fit for the job).
Master’s degree or professional equivalent in data science or similar from a recognised institution.
Entrepreneurial mindset and the ability to get stuck in with minimal supervision.
Nice to have: *
Interest in helping people to access justice
Legal sector / legal tech experience (getting arrested doesn’t count : -) )
Experience working in a startup environment (small team, scrum + Jira)
Project/people/supplier management experience
PhD in data science or similar from a recognised institution
Benefits*
Competitive salary
Sick pay
Copious home working, plus unlimited office working
Unique office space www.peckhamlevels.org
Gym membership
Onsite yoga classes, table football and table tennis
Social gatherings and a collaborative environment
Entrepreneurial spirit
Making a tangible difference in the world
Location*
We are based in the creative hub of Peckham Levels, a 1 minute walk from Peckham Rye station, which is 9 minutes by train from London Bridge, 15 minutes from Victoria & Clapham Junction, and 24 minutes from St Pancras.

Job Types: Full-time, Permanent

Salary: £50,000.00-£100,000.00 per year

Benefits:
Casual dress
Company events
Flexible schedule
Gym membership
Sick pay
Wellness programmes
Work from home
Schedule:
Monday to Friday
COVID-19 considerations:
Plenty of home working. Office space allows for social distancing. Hand washing and sanitising facilities provided.

Experience:
applied NLP: 1 year (Required)
Education:
Master's (Preferred)
Language:
Fluent English (Required)
Flexible Working Options Available:
Flexitime
Work from home
Work remotely:
Temporarily due to COVID-19",-1,Monaco Solicitors,"London, England",-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,-1,"BRAND NEW OPPORTUNITY WITH A MARKET LEADING ECOMMERCE COMPANY IN MANCHESTER!!

Mid to senior level candidates to be considered
Central location, easily commutable on public transport
Python / R / SQL / ETL / CICD / Cloud / Data orchestration
Opportunity to work within a rapidly growing eCommerce company
To apply please call 01244567567 or email henry.turnbull@searchability.co.uk

Sourced by @TechCareers_NW – your 24/7 twitter feed of latest IT vacancies across the North West!

WHO ARE WE?

Rapidly expanding since our inception, we have been a market leader in providing exceptional travel experiences for our UK customer base. Starting as a small start-up with a few thousand users we are now dealing with millions of customers. With that comes a vast amount of data, spattered across our platform. We are now looking to leverage all of that data to make our customers lives and experience so much better and are on our way to becoming well and truly a data driven business. You, as our brand-new Data Engineer will be giving us the capability to do jus that.

WHAT WILL YOU BE DOING?

You will effectively have two hats in our company. Firstly you will help enable our data Scientists, software Engineers and Product Managers help give the very best service they can to our customers. Helping our ML recommendation models topped up with clean, accurate data through robust and automated pipelines. Secondly, as part of the wider Data team you will work across the wider business to ensure that our data platform and architecture is working as best it can. You will be instrumental in the way we approach data and may effect our overall strategy.

Due to the work you will be doing across the business with different teams, you must bring robust engineering practises including TDD and pair programming, along with hands-on experience of building scalable pipelines and re-usable infrastructure.

WE NEED YOU TO HAVE….

Python / R / SQL / ETL / CICD / Cloud / Data Orchestration
Experience in a TDD environment
Experience with Data Orchestration
Proven background Software Engineering
Experience with one of AWS, Azure, GCP
Experience with Big Data tools
Experience with DevOps principles
Experience working in an Agile Environment

TO BE CONSIDERED….

Please either apply by clicking online or emailing me directly to henry.turnbull@searchability.co.uk - For further information please call me on 01244567567 / 07841445427 . I can make myself available outside of normal working hours to suit from 7am until 10pm. If unavailable, please leave a message and either myself or one of my colleagues will respond. By applying for this role, you give express consent for us to process andamp; submit (subject to required skills) your application to our client in conjunction with this vacancy only. Also feel free to follow me on Twitter @SearchableHenry or connect with me on LinkedIn. I look forward to hearing from you.

KEY SKILLS:

Python / R / SQL / ETL / CICD / Cloud / Data Orchestration",4.7,"Searchability
4.7","Manchester, England",-1,1 to 50 Employees,2012,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Temporary Associate Practitioner Healthcare Scientists,-1,"Please switch to a desktop device before starting your application.

Our values support our vision and guide the behaviour of everything we do, these are:

People-focused: We look after the needs of our patients, carers and colleagues, to provide a safe and caring experience for all.

Respect: We act with care, compassion and kindness and value others’ diverse needs.

Integrity: We take an honest, open and ethical approach to everything we do.

Dedication: We work as one team and support each other to maintain the highest professional standards.

Excellence: We continuously learn and improve to achieve the best outcomes for our patients and our hospital.

Wish you were here..? Take a look at our recruitment brochure under the 'Further links' section to find out more about our Hospital and what we have to offer

The NHS is increasing the level of testing for Covid-19, as part of that we are looking at a dedicated laboratory situated with the hospital. We are looking for people to join our bank service to support the testing within the QEH, Kings Lynn. This would suit those who would like part time work and those who would like fulltime work.

We will be looking at whether this positions change to fixed term or permanent roles in the future. Weekend and evening will be required. We are looking for people with a science background, reliability and a willingness to learn. Training will be given, experience is not required but would be advantageous.

The Staff Bank is an ideal way of starting a career in the Trust, offering flexibility of working hours.

Please see the job description for further details.

For further details / informal visits contact:

Richard Pipkin, Network Blood Sciences Manager

richard.pipkin@nnuh.nhs.uk or 01553 613771

The Job Description provides details of responsibilities and requirements for this role. Please use your supporting statement to demonstrate how you meet the person specification.

DBS: If this post involves working with children or vulnerable adults the application form will ask for information regarding previous convictions as you will be required to undertake a Criminal Record and Barring Check known as a DBS check.

If you are a new employee or registering with the Staff Bank you will need to meet the cost of this unless your salary is less than point 9 of AfC.

NHS Service: Should you be appointed to the post we will need to establish any previous NHS service via the ESR IAT and we will accept the submission of your application as your agreement to this.

Tier 2 Sponsorship – (not apprenticeships): We are pleased to consider applicants who require Tier 2 sponsorship to work in the UK but it is unlikely that we would be able to appoint if a suitably qualified, experienced and skilled EU/EEA candidate is available.

UK Registration: You will need to have current UK professional registration where this is a requirement of the role.

Application: All our communication with you regarding your application will be by e-mail so please check your e-mails (and Spam) regularly.

We value equality in our team and recruit from all sections of the community. We recognise there is a wealth of talent among people who have a disability and if you meet the minimum criteria detailed in the person specification and have a disability, you may wish to be considered under the Guaranteed Interview Scheme by indicating this in the relevant section on your application.

Data Protection: A privacy notice detailing how we will handle your data is attached to this advert as a document. Your application will be transferred to our recruitment management system (Trac) once the advert has closed and you will receive notification then detailing how Trac will handle your data.

To stay safe in your job search we recommend that you visit SAFERjobs (https://www.safer-jobs.com), a non-profit, joint industry and law enforcement organisation working to combat job scams. Visit the SAFERjobs website for information on common scams and to get free, expert advice for a safer job search.",4.1,"Searchability
4.7","King's Lynn, England",-1,5001 to 10000 Employees,-1,Hospital,-1,-1,$100 to $500 million (USD),-1
Specialist Histology Biomedical Scientist,-1,"Specialist Biomedical Scientist State HCPC registered essential

Minimum 3 years experience in Histopathology required

To work in busy Private Laboratory as part of a team.

Prepare human tissues for microscopy. Prepare fixatives, processing fluids and staining reagents.

Preparation of slides, staining of slides.

Perform dissection of surgical specimens.

General office duties to inc data entry, filing of forms an d telephone enquires.

Computer literate.

Assist in all external QA and UKNEQAS 15189

Reference ID: BMS histology

Job Types: Full-time, Permanent

Salary: £23,506.00-£43,413.00 per year

Benefits:
Company pension
On-site parking
Sick pay
Schedule:
Day shift
COVID-19 considerations:
Acculabs Diagnostics U.K. Ltd works to strict adherence of government guidelines

Experience:
BMS Histology : 2 years (Required)
Flexible Working Options Available:
Not offered
Work remotely:
No",-1,Acculabs Diagnostics UK Ltd,"Billingham, England",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Important note:
To our wonderful friends and followers around the world, Jagex is not pausing its search for the most talented people to join its ranks. We’re a successful, robust and growing business, after all.

In light of the current situation concerning coronavirus, we have already made changes to the way we recruit, and of course are mindful of following all necessary processes to ensure the safety of our staff and anyone we might come into contact with.

Jagex has switched to working almost entirely remotely, and in line with that our recruitment and selection process has moved to an entirely remote one with video calls being the preferred method of interview.
Our hiring managers are engaged, we are well-prepared and we sincerely look forward to talking to you soon. Our team of expert recruiters will be in touch with you to talk you through the process and changes and what to expect.
So, don’t delay, get that application in today!

Company Overview:

A leader in creating deep and engaging experiences on PC and mobile, Jagex was founded in 2001 and is today one of the UK’s biggest and most respected video game developers and publishers.

Famed for its flagship MMOs RuneScape and Old School RuneScape, Jagex has welcomed more than 260million player accounts to its world and created a $1bn lifetime franchise revenue. Today the RuneScape franchise exists beyond running games in live operations; our titles are living games that connect and inspire millions of players, with content and experiences both inside and outside of inexhaustible game worlds.

Both RuneScape and Old School RuneScape, on PC and mobile, offer ever-evolving, highly-active worlds and our community-focussed development ethos empowers players to have a real say in how each game is shaped.

Jagex is expanding and extending its portfolio with fresh franchise titles, new IP and, in 2018 launched Jagex Partners, delivering third-party publishing and operational services exclusively for the living games of the future.

Jagex employs more than 400 people at its Cambridge headquarters and is on the hunt for talented people to work across the business to help the company to achieve yet another year of record growth and player satisfaction.

Job Purpose:
Your role will include working with other data scientists, analysts, product owners and engineers to drive a data driven culture across Jagex and enable Hypothesis Driven Development. You will build reports, develop KPIs, and use predictive modelling to gain a deep understanding of our products and customers.
Main Duties and Responsibilities
Work with product teams to identify KPIs to measure product performance, build forecasts, and assist in planning and retrospectives
Collaborate with data engineering teams to build model deployments and data pipelines
Use statistics, analytics and machine learning to optimize the customer experience
Leverage SQL
Present accurate and engaging data, charts and detailed analysis to product owners, department leads and the development teams
Build tools and data services to enable data-driven decision making
Stay up to date with industry and data science standard technologies, and evangelise them among the team when relevant
Essential Skills:
Strong SQL and Python skills
Knowledge and experience training, evaluating and deploying Machine Learning models
Experience with applied Statistics or Quantitative Research
You are passionate about games and using data to improve player experiences
Excellent communication skills with the ability to present results to people with various backgrounds and experiences
A degree in STEM subjects or relevant experience
Company Benefits:

- Flexible Working
- Bonus Scheme
- Private Health Care
- Gym Membership
- Generous Pension Contributions
- Life Insurance
- Free Cycle Repair
- Income Protection
- Dental Plan
- Free Fruit and Drinks
- Subsidised Canteen

Feel like you fit this role, but don’t meet all the requirements? We strive for fresh perspectives, so as long as you can demonstrate how your attitude and other abilities might make up for any gaps we would welcome your application!
Jagex are an equal opportunities employer and positively encourages applications from suitably qualified and eligible candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, marriage or civil partnership, pregnancy or maternity, religion or belief.",3.4,"Jagex
3.4","Cambridge, East of England, England",-1,201 to 500 Employees,2001,Company - Private,Video Games,Media,$100 to $500 million (USD),-1
"Bioinformatics Scientist/Lead, NGS",-1,"Base Genomics is a new start-up that aims to have a major impact on personalised medicine. We are developing TAPS, a breakthrough technology from the University of Oxford that makes epigenetic analysis of DNA methylation more sensitive, accurate and cheaper than ever before. We aim to transform healthcare by enabling early and precise detection of cancer. Long-term, we expect TAPS to become central to a host of major new healthcare and research applications.

Base Genomics has recently raised substantial seed funding and is now looking for talented and highly motivated scientists to participate in this exciting opportunity by joining its nascent R&D team. This is a rare opportunity to develop disruptive technology in one of the most exciting areas of life science and to make a substantial impact on healthcare.

Working with a highly skilled interdisciplinary team at the interface of chemistry, molecular biology, bioinformatics & software you will create and establish robust data processing pipelines and other tools and methods to enable the analysis of DNA sequence and methylation data for R&D projects, clinical studies and, ultimately, clinical-grade assays.

You will play a pivotal role in the interpretation of sequencing data and make a significant contribution to our understanding of technology/product performance and clinical utility. You will also collaborate highly effectively with the broader R&D team, senior staff and collaborators on experimental design and clinical studies as well as project requirements, planning, execution and reporting.
Skills and Experience*
Essential
A PhD in Bioinformatics, statistical genetics or related field.
Previous demonstrable experience of analysing next-generation sequencing data.
Experience in scientific programming, in particular python and/or R.
Demonstrable ability in method development in the high throughput sequencing analysis space.
For leadership candidates: Experience of leading, motivating and providing career development for a team of bioinformaticians and/or software developers, especially in an industrial setting.
Demonstrable experience in conducting high-quality independent research with proven ability to write-up scientific findings in peer-reviewed journals.
Strong team-working skills with previous experience of completing collaborative projects on time and within budget.
Excellent communication skills (both written and oral) with the ability to communicate complex ideas and information to a range of stakeholders.
Demonstrable high levels of self-motivation, ambition, transparency and integrity.
Enjoy working towards challenging goals in a fast-moving environment where on-time delivery of results is a high priority.
Desirable
Previous post-doctoral or industry experience in applied DNA sequence analysis or directly comparable field including analysis of DNA methylation by sequencing.
Previous experience developing diagnostics products in the genomics industry.
Experience of DNA sequence analysis specifically in cancer.
For applicants from academia, academic publication record in peer-reviewed journals consistent with career stage.
Benefits:
Profit sharing/share options
Life insurance
Private medical/dental insurance
Job Types: Full-time, Permanent

Salary: £23,834.00-£43,840.00 per year

Schedule:
Monday to Friday
Work remotely:
No",-1,Base Genomics,"Oxford, England",-1,-1,-1,-1,-1,-1,-1,-1
