Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Marketing Data Analyst,-1,"Overview:

The Marketing Data Analyst is responsible for working across our Marketing & Digital department to ensure team members have access to accurate data, consistent reporting, and dashboarding and visualization tools, allowing them to self-serve their data needs. This position also works in our data platforms to analyze performance of marketing and digital programs across all lines of business. This position, which is part of our Marketing & Digital department, requires strong analytical, organizational, and communications skills.

Responsibilities:
Partner with central database management, business intelligence, IT, and external vendor teams to manage 360-degree view of customer records and data
Support CMO and Marketing & Digital management team to gather requirements and data to develop marketing dashboards and provide reporting and analysis
Partner with cross-functional data analysts across the company to create marketing reports, dashboards, and data visualizations
Manage the creation of new data sources and audience traits within our digital audience data management platform
Drive continuous improvement to streamline existing manual data processes
Enhance data collection and append procedures, as well as maintain data hygiene
Qualifications:
REQUIRED

Four-year degree in business, IT, marketing or other related discipline required

1-3 years of work experience in data analysis, or market research required

Fluent SQL skills required

Proven experience as a self-starter and comfortable working in a fast-paced, deadline-driven environment is required
Ability to interact well with cross-functional teams is required
Additional skills including strong verbal and organization skills; excellent planning and execution, with attention to detail; strong project management skills with ability to manage multiple projects simultaneously
PREFERRED

Wireless industry experience strongly preferred

Experience with data visualization utilizing Power BI, SAP Analytics Cloud, or SAP Business Objects strongly preferred

Experience in Object Oriented Programming such as Python a plus

Experience with data management platforms (DMPs) such as Adobe Audience Manager a plus

Experience with digital marketing analytics, including Adobe Analytics or Google Analytics, a plus

PHYSICAL REQUIREMENTS / WORKING CONDITIONS:

Must be able to sit for long periods of time and use computer keyboard and/or mouse, while viewing computer screen. Some travel required. Note: This is a brief description of this role and is not limited to those described herein. Management retains the right to add, delete or modify any of these responsibilities at any time during employment. Revised 10/8/2020.",4.4,"C Spire
4.4","Ridgeland, MS",-1,1001 to 5000 Employees,1988,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1
Data Analyst,-1,"Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation's trusted source for accurate, objective workers compensation information. Learn about how you can contribute to our company's success in the following position:

WHAT YOU WILL DO IN THIS POSITION:
· Perform analytical research to identify and resolve routine data issues impacting NCCI’s data providers and NCCI products and services. Responsible for identifying the nature of data issues and invoking developed solutions to resolve the issues on our Unit Data Validation team.
· Based on knowledge of the system and/or data type supported; provide needed testing support for baseline, discretionary, and investment projects impacting the core work.
· Identify and/or resolve customer data issues and assist data providers in the resolution of these issues.
· Provide testing and systems support - including researching issues to determine if NCCI systems issues are contributing to the root cause.
· Prepare documentation to resolve system requirements, procedures, or customer communication to resolve issues impacting core work functions and customer group supported.
· Participate in process review and improvement of team functions.
· Provide support to newer team members and collaborate with team members on resolutions to data provider challenges.
WHAT’S IN IT FOR YOU:
• A competitive starting base salary plus a targeted 7% annual performance bonus
• A Monday through Friday work schedule
• A phenomenal work environment with perks including onsite restaurant and coffee shop, employee activities, onsite fitness center, and sports leagues
• A wonderful team of fun, caring and friendly people to work with
• A fantastic benefits package that’s hard to find in south Florida

WHAT YOU MUST BRING TO THE ROLE:
· Bachelor's Degree and 2 years in an analytical role in a service-oriented, financial, and/or insurance related enterprise where primary work performed uses web-based or other business systems.
· In lieu of the work experience requirement, a degree with coursework in any of the following: database and/or system management or design, data extraction, data mining, or data warehousing.
· In lieu of a bachelor’s degree, 5 years relevant work experience as indicated above is required.
· Ability to perform independent research using business applications, databases, data viewing tools, and reports to identify root cause and resolve data issues
· Ability to identify system issues are present and tests system changes to confirm resolution
· Ability to identify nature of customer issues and implement fixes from established resolution plans
· Experience participating in efforts to improve team processes / providing suggestions on team duties
· Ability to lead customer teleconferences to resolve issues – including agenda preparation and minutes
· Ability to interface professionally and effectively with higher-level staff / management on customer side
· Ability to prepare appropriate internal reports on customer issues to be shared with broad audience
· Solid knowledge of navigating web-based systems to provide training /assistance to customers
· Ability to independently handle multiple tasks to meet established deadlines and SLAs
· Ability to provide inbound / outbound customer support - owning a variety of inquiries simultaneously
· Ability to makes proactive calls to customers providing them with the needed detail to help them understand and resolve issues
· Strong computer, verbal, written, and teaming skills to deliver on assignments
· Ability to take on work outside comfort zone to develop skills for future assignments
· Proficient with Microsoft Office - Outlook, Word, Excel

WHAT WILL MAKE YOU A MORE VIABLE CANDIDATE:
· Knowledge of insurance, claims, or financial data

WHO WE ARE:
Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation’s trusted source for accurate, objective workers compensation information. We are the industry leader. At NCCI, we recognize that our employees are the reason our legacy endures today. We’re motivated by the opportunity to do challenging and interesting work, and our Total Rewards package attracts top talent. Our employees care about each other and the communities in which they live and work. Our values of integrity, respect, quality and excellence, responsibility, and commitment, guide our success.

We require a drug screen and background check.
EEO / Smoke free environment

At NCCI, we recognize that our employees are the reason our legacy endures today. We’re motivated by the opportunity to do challenging and interesting work, and our Total Rewards package attracts top talent. Our employees care about each other and the communities in which they live and work. Our values of integrity, respect, quality and excellence, responsibility, and commitment, guide our success.

Experience NCCI.",4.4,"NCCI
4.4","Boca Raton, FL",-1,501 to 1000 Employees,1923,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1
Data Warehouse Analyst III,-1,"Posted: 10/12/2020

Job Status: Full Time

Job Reference #: f919583b-e6c4-4b15-9cd8-6fffba6ba4e5
Job Description
Rethink what’s possible with SwitchThink! SwitchThink Solutions is an IT Services CUSO from Desert Financial.
As a collaborative partner for innovation, SwitchThink Solutions offers technology solutions that help credit unions achieve their transformational goals. Our knowledgeable development, infrastructure, and IT operations experts work hand-in-hand with our clients to maximize the benefits of their technology and speed their results.

Who you are:
A hardworking analyst with a flair for consulting with and supporting client with their enterprise reporting, data integration, and data analytic needs, including the development of dashboards. You are motivated by the opportunity to work closely with clients to analyze and interpret data in support of identifying market and business trends, conduct root cause analyses of business problems and provide strategic suggestions for improvement. You are a proactive thinker that is focused on identifying services and solutions that can enhance the offering we present to clients.

A typical week might include the following:
Consulting with clients to understand their unique business problems, then with the utilization data recommending solutions that will ultimately assist in solving the business problem by defining data/reporting requirements and goals.

Designing and developing solutions that enable clients to make decisions based on data utilizing dashboards and self-service analytical reports

Providing support with troubleshooting and resolving reporting, data warehouse and ETL related issues

Assisting in establishing best-practices and development of content that improve the efficiency and adoption of the data platform in ways that support strategic initiatives and drive business results.

Planning for future state of the environment to increase functionality, improve efficiencies, support refresh cycles, and/or reduce operational costs

Performing other job-related duties as assigned.

This role might be right for you if you have:
A Bachelor's Degree in computer science, math or related field

8 years experience in business intelligence role

Strong understanding of relational database structures, theories, principals, and practices

Experience working with Talend or similar ETL tools

Visa Sponsorship:
We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas, i.e. H-1B or TN Visas.

Bonus Points:
5 years of experience in a quantitative/analysis/reporting role within the Financial Services industry

5 years building dashboards and reports in Power BI or similar platform

Experience working in a DB2 environment

Experience working with Python or another scripting language

About Us
We are considered leaders in the local credit union space, and we are growing like crazy. We’ve got a culture focused on smarts, kindness, continuous learning...and our people love it. A full 93% of our employees would recommend us to their friends. Come find out why! Learn more at jobs.desertfinancial.com.

We are proud to be an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

#IND456",3.3,"Desert Financial Credit Union
3.3","Phoenix, AZ",-1,1001 to 5000 Employees,1939,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
Data Analyst,-1,"Overview


At Grow Financial, we believe in service—to our 200,000+ members, 550+ team members and local communities. We know happy, engaged people provide the best service, so we live by our mantra: Be Bold. Be Great. Have Fun. (Especially the fun part!) Yes, our work is serious, but we don’t take ourselves too seriously. Consistently named a Top Workplace by the Tampa Bay Times and a Great Place to Work among 100 Best Medium Workplaces by FORTUNE Magazine®, we cultivate a positive, collaborative work environment where you can grow personally and professionally. In fact, 94% of our team members say Grow is a great place to work. And the most common word they use to describe the Grow culture? Family.

Responsibilities


Performs advanced business analysis using various techniques, e.g. statistical analysis, predictive modeling, machine learning and data mining. Responsible for gaining an in-depth understanding of business problems as it relates to the visibility (insights), and feasibility an analytic solution would provide. Works closely with functional areas and business leaders to identify analytical requirements. This includes development and deployment of analytic models, supporting overall Grow and departmental strategic objectives, recommending profitable and/or cost-effective solutions that enhance member experiences or modernize processes; and collaborating with business partners to promote data-driven decision making.

Data Analytics
Interprets and analyzes large amounts of data using exploratory mathematical and statistical techniques.
Builds predictive models, selects features, and optimizing classifiers using machine learning techniques.
Identifying and extending credit union’s data capabilities with third-party sources of information.
Processing, cleansing, and verifying the integrity of data used for analysis.
Analyzes problems and determines root causes.
Business Analysis
Works with functional areas and business leaders to identify analytical requirements and define a problem statement.
Identify assumptions, limitations, constraints, and the key metrics of success to business problems.
Summarize analytical data into user-friendly reports translating highly technical, detailed data into appropriate recommendations and key metrics requested by management and various business lines.
Advise business partners on options, constraints, risks, costs, and benefits of proposed projects.
Qualifications
Bachelor of Arts/Science degree from an accredited college or university in Statistics, Mathematics, Computer Science or related discipline required. Master’s degree preferred.
3 – 5 years of work experience with financial, analytical, or related research experience required.
Expert knowledge of Microsoft Office applications (Word, Excel, and Power Point) required.
Strong quantitative analysis skills using statistical software such as R, SQL and Python required.
Experience working with large datasets. Extensive knowledge of statistical methodologies including hypothesis testing, linear regression, modeling, simulation, and analysis of variance.
Knowledge of relational database technology and business intelligence tools (e.g. Tableau).
Must be comfortable working on projects in an agile, iterative or multi-generational manner.
Eager to learn, enthusiastic, motivated and a self-starter.
Must be an analytical thinker and problem solver, as well as possess and display effective organizational and communication skills.
Ability to manage multiple priorities and work under deadline with minimal supervision required.
PHYSICAL DEMANDS
Must be able to sit for extended periods of time.
Must be able to read, write, speak and type English.
Must be able to hear and use a telephone.
Use of computer requires repetitive keystrokes.
WORK ENVIRONMENT
Traditional office setting; remote work available.
Sedentary role
Excellent Benefits * 401K Plan * Competitive Pay * Business Casual Environment * Service-Minded Team Attitude * Positive Workplace * Exciting Growth Potential & More

An Equal Opportunity Employer Minorities/Females/Veteran/Disabled",3.6,"Grow Financial
3.6","Brandon, FL",-1,501 to 1000 Employees,1955,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
Data Analyst,-1,"Data Analyst

We are OpenSquare. We believe that people with a purpose need a place to be their best. From Seattle area skyscrapers to the Pacific Northwest’s premier Universities and medical facilities, we design and create insightful spaces with the latest technology providing our clients an environment that embodies their image and encourages success. Splice is the professional services division of OpenSquare, providing FF&E project integration, post-occupancy and MAC management for some of the most well-known companies in the Seattle area.
The Data Analyst provides critical business intelligence for the Splice team, specifically focused on building in-depth knowledge of relevant databases, processes and programs. Additionally, this role provides strategic information to key stakeholders through data mining of corporate databases and by deeply understanding business processes and programs. This role will also drive the development and communication of business performance reporting analysis
Location: South Lake Union
*Please note that due to an influx of candidate submittals, we are only reviewing candidates located in the Seattle/surrounding cities area*
The Data Analyst will:
Work closely with account managers and other stakeholders to support customer data questions and analysis
Interpret data and identify trends using statistical techniques, generate reports and visualizations
Support development and maintenance of databases, data collection systems, analytics and other strategies to optimize operational efficiency
Develop a deep understanding of the processes underlying our data to identify opportunities for data integrity, normalization and quality assurance initiatives
Develop metrics and dashboards for monitoring data trends or telling stories
Train end users on new tools, reports and dashboards
Qualified Candidates will have:
1-3 years’ experience in data analysis, modeling and/or visualization. Education may be substituted in lieu of work experience
Bachelor’s degree from an accredited university in a quantitative field
Experience with Python & SQL required
Experience with Tableau, Bokeh or other data visualization tools is heavily preferred.
Ability to work with stakeholders to assess potential risks
Ability to translate business needs into non-technical, lay terms
Experience handling large data sets
Benefits include:
15 days of PTO
9 Paid Holidays
Medical/Dental/Vision
401K
If this sounds like the right opportunity for you, please apply with your resume today! We look forward to connecting.
Exempt",3.6,"One Workplace
3.6","Seattle, WA",-1,501 to 1000 Employees,1947,Company - Private,Building & Personnel Services,Business Services,$100 to $500 million (USD),-1
Data Analyst,-1,"We are empowering our clients with actionable analytics in order to positively impact peoples’ lives. The insights we gain from our analyses guide our strategic path forward as we empower non-profit and public-sector organizations to build prescriptive paths forward for the people they serve. The Data & Analytics team proactively leads and collaborates to identify the most valuable problems to solve, constructs a Roadmap to delivery, and executes our plan. The Data Analyst should be a curious, hands-on teammate that will help us make smarter decisions to deliver even better internal and external products. Your primary focus will be in data curation, data analysis, converting analysis into appealing understandable visualizations, and communicating (data storytelling) these results clearly to business stakeholders and clients.

What You’ll Do
Aid in the development of data insights and analytics that continually improve with the collection of real-time program results from our product portfolio
Work in an Agile environment with team members, delivering solutions quickly and continuously exploring ways to improve our results
Actively seek out new potential problems to solve, building out our future Roadmap while simultaneously executing our present analyses
Drive adoption of data and insights-driven business decision making processes
Work closely with colleagues in Product, Operations, Sales, and Marketing to structure problems and understand the impact across various departments within the company
Enhance data collection procedures to include information that is relevant for building analytic systems
Be a data wrangler - Processing, cleansing, and verifying the integrity of data used for analysis
Executing ad-hoc analyses and presenting results in a clear manner to leadership team stakeholders
Minimum of a bachelor’s degree in a quantitative field. If you can tell a story related to how you can leverage your educational background on a data science team, we are all ears
3-5 years of experience in developing business analytics solutions, focusing on requirements gathering and effective visualization of insights
Experience in SQL and data visualization tools (Power BI, Tableau, plot.ly, etc.)
Experience with Python for data analytics
Nice to have – experience with Jupyter or Zeppelin notebooks
Be a collaborative teammate, sharing knowledge and learning from others while working through complex problems
Confidence, hustle, energy, and drive – accountability is key and the impact of your work is crucial to our success
You are always ready for the next challenge, always one step ahead, looking for creative ways to improve upon processes
Why We’re Awesome

Recently named one of Built In Austin’s Best Places to Work for in Austin. At Social Solutions, we’re mission focused and results oriented! We’re a diverse team of innovators, creatives, and digital architects that come together to help organizations transform lives. Our clients affect countless lives every day. That’s why we go above and beyond to provide tools to get the job done. We help non-profits get to the heart of their data so they can maximize their efforts to be more impactful. In essence, we help those that are changing the world.

What You’ll Get
Amazing coworkers
Flexible PTO
100% employer paid benefits for employees
8 hours per quarter of paid volunteer time
Company sponsored events and happy hours
Career advancement opportunitiesand more!
To ensure candidate and employee health, Social Solutions is conducting the interview process remotely via Zoom for the foreseeable future. Thank you in advance for your cooperation!

In order fulfill Social Solutions’ mission to “help people transform lives,” we seek to build teams that leverage diverse perspectives to create an innovative and welcoming environment.

To that end, we make employment decisions based on qualifications, merit, and business need. Social Solutions does not discriminate on the basis of age, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability.",3.4,"Social Solutions
3.4","Austin, TX",-1,201 to 500 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
HCM Data Analyst,-1,"Any qualified individual with a disability who is having difficulty in completing an application because of incompatible technology or other disability-related application issues may contact us at the following phone number for assistance: 251-445-1932.

Austal shall abide by the requirements of 41 CFR §§ 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. Austal’s commitment to equal employment opportunity applies at all levels of employment, in all job titles, including the executive level, and to all employment actions, including but not limited to decisions concerning recruitment, hiring, training, and promotion.

REPORTS TO: HCM Coordinator

SUPERVISES: N/A

AUTHORITIES / RESPONSIBILITIES:

The HCM data analyst plays a crucial role in collecting, structuring, analyzing, and reporting on HR processes and data. Supports business with key HR insights reporting (manning levels, hires; retention, turnover), talent metrics (promotion reporting; learning and development tracking; performance management insights), benefits reporting (billing invoices, participation census) as well as ad hoc reporting and data analysis as needed.

Job Description

Utilizes Workday systems and analytical tools to develop, analyze and interpret HR workforce data.
Partners with stakeholders across business units to build and implement reporting and analytic solutions that provide leaders with information necessary to achieve business goals and objectives.
Develop and maintain standardized dashboards and other related metrics reports for organization-wide and HR department evaluation.
Maintains common HR data repository
Monitors effectiveness of reporting and analytics products to ensure optimal value to the business, modifying or operationalizing new metrics and dashboard products as needed.
Creates scheduled reports and respond to ad-hoc queries from senior management and other areas of the company.
Leverages data extraction tools and approaches to perform complex data analysis and formulate new meaningful insights.
Reviews new reporting requests to be sure the request is consistent with HR systems and data strategies.
Creates, maintains, and ensures quality assurance of human resources data sets, reports, and metrics.
Recommends process and system improvements, follow up on recommendations.
Assist in the identification of data integrity problems and recommend solutions.
Other special projects, as needed.
Other duties as assigned;

QUALIFICATIONS / KNOWLEDGE / EXPERIENCE:

Bachelors degree or equivalent.
3-5 Business Analyst experience documenting Business Requirements and conducting data analysis.
Workday experience preferred in one or more modules: HCM, Benefits, Talent/Performance, Security, or Advanced Compensation.
Strong written and verbal communication skills to effectively communicate processes and procedures with managers and employees.
Highly developed ability to provide clear, concise verbal and written explanations for complex concepts so that others see the value add in recommendations and solutions.
Strong computer proficiency and technical aptitude to utilize MSOffice. Expert-level proficiency in Microsoft Excel (PowerPoint a plus).
Strong process orientation, analytical and problem-solving skills
Excellent service orientation skill set, ability to build strong relationships with fellow HR team members.
Must work with a sense of urgency and have the ability to handle confidential information in a professional manner. Can handle demands from multiple customers and has the ability to prioritize.
Ability to work collaboratively with multiple teams/organizations with attention to detail and strong organizational skills.
Flexible and has the capability to deliver results in a fast-paced, and high volume environment.

TOOLS: Not applicable

DIRECTION EXERCISED: Works within established guidelines. Works autonomously and escalates issues to HCM Coordinator as appropriate.

DISCRETION EXERCISED: A degree of creativity and latitude is expected. Relies on experience and judgment to plan and accomplish goals.

LIAISES WITH:

Employees, Department Managers, HR / Benefit Staff, Finance staff and external consultants as assigned.

ADDITIONAL GUIDELINES:

The ability to obtain and maintain a DoD clearance may be required if deemed necessary in the scope of your position responsibilities.
Candidates must meet the following employment eligibility guidelines to be eligible for employment with Austal USA:
18 years or older at time of application
Able to provide proof of US Person status (permanent resident or citizen)
No felony convictions of theft/deception or violent crimes within seven years from disposition date
No felony convictions of drug crimes within three years from disposition date
Willing to submit to a drug screen
Willing to submit to a background check",3.1,"Austal USA
3.1","Mobile, AL",-1,1001 to 5000 Employees,1988,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
Tactical Data Link (TDL) Analyst,-1,"Overview:

Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

• At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
• At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
• At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:

• Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
• Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
• Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
• Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
• Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
• Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
• Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
• Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.8,"Oasis Systems LLC
3.8","Hampton, VA",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Data Management Analyst,-1,"What You Will Do:
Supports the Member Contact Center (MCC) through collection and analysis of a variety of data to include, but not limited to, WFM, quality, agent performance, electronic banking and sales data. Designs, develops, maintains, manages and reports on databases and various metrics. Leverages technology, data sources and systems to support data management activities, to improve and maximize department efficiency, and effectiveness. Supports leaders with data-related tasks and report building. Manage current metrics, develop new metrics to define contact center efficiency benchmarks. Work with internal and external departments to identify friction points in current processes and suggest streamlined alternatives. Completes any other job related duties needed to help drive to our Vision, fulfill our Purpose, and abide by our Organization's Values.

Our Core Values:
All employees should demonstrate our SSFCU core values - Caring, Innovative, Honest, Fair and Dedicated - while providing enthusiastic, professional, and courteous service to SSFCU members and employees.
What We Offer:
SSFCU offers a comprehensive total rewards package that includes competitive salary, customizable benefit options, paid time off, 401K match with immediate vesting, tuition reimbursement, on-site fitness center, (or free gym membership), and an award-winning Total Wellbeing program focusing on the physical, financial and emotional wellbeing of our employees. We invest in our communities through our Volunteer Corps and in you, through ongoing growth and development opportunities.
What We Require:
Bachelor's degree is preferred or equivalent combination of education and experience. Minimum three years experience
Complete various system and other training as recommended.
Ideal Candidate Will Have:
Proven experience in participating and handling multiple projects and assignment with the ability to work with limited supervision and in a team environment. Proficient in MS Office Suite, particularly Excel, Power BI, PowerPoint, MS Teams, Sharepoint, and Access. Knowledge of WFM scheduling software/tools, call monitoring, Avaya, Genesys a plus. Knowledge of various call center concepts, best practices and procedures. Good working knowledge of business intelligence systems, and the capacity to research and understand any prospective systems we may introduce to the contact center.
Who We Are:
Security Service Federal Credit Union is an industry leader who has built a reputation of innovation, strength, and stability. We pride ourselves on discovering and developing employees who have exceptional character and a genuine passion for helping others. In return, we deliver a comprehensive total rewards package that supports the financial, physical, and emotional wellbeing of our employees.
Additional Information:
Requires high level of motivation and interpersonal skills, including excellent verbal, writing, attention to detail and analytical skills. Ability to communicate status of projects, service requests and information suitable for various levels of leadership. Requires excellent analytical skills with ability to identify problems and make recommendations that will benefit the call center and other LOB's as appropriate. Requires self-motivation to manage own work schedule while keeping pace with multiple projects and priorities of the contact center management team. Ability to work independently, prioritize, organize and take on responsibility and accountability. Requires ability to meet deadlines with high quality and accuracy standards.",-1,Security Service FCU,"San Antonio, TX",-1,-1,-1,-1,-1,-1,-1,-1
Web Data Analyst,-1,"Web Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Our customer promise is worth bragging about. Use your marketing and advertising expertise to spread the word and grow our business.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Collect web data and statistics for Uline’s various eCommerce websites (Uline.com, Uline.ca and Uline.mx).
Analyze data and provide weekly and monthly reports to management.
Make recommendations to improve website and reduce return rates.
Translate complex and analytical work into easy to understand data points.
Respond to ad hoc reporting requests and maintain relationships with various departments.

Minimum Requirements
Bachelor's degree.
Experience using Google Analytics or Adobe Analytics.
Experience using a data visualization tool such as Power BI or Tableau.
2+ years experience in website analysis.
Proficient in Microsoft Excel with some knowledge of SQL and / or Google BigQuery.
Well organized and detail-oriented with an ability to multitask.
Strong analytical and problem-solving skills.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-SR1
#CORP",3.6,"Uline
3.6","Milwaukee, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
