Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
DOD Data Scientist/Engineer,-1,"Overview

Guidehouse is a leading management consulting firm serving the public and commercial markets. We guide our clients forward towards new futures that build trust in society and your professional skills along the journey. Join us at Guidehouse.

Responsibilities

In the position of Data Scientist, the incumbent will support the Naval Air Systems Command (NAVAIR) in a once-in-a-generation digital transformation, driving change and devising how data can be integrated, controlled, distributed, and accessed by programs, business units and operators across the enterprise. Guidehouse is seeking an enthusiastic data scientist with the desire to harness data through the application of data science principles, tools, and methods and to share this knowledge as a mentor and coach for others. The individual will support the NAVAIR Digital Group in establishing practical and applied data science practices at NAVAIR, and in solving complex problems that have data driven solutions. This individual will additionally mentor and instruct employees during this process with the goal or sharing their knowledge and growing the data science skill base in Southern Maryland at Patuxent River.

Qualifications

Security Clearance:

Must have an Active Secret Clearance or above.

Responsibilities

• Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.

• Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of data structures and metrics advocating for changes where needed for both products development and sales activity.

• Interact cross-functionally with a wide variety of people and teams. Work closely with engineers to identify opportunities for, design, and assess product improvement.

• Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.

Required Skills

2 years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician). Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL). +Experience with data modelling and analytics
Able to clearly communicate (speaking and writing) technical concepts to a non-technical audience + Experience with data engineering and data security practices
Experience managing, unifying, and automating dataflows from disparate sources

Required Experience

Bachelors Degree. Heavy preference given to Computer Science, Mathematics, Statistics, Information Science, or a similar quantitative field or 7 years related work experience with Bachelors
2 to 4 years of programming experience with the ability to write / maintain scripts in Python (or other scripting languages)
Strong understanding of SQL
Working knowledge of data format conversion
Excellent communication skills, both verbal and written.
Ability to work both independently and as part of a team.
Strong problem solving skills.
Ability to maintain a DOD Secret clearance throughout employment is required.

Desired experience

Experience working on agile programs
Experience with agile tools such as JIRA and Confluence
Understanding of cloud architecture + Experience working with NoSQL databases
2 years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician).
Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL).

Additional Requirements

The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.

Disclaimer

About Guidehouse

Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits

Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:

Medical, Rx, Dental & Vision Insurance

Personal and Family Sick Time & Company Paid Holidays

Parental Leave and Adoption Assistance

401(k) Retirement Plan

Basic Life & Supplemental Life

Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts

Short-Term & Long-Term Disability

Tuition Reimbursement, Personal Development & Learning Opportunities

Skills Development & Certifications

Employee Referral Program

Corporate Sponsored Events & Community Outreach

Emergency Back-Up Childcare Program",3.6,"Guidehouse
3.6","Patuxent River, MD",-1,5001 to 10000 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Staff Data Scientist I,-1,"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",3.4,"Valassis
3.4","Morrisville, NC",-1,1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
"Scientist III, Pharma R & D",-1,"The Scientist III develops and executes formulation strategies related to product development, such as project planning, experimental design and data evaluations. The Scientist III applies technical expertise and has knowledge of various formulation development approaches. Demonstrates leadership and experience in the area of pre-formulation, formulation and process development of immediate and modified solid dosage, Topicals (cream,gel), Oral liquid and /or Transdermal. The position reports to a Manager/ Principal Scientist as described in the current organization chart of the department.

Essential Functions:
Develops formulation strategy and designs experimental plan, formulation and process development work for oral controlled release and immediate release dosage forms, Topicals, (cream, gel), Oral Liquid, and Transdermal products.
Responsible for selection of raw materials, packaging components and process requirements based on sound scientific principles.
Reviews analytical and clinical data and makes scientific conclusions.
Writes and reviews protocols and batch records for process development and evaluation work, scale up and pivotal batch manufacturing.
Creates and reviews technical documents, reports and presentations for cross functional teams. Writes Modules of ANDA's for submission.
Maintain Design history files for combination products. Develop design and development plan.
Keeps updated on cGMP and current technologies.
Additional Responsibilities:
Provides scientific and technical direction to junior staff members (scientists I, II, technicians & operators) to ensure project deadlines and performance standards are met.
Identifies, analyzes and suggests corrective actions to optimize R&D processes, technologies and regulatory compliance issues.
Equipment: Becomix, Tube filler, Transdermal and liquid manufacturing equipment.
Reviews Junior Scientist work.

Qualifications

Education:
A Master Degree (MS/MA) in Pharmaceutical, Chemistry or related technical field is preferred
A Bachelors Degree (BA/BS) in Pharmaceutical, Chemistry or related technical field is required.
Experience:
3 years or more experience with a Master Degree in development of Pharmaceutical Dosage Forms is required.
5 years or more experience with a Bachelors of Science in development of Pharmaceutical Dosage Forms is required.
Skills:
Must have knowledge of Pharmaceutical product development and manufacturing process. - Intermediate
Must be precise and consistent in day to day developmental work, easily trainable and ready to learn. - Intermediate
Must be able to effectively communicate reports, problems or issues, verbally as well as in writing. - Intermediate
Must have good oral and written communication skills. - Intermediate
Must be able to work in a team environment and be flexible to easily adapt to changes in assignments. - Intermediate
Must follow safe practices as defined by the SOP's and MSDS. - Intermediate
Must be willing to work extended hours as and when required. - Intermediate
Strong interpersonal skills and maintaining cooperative working relationships with others. - Intermediate
Managing multiple projects, duties and assignments. - Intermediate
Specialized Knowledge:
Must possess in depth knowledge and trouble shooting skills with Wurster Bottom Spray Fluid Bed Processors from lab scale to Commercial scale.
Must possess expertise with the use and optimization of extrusion and spheronization manufacturing techniques.
Must have a good understanding of complex modified release dosage forms.
Must Possess in-depth knowledge of the operation and troubleshooting skills for various lab scale equipment to production scale equipment: including Blenders, granulators, planetary mixers, fluid bed dryers, fluid bed coaters, incubators, mills, vibrorotatory sifters, encapsulation equipment (Manual to fully automatic), tablet presses and tablet coaters, roller compaction, packaging.
Works independently once assignments and responsibilities are outlined and delegated. Effective in oral and written communication skills at all levels and cross functionally.

Primary Location: US-NJ-Piscataway
Work Locations: Piscataway 49 49 Colonial Drive Piscataway 08854
Job: Research & Analytics
Organization: Scientific Affairs
Schedule: Regular
Shift: Standard
Employee Status: Individual Contributor
Job Type: Full-time
Job Level: 1st Shift
Travel: No
Job Posting: Dec 4, 2019, 10:41:34 AM",3.2,"Amneal Pharmaceuticals
3.2","Piscataway, NJ",-1,5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
Research Scientist,-1,"Job Description:

Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.

We believe an employee's specific academic training is not as important as their innate ability and willingness to learn new areas of mathematics and work on difficult problems.

Required Qualifications:
MS or PhD in Computer Science, Mathematics, Applied Mathematics, Physics or Operations Research
Some programming experience is preferred (C, C++, Java, Matlab, etc.)
Mathematical, simulation, or physical modeling experience highly desired
US Citizenship required, position will require background investigation to authorize access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Sales & Marketing Data Analyst,-1,"Overview:

Summary: The Sales & Marketing Data Analyst is responsible for supporting the Sales, Marketing, and Licensing teams through accessing data, building reports, and providing analytical insights.

Organizational Relationships: The Sales & Marketing Data Analyst has a direct reporting relationship with the Analytics Product Manager. This position also has regular contact with associates within the Sales, Marketing, and Licensing teams.

Responsibilities:

Responsibilities:

Sales Support
Fulfill data and reporting request, including data discrepancies, trend analysis, forecasting
Maintaining and building effective dashboards
Create customs reports as requested by agency partners
Marketing Support
Develop data and agency listing to support a variety of marketing campaigns
Reporting and analysis of marketing campaigns
Licensing
Provide data and analytics to address commission questions, agency on-boarding, terminations, buy/sell considerations
Proactively develop analytics in support of revenue growth initiatives
Partner with actuarial and product teams in support developing and communicating profit sharing initiatives, agency incentive programs, agency quality metrics, and competitor analysis dashboards.
Knowledge of data mining and statistical tools such as Excel, Access, SAS, R, Python, SQL
Ability to prioritize tasks and projects based on departmental needs.
Qualifications:

Qualifications:

Analytics experience
Experience with data visualization and creation of KPIs
College degree preferred
Statistical knowledge including advanced understanding of modelling preferred

Certificates/Licensure: Demonstrated proficiency of SAS, R, or Python

Environmental Demands: The duties of this position are typically performed in an office setting. There may be some minimal road and air travel involved.

Physical Requirements: This position requires minimal physical exertion. Good communication skills are required properly perform the functions of the job.

Mental Requirements: Skills necessary for the effective performance of this position’s job functions include: decision-making and analytical abilities, excellent interpersonal skills, effective problem-solving, oral and written communication capabilities, ability to fully utilize computers and computer programs.

Equipment Used: Computers, calculators, telephones

Note: This description is an outline of the major recurring responsibilities of the job. It is not intended to be all-inclusive of the work performed. Other related job objectives, special assignments and less significant responsibilities will typically be performed by the incumbent.",3.6,"UPC Insurance
3.6","Saint Petersburg, FL",-1,201 to 500 Employees,1999,Company - Public,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
Clinical Lab Scientist/MT,-1,"Description

Performs various routine and complex clinical laboratory tests according to established policies and procedures in order to obtain data for use in the diagnosis and treatment of disease. Assess test results for accuracy. Performs routine scheduled preventative maintenance, calibration, and minor problem troubleshooting on laboratory instruments. May perform blood specimen collection, training personnel and students. Independent judgment and professional education and certification are required.

Qualifications

REQUIRED QUALIFICATIONS:

A bachelor’s degree in Clinical/Medical Laboratory Science.

Successful completion of the ASCP or AMT Board of Certification CLS exam within the first year of employment is also required.

Alternative bachelor’s degrees are acceptable with successful completion of ASCP or AMT CLS certification exam prior to employment.

Maintains current certification according to guidelines established by appropriate certifying agency.

Interpersonal skills sufficient to interact effectively and communicate with patients and other health care professionals.

http://www.osfcareers.orgHigh level of professionalism and skillful performance in stressful situations.

Must possess sufficient academic, technical, and clinical skills and knowledge to evaluate, troubleshoot, research, and resolve day-to-day problems that arise or special projects as assigned by the laboratory management.

PREFERRED QUALIFICATIONS:

Experience not required but 1-2 years preferred.

EOE/Minorities/Females/Vet/Disabled

Job seekers will be afforded equal opportunity regardless of their race, ethnicity, veteran status or disability status.

Experience the OSF culture and community by clicking here.",3.8,"OSF Healthcare
3.8","Peoria, IL",-1,10000+ Employees,1877,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Risk Analytics Manager,-1,"Key Responsibilities

Develop and execute risk management and lead acquisition strategies inside the business rules / decision engine and help quality assure, roll out and monitor.
Validate and test risk management strategies. Evaluate statistical scoring, segmentation, and third-party products for effective risk mitigation solutions.
Work with cross functional teams to develop and execute on strategic initiatives.
Implement initiatives to ensure consistency and compliance with credit policies, and liaise with cross functional business counterparts to develop and implement risk strategies and third party platform integration.
Analyze credit risk and financial data to develop, test, and optimize risk factors related to credit policies.
Leverage analytics skills to perform risk, financial and data analysis including profiling, reconciliation, and quality testing.
Prepare risk reports for senior management that include analytics of risk, performance, emerging trends and opportunities.
Planning, designing and implementing an overall risk management process for the organization

Essential Functions:

Project Management: Oversee project lifecycle of data studies, new technology interrogation, or any other projects related to risk or analytics. Deliver written project plans to set expectations and gain strategic agreement. Interface with systems personnel for timely accurate implementation of underwriting solutions. Gather requirements for new or modified software systems enhancements and/or integration solutions. Conduct and analyze business and information technology processes and prepare essential groundwork. Make recommendations for necessary changes on projects that come from other departments.
Support: At as liaison to general counsel, marketing department, operations department, financial department, financial department, and individuals. Work with portfolio and merchant representatives to execute current and emerging business strategies. Interact internally to determine involvement, data requirements, and analysis. Research and evaluate new technology trends, data providers and analytics opportunities.
Leadership – Mentor junior level analysts of the Risk Management team. Ensure training/delivery of scheduled and ad-hoc data reports/studies and developing new effective methods to communicate significant risk information. Make recommendations for personnel actions and assist in day-to-day operations of group.
Insight – Maintain a thorough understanding of risk, operational, and management concepts to manage major portfolio risk factors. Investigate escalated incidences in reports for further review. Suggest possible risk management solutions, credit policy changes, and action plans. Turn business requirements into functional and technical specs for inclusion in the development process and in business planning. Define and develop business reports that support project assignments.

Skills:

Active Listening - Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
Writing - Communicating effectively in writing as appropriate for the needs of the audience.
Speaking - Talking to others to convey information effectively.
Problem Solving – Identifies and resolves problems in a timely manner; Gather and analyzes information skillfully; Develops alternative solutions.
Project Management – Coordinates projects; communicates changes in progress; Completes projects on time.
Technical Skills – Pursues training and development opportunities; Shares expertise with others
Analytical – Synthesizes complex or diverse information; collects and researches data.
Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
Credit Scoring & Modeling - Understanding of predictive modeling and credit scoring methodologies
Reading Comprehension - Understanding written sentences and paragraphs in work related documents.
Social Perceptiveness - Being aware of others' reactions and understanding why they react as they do.
Understanding of predictive modeling and credit scoring methodologies

Attributes:

Oral Expression - The ability to communicate information and ideas in speaking so others will understand.
Oral Comprehension - The ability to listen to and understand information and ideas presented through spoken words and sentences.
Written Comprehension - The ability to read and understand information and ideas presented in writing.
Written Expression - The ability to communicate information and ideas in writing so others will understand.
Speech Clarity - The ability to speak clearly so others can understand you.
Speech Recognition - The ability to identify and understand the speech of another person.

Experience and Education:

Bachelor’s degree in economics, mathematics, statistics or related field
3+ years experience, risk and financial services
2 years’ experience in the risk management field, minimum

Computer Software/Hardware:

Microsoft Word, Excel, PowerPoint
Access and Crystal Reporting
Outlook Exchange
Underwriting Software, Proficient in SQL, SAS, R or Python

Physical Requirements/Work Environment:

Must be able to stand and sit for long periods of time, talking, hearing constantly.
Occasionally lift up to 10 lbs. on occasion
Must be able to sit in front of computer monitor (s) daily
Sitting and or standing for long periods of time.
Noise level: moderate noise level daily in an office atmosphere.

Skills
Required
Technical knowledge & skills
Critical Thinking
Active Listening
Analytical",-1,"Cane Bay Partners VI, LLP/CBP","Christiansted, VI",-1,-1,-1,-1,-1,-1,-1,-1
Medical Laboratory Scientist,-1,"Job Summary:

Performs and interprets tests at all complexity levels. Demonstrates an understanding of the theory and scientific principles of laboratory testing as well as the technical, procedural and problem solving aspects. Correlates abnormal laboratory data with pathological states, determines the validity of test results and the need for additional tests. Determines the validity of test results through the monitoring and/or verifying of quality controls, standards, etc. Communicates test results, reference ranges, specimen requirements, and other pertinent information to authorized sources.

Job Responsibilities:

Follows the laboratory's procedures for specimen handling and processing, test analyses, reporting and maintaining records of patient test results.
Performs laboratory testing in a compliant manner.
Maintains regulatory knowledge and awareness as it pertains to specific job duties.
Adheres to the laboratory's quality control policies, document all quality control activities, instrument and procedural calibrations and maintenance performed.
Assumes responsibility for and takes action regarding any quality control or quality assurance issues as it pertains to specific job duties.
Maintains instruments and equipment in accordance with manufacturer’s specifications.
Assumes responsibility for good documentation practices and maintains clear and legible records.
Performs proficiency testing in compliance with Clinical Laboratory Improvement Amendments (CLIA) regulations i.e. analyze proficiency survey sample in the same manner as a patient specimens, no communication with other CLIA laboratories, complete record retention and accurate documentation and result reporting.
Assumes responsibility for participation in continuing education, professional development and required annual competency assessment.
Follows the laboratory's established policies and procedures whenever test systems are not within the laboratory's established acceptable levels of performance.
Identifies problems that may adversely affect test performance or reporting of test results and either must correct the problems or immediately notify the General Supervisor, Technical Supervisor, Clinical Consultant, or Laboratory Director.
Exercises good judgment, analytical and problem solving/troubleshooting skills.
Recommends solutions and improvements.
Documents all corrective actions taken when test systems deviate from the laboratory's established performance specifications.
May function in an educator and provides instruction and training in theory, technical skills, safety protocols, and the application of laboratory test protocols to students, employees, residents, etc.
Other duties as assigned.
Follows Hospital and department policies and procedures with special attention to attendance and punctuality, confidentiality, dress code and display of ID badge, and safety.
Completes mandatory education and training in order to maintain organization and department-specific competencies and requirements.

Education:

Bachelor's degree in a chemical, physical, biological or clinical laboratory science or medical technology from a four-year college or university.
One year training in approved program with registry/certification at Medical Technologist/ Clinical Laboratory Scientist level (MLS or MT) or registry eligible.
OR
Meets the CLIA qualifications for high complexity testing personnel grandfathering clauses.
See Code of Federal Regulations, Title 42, §493.1489(b)(3), §493.1489(b)(4), §493.1489(b)(5), §493.1491 Standards; High Complexity Testing Personnel Qualifications.
Diploma and/or transcripts must be provided.
Education will be verified.
Education outside of the United States requires diploma/transcripts translated into English and proof of foreign equivalency from by an HHS approved agency or nationally recognized organization such as NACES (National Association Credential Evaluation Services, Inc.) or AICE (Association of International Credential Evaluators, Inc.).

Languages:

Certifications:

Certification as a Medical Technologist (MT) or certification eligible preferred upon hire, from the American Society of Clinical Pathology (ASCP) or American Medical Technologists (AMT).
Certification must be obtained within one year of hire.

Complexity of Work:

Requires critical thinking skills, decisive judgment and the ability to work unsupervised or with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.

Work Experience:

None required.

Physical Requirements:

Physical demands include: Visual acuity to study specimens under a microscope.
The ability to distinguish colors.
Fine motor skills and manual dexterity to handle specimens and lab equipment required to process specimens and repair equipment.
May be required to stand for long periods of time.
Light lifting may be required.
May be exposed to hazardous chemicals, biohazards, radioactive materials, etc.

Personal Protective Equipment:

Follows Standard Precautions using personal protective equipment as required.

The policy of Cleveland Clinic and its system hospitals (Cleveland Clinic) is to provide equal opportunity to all of our employees and applicants for employment in our tobacco free and drug free environment. All offers of employment are followed by testing for controlled substance and nicotine. Job offers will be rescinded for candidates for employment who test positive for nicotine. Candidates for employment who are impacted by Cleveland Clinic’s Smoking Policy will be permitted to reapply for open positions after 90 days. Decisions concerning employment, transfers and promotions are made upon the basis of the best qualified candidate without regard to color, race, religion, national origin, age, sex, sexual orientation, marital status, ancestry, status as a disabled or Vietnam era veteran or any other characteristic protected by law. Information provided on this application may be shared with any Cleveland Clinic facility.

Cleveland Clinic is pleased to be an equal employment employer: Women/Minorities/Veterans/Individuals with Disabilities",3.8,"Cleveland Clinic
3.8","Akron, OH",-1,10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Clinical Lab Scientist/MT or MLT,-1,"Description

Performs various routine and complex clinical laboratory tests according to established policies and procedures in order to obtain data for use in the diagnosis and treatment of disease. Assess test results for accuracy. Performs routine scheduled preventative maintenance, calibration, and minor problem troubleshooting on laboratory instruments. May perform blood specimen collection, training personnel and students. Independent judgment and professional education and certification are required.

Qualifications

REQUIRED QUALIFICATIONS:

A bachelor’s degree in Clinical/Medical Laboratory Science.

Successful completion of the ASCP or AMT Board of Certification CLS exam within the first year of employment is also required.

Alternative bachelor’s degrees are acceptable with successful completion of ASCP or AMT CLS certification exam prior to employment.

Maintains current certification according to guidelines established by appropriate certifying agency.

Interpersonal skills sufficient to interact effectively and communicate with patients and other health care professionals.

http://www.osfcareers.orgHigh level of professionalism and skillful performance in stressful situations.

Must possess sufficient academic, technical, and clinical skills and knowledge to evaluate, troubleshoot, research, and resolve day-to-day problems that arise or special projects as assigned by the laboratory management.

PREFERRED QUALIFICATIONS:

Experience not required but 1-2 years preferred.

EOE/Minorities/Females/Vet/Disabled

Job seekers will be afforded equal opportunity regardless of their race, ethnicity, veteran status or disability status.

Experience the OSF culture and community by clicking here.",3.8,"OSF Healthcare
3.8","Pontiac, IL",-1,10000+ Employees,1877,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Research Scientist,-1,"MatMaCorp is a materials engineering and biological science company located in Lincoln, Nebraska. We are actively developing small, portable and easy to use medical and scientific instruments along with accompanying DNA and RNA based test kits. Currently, we have an opening within our Biology Group for a Research Scientist.

We are looking for dynamic individuals with creative abilities who can work within a multidisciplinary team of scientists and engineers. Individuals must have experience in basic DNA/RNA technology and familiarity with molecular biology and/or biochemistry. Ideal candidates will have experience in experimental design, assay development, and a proven track record of project management. Experience in the industry setting is plus.

Qualifications: Master’s or Ph.D. in Microbiology, Molecular Biology, Virology or other related areas. This is a full-time position with benefits including health, dental and paid vacation. *To apply, please forward your resume along with cover letter to Andrew Rush, Human Resources.*

Job Type: Full-time

Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.matmacorp.com
Work Remotely:
No",2.9,"MatMaCorp
2.9","Lincoln, NE",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
